cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,7,24,"beta[1,4]",-1.814,0.018,0.704,-3.278,-3.002,-2.262,-1.782,-1.341,-0.69,-0.51,1497.73,1,Signature.15,-2.576,2,103,7,24,0,134,0.582,0.35,0.1,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,38,14,"beta[3,4]",-1.653,0.016,0.602,-2.908,-2.703,-2.05,-1.621,-1.257,-0.706,-0.528,1473.872,0.999,Signature.18,-2.748,2.22,98,37,13,1,149,1.779,0.74,0.14,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,7,44,"beta[4,4]",-1.809,0.019,0.706,-3.263,-3.017,-2.275,-1.762,-1.334,-0.706,-0.54,1399.34,0.999,Signature.1A,-2.561,1.98,211,7,44,0,262,0.479,0.31,0.1,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,48,43,"beta[5,4]",-1.134,0.013,0.506,-2.182,-2.016,-1.47,-1.113,-0.788,-0.349,-0.195,1583.325,1.001,Signature.2,-2.241,1.6,235,44,39,4,322,0.772,0.42,0.12,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,6,19,"beta[6,4]",-1.441,0.017,0.653,-2.734,-2.547,-1.863,-1.439,-0.981,-0.375,-0.169,1534.012,1,Signature.20,-2.207,1.56,52,5,18,1,76,0,-0,-0,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,11,42,"beta[7,4]",-1.847,0.017,0.687,-3.338,-3.034,-2.273,-1.798,-1.367,-0.828,-0.655,1569.512,0.999,Signature.3,-2.69,2.15,189,11,42,0,242,1.318,0.6,0.12,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,100,56,"beta[8,4]",-1.458,0.013,0.509,-2.567,-2.378,-1.762,-1.437,-1.082,-0.705,-0.583,1485.965,1.002,Signature.4,-2.863,2.38,549,97,53,3,702,3.184,1.13,0.17,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,9,18,"beta[9,4]",-1.814,0.018,0.714,-3.244,-2.994,-2.268,-1.783,-1.304,-0.715,-0.478,1562.958,0.999,Signature.7,-2.541,1.96,80,9,18,0,107,0.891,0.46,0.12,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,7,31,"beta[10,4]",-1.846,0.019,0.69,-3.332,-3.05,-2.252,-1.8,-1.353,-0.779,-0.627,1292.719,1.001,Signature.U1,-2.677,2.13,72,7,31,0,110,1.635,0.7,0.14,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,234,303,mu_beta[3],-1.647,0.011,0.434,-2.522,-2.383,-1.943,-1.635,-1.343,-0.969,-0.823,1488.771,0.999,overall,-3.799,3.84,1622,225,294,9,2150,21.833,5.53,4.27,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,48,34,"beta[1,4]",-0.562,0.015,0.548,-1.72,-1.534,-0.917,-0.516,-0.201,0.26,0.427,1411.157,1,Signature.2,-1.025,0.52,244,44,30,4,322,0.084,0.11,0.03,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,11,18,"beta[2,4]",-1.094,0.025,0.93,-3.106,-2.769,-1.602,-1.039,-0.449,0.22,0.495,1394.048,1.002,Signature.3,-1.177,0.62,213,11,18,0,242,0.14,0.15,0.03,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,100,30,"beta[3,4]",-0.943,0.016,0.615,-2.298,-2.05,-1.322,-0.881,-0.517,-0.038,0.1,1484.414,1,Signature.4,-1.534,0.9,574,98,28,2,702,0.897,0.46,0.12,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,159,82,mu_beta[3],-0.854,0.017,0.678,-2.274,-1.976,-1.295,-0.825,-0.387,0.226,0.393,1573.489,1,overall,-1.26,0.68,1031,153,76,6,1266,1.713,0.72,0.14,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,48,28,"beta[1,4]",0.161,0.012,0.473,-0.782,-0.636,-0.149,0.165,0.491,0.898,1.08,1552.667,1.002,Signature.2,0.34,0.13,251,43,23,5,322,0.033,0.07,0.02,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,11,13,"beta[2,4]",-0.379,0.025,0.971,-2.609,-1.92,-0.867,-0.268,0.247,0.933,1.191,1519.966,1.001,Signature.3,-0.39,0.16,218,11,13,0,242,0.015,0.05,0.02,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,100,20,"beta[3,4]",0.144,0.014,0.528,-0.898,-0.744,-0.177,0.162,0.485,0.976,1.149,1481.685,1,Signature.4,0.272,0.1,586,96,16,4,702,0.179,0.17,0.03,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,159,61,mu_beta[3],-0.02,0.017,0.678,-1.411,-1.175,-0.413,0.026,0.415,0.99,1.211,1556.075,0.999,overall,-0.03,0.01,1055,150,52,9,1266,0.11,0.13,0.03,TRUE,2.26,2.26
