cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,25,27,"beta[1,4]",-1.25,0.038,1.327,-4.362,-3.71,-1.921,-1.054,-0.361,0.554,0.873,1225.741,0.999,Metastasis,-0.941,0.46,1330,25,27,0,1382,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,63,49,"beta[2,4]",-1.058,0.034,1.152,-3.84,-3.218,-1.658,-0.919,-0.212,0.544,0.779,1135.349,0.999,Primary,-0.918,0.45,2187,62,48,1,2298,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,76,mu_beta[3],-1.144,0.037,1.268,-4,-3.499,-1.872,-1.032,-0.3,0.623,0.941,1206.618,0.999,overall,-0.902,0.44,3517,87,75,1,3680,0.058,0.09,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,25,43,"beta[1,4]",-1.601,0.039,1.459,-4.999,-4.056,-2.287,-1.364,-0.672,0.256,0.504,1401.393,1.001,Metastasis,-1.098,0.56,1314,25,43,0,1382,0.104,0.13,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,63,55,"beta[2,4]",-1.281,0.032,1.168,-4.013,-3.424,-1.889,-1.146,-0.475,0.318,0.544,1361.765,1,Primary,-1.097,0.56,2181,62,54,1,2298,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,88,98,mu_beta[3],-1.396,0.035,1.277,-4.301,-3.685,-2.115,-1.252,-0.504,0.356,0.598,1363.436,1.001,overall,-1.093,0.56,3495,87,97,1,3680,0.32,0.24,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,25,145,"beta[1,4]",-2.285,0.04,1.294,-5.141,-4.461,-2.791,-2.077,-1.477,-0.795,-0.633,1023.441,1,Metastasis,-1.765,1.11,1212,25,145,0,1382,1.955,0.79,0.01,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,63,281,"beta[2,4]",-1.933,0.025,0.802,-3.789,-3.445,-2.384,-1.847,-1.367,-0.799,-0.601,1015.03,1.001,Primary,-2.41,1.8,1956,61,279,2,2298,4.118,1.37,0.42,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,88,426,mu_beta[3],-2.089,0.032,1.03,-4.446,-3.94,-2.61,-1.978,-1.414,-0.688,-0.378,1019.409,1,overall,-2.029,1.37,3168,86,424,2,3680,6.721,2.02,0.77,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,25,52,"beta[1,4]",-1.252,0.035,1.144,-3.939,-3.173,-1.713,-1.078,-0.487,0.206,0.359,1091.912,1,Metastasis,-1.094,0.56,1305,25,52,0,1382,0.218,0.19,0,TRUE,2.86,2.86
