cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,27,67,"beta[1,4]",-2.42,0.02,0.767,-4.128,-3.789,-2.854,-2.336,-1.904,-1.336,-1.166,1466.547,1,2,-3.155,2.8,344,27,67,0,438,4.014,1.35,1.01,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,46,101,"beta[2,4]",-2.516,0.021,0.751,-4.255,-3.902,-2.928,-2.42,-2.008,-1.47,-1.289,1259.636,1.004,3,-3.349,3.09,474,46,101,0,621,8.403,2.43,1.95,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,127,115,"beta[3,4]",-2.201,0.013,0.503,-3.258,-3.077,-2.523,-2.163,-1.855,-1.453,-1.315,1450.912,1,4,-4.38,4.93,520,124,112,3,759,18.229,4.71,3.83,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,222,100,"beta[4,4]",-1.529,0.011,0.416,-2.407,-2.257,-1.792,-1.507,-1.237,-0.882,-0.761,1505.548,0.998,5,-3.673,3.62,903,215,93,7,1218,8.41,2.43,1.95,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,422,383,mu_beta[3],-2.153,0.014,0.524,-3.25,-3.048,-2.475,-2.113,-1.797,-1.361,-1.228,1362.162,1,overall,-4.106,4.4,2241,412,373,10,3036,45.598,10.84,9.66,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,27,14,"beta[1,4]",-1.563,0.023,0.877,-3.443,-3.034,-2.081,-1.51,-0.969,-0.284,-0.064,1500.219,0.999,2,-1.782,1.13,397,27,14,0,438,0.168,0.17,0.14,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,46,16,"beta[2,4]",-1.565,0.021,0.807,-3.326,-2.991,-2.037,-1.514,-1.015,-0.355,-0.146,1511.959,0.999,3,-1.939,1.28,559,46,16,0,621,0.439,0.29,0.16,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,127,38,"beta[3,4]",-1.19,0.013,0.533,-2.318,-2.152,-1.508,-1.151,-0.828,-0.384,-0.252,1700.557,1.001,4,-2.231,1.59,597,124,35,3,759,1.625,0.69,0.42,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,222,81,"beta[4,4]",-1.361,0.011,0.433,-2.332,-2.112,-1.618,-1.334,-1.062,-0.698,-0.602,1687.595,1.001,5,-3.145,2.78,920,217,76,5,1218,7.614,2.24,1.84,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,422,149,mu_beta[3],-1.416,0.015,0.59,-2.633,-2.419,-1.783,-1.39,-1.031,-0.518,-0.296,1556.674,1.001,overall,-2.399,1.78,2473,414,141,8,3036,8.793,2.52,1.95,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,PI3K_AKT,non-small cell lung cancer,27,16,"beta[1,4]",-0.893,0.019,0.771,-2.602,-2.212,-1.305,-0.835,-0.377,0.238,0.42,1589.586,1,2,-1.159,0.61,395,27,16,0,438,0.265,0.22,0.15,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,PI3K_AKT,non-small cell lung cancer,46,14,"beta[2,4]",-0.911,0.019,0.74,-2.526,-2.2,-1.354,-0.827,-0.415,0.169,0.379,1443.154,1.001,3,-1.231,0.66,561,46,14,0,621,0.307,0.24,0.15,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,PI3K_AKT,non-small cell lung cancer,127,31,"beta[3,4]",-0.692,0.013,0.491,-1.712,-1.527,-1.003,-0.669,-0.374,0.075,0.229,1474.058,0.999,4,-1.409,0.8,604,124,28,3,759,0.687,0.39,0.21,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,PI3K_AKT,non-small cell lung cancer,222,50,"beta[4,4]",-0.359,0.01,0.382,-1.139,-1.026,-0.616,-0.337,-0.087,0.222,0.324,1400.652,0.999,5,-0.939,0.46,954,214,42,8,1218,0.053,0.09,0.09,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12C,PI3K_AKT,non-small cell lung cancer,422,111,mu_beta[3],-0.716,0.014,0.525,-1.891,-1.631,-1.024,-0.682,-0.362,0.071,0.228,1468.557,1,overall,-1.364,0.76,2514,411,100,11,3036,1.206,0.57,0.34,TRUE,2.26,2.26
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,colorectal cancer,58,16,"beta[1,4]",-0.01,0.015,0.575,-1.206,-1.006,-0.366,0.005,0.386,0.893,1.078,1494.384,0.999,3,-0.017,0.01,410,56,14,2,482,0,0,0,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,colorectal cancer,113,57,"beta[2,4]",0.313,0.009,0.328,-0.355,-0.257,0.091,0.33,0.544,0.832,0.889,1482.91,1,4,0.952,0.47,614,102,46,11,773,0.713,0.4,0,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,colorectal cancer,100,92,"beta[3,4]",0.356,0.007,0.267,-0.163,-0.09,0.186,0.355,0.525,0.805,0.884,1486.45,1,5,1.334,0.74,418,80,72,20,590,1.396,0.62,0.06,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,colorectal cancer,12,49,"beta[4,4]",0.207,0.013,0.502,-0.84,-0.668,-0.135,0.213,0.541,1.01,1.15,1441.217,1,6,0.411,0.17,81,7,44,5,137,0.017,0.05,0,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,non-small cell lung cancer,19,67,"beta[1,4]",-2.246,0.02,0.78,-3.96,-3.623,-2.738,-2.181,-1.691,-1.061,-0.922,1456.967,1,2,-2.879,2.4,352,19,67,0,438,2.459,0.93,0.22,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,non-small cell lung cancer,39,101,"beta[2,4]",-2.162,0.018,0.709,-3.708,-3.42,-2.616,-2.089,-1.652,-1.124,-0.941,1495.143,1,3,-3.049,2.64,482,38,100,1,621,4.712,1.52,0.52,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,non-small cell lung cancer,33,115,"beta[3,4]",-2.304,0.021,0.806,-4.094,-3.658,-2.746,-2.225,-1.747,-1.141,-0.977,1460.106,1,4,-2.859,2.37,611,33,115,0,759,4.99,1.59,0.52,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,non-small cell lung cancer,42,100,"beta[4,4]",-1.936,0.02,0.737,-3.41,-3.164,-2.404,-1.896,-1.438,-0.789,-0.608,1428.048,1,5,-2.626,2.06,1078,40,98,2,1218,0.294,0.23,0,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,colorectal cancer,283,214,mu_beta[3],0.222,0.014,0.497,-0.796,-0.626,-0.081,0.216,0.55,0.998,1.196,1348.83,0.999,overall,0.445,0.18,1523,245,176,38,1982,2.064,0.82,0.19,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_extended,non-small cell lung cancer,133,383,mu_beta[3],-2.164,0.019,0.694,-3.682,-3.39,-2.587,-2.116,-1.659,-1.147,-0.975,1404.45,1.001,overall,-3.116,2.74,2523,130,380,3,3036,12.576,3.41,1.93,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_brief,colorectal cancer,58,20,"beta[1,4]",-0.565,0.016,0.594,-1.853,-1.596,-0.915,-0.511,-0.158,0.324,0.428,1461.178,0.999,3,-0.952,0.47,405,57,19,1,482,0.405,0.28,0,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_brief,colorectal cancer,113,66,"beta[2,4]",-0.262,0.009,0.354,-1.02,-0.856,-0.491,-0.251,-0.021,0.291,0.416,1578.961,0.999,4,-0.739,0.34,602,105,58,8,773,0.175,0.17,0,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_brief,colorectal cancer,100,83,"beta[3,4]",0.034,0.008,0.291,-0.568,-0.456,-0.149,0.042,0.233,0.492,0.576,1335.297,1,5,0.117,0.04,422,85,68,15,590,0.019,0.05,0,TRUE,2.26,2.86
single,Driver mutation (gene_pathways),TMB,KRAS_12D,RAS_RAF_MAPK_brief,colorectal cancer,12,37,"beta[4,4]",0.047,0.013,0.504,-0.968,-0.808,-0.278,0.051,0.375,0.893,1.021,1616.43,1.002,6,0.093,0.03,92,8,33,4,137,0.031,0.07,0,TRUE,2.26,2.86
