cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,35,"beta[1,4]",-0.522,0.015,0.582,-1.71,-1.541,-0.867,-0.538,-0.132,0.385,0.552,1537.548,1.001,Signature.13,-0.897,0.43,59,4,33,2,98,0,0,0,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,42,"beta[3,4]",-0.544,0.015,0.593,-1.766,-1.556,-0.932,-0.536,-0.111,0.374,0.555,1548.145,0.999,Signature.15,-0.918,0.45,89,5,40,2,136,0,0,0,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,38,49,"beta[5,4]",-0.51,0.011,0.389,-1.306,-1.157,-0.785,-0.496,-0.241,0.083,0.189,1277.097,1,Signature.18,-1.31,0.72,72,29,40,9,150,1.36,0.61,0.21,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,65,"beta[6,4]",-0.778,0.015,0.611,-1.984,-1.795,-1.154,-0.774,-0.374,0.226,0.414,1610.245,1,Signature.1A,-1.273,0.69,195,6,64,1,266,0.035,0.07,0,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,48,70,"beta[7,4]",-0.206,0.009,0.359,-0.917,-0.803,-0.443,-0.2,0.039,0.379,0.469,1573.371,1.001,Signature.2,-0.574,0.25,216,38,60,10,324,0,0,0,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,25,"beta[8,4]",-0.784,0.017,0.639,-2.049,-1.846,-1.214,-0.786,-0.329,0.215,0.406,1481.587,0.999,Signature.20,-1.228,0.66,47,5,24,1,77,0.165,0.16,0.03,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,11,68,"beta[10,4]",-0.694,0.014,0.544,-1.818,-1.615,-1.046,-0.662,-0.314,0.149,0.276,1466.688,1,Signature.3,-1.275,0.69,168,9,66,2,245,0.145,0.15,0.03,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,100,214,"beta[11,4]",-0.69,0.007,0.262,-1.213,-1.124,-0.861,-0.679,-0.514,-0.271,-0.194,1281.267,1,Signature.4,-2.635,2.08,414,81,195,19,709,6.305,1.92,1.14,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,16,"beta[12,4]",-1.071,0.018,0.657,-2.434,-2.18,-1.492,-1.044,-0.646,-0.032,0.155,1351.524,1.001,Signature.6,-1.629,0.99,31,6,16,0,53,1.533,0.67,0.21,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,9,28,"beta[13,4]",-0.843,0.017,0.616,-2.102,-1.933,-1.242,-0.826,-0.385,0.132,0.249,1324.83,0.999,Signature.7,-1.37,0.77,72,8,27,1,108,0.438,0.29,0.08,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,14,"beta[14,4]",-0.668,0.019,0.636,-1.968,-1.695,-1.079,-0.649,-0.259,0.393,0.602,1134.073,1.001,Signature.8,-1.051,0.53,43,6,13,1,63,0.003,0.02,0,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,134,36,"beta[15,4]",-1.129,0.009,0.345,-1.832,-1.719,-1.355,-1.123,-0.892,-0.576,-0.472,1435.206,1.002,Signature.R2,-3.277,2.98,45,120,22,14,201,13.743,3.68,2.78,TRUE,1.9,1.9
single,Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,14,"beta[16,4]",-0.511,0.017,0.635,-1.757,-1.524,-0.955,-0.521,-0.075,0.544,0.75,1422.399,1,Signature.U1,-0.805,0.38,91,6,13,1,111,0,0,0,TRUE,1.9,1.9
