cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Inactivating mutation,none,KRAS_12A,KMT2C,non-small cell lung cancer,88,58,"beta[1,4]",-5.362,0.246,5.341,-16.014,-12.754,-6.962,-4.301,-2.4,-0.627,-0.262,469.961,1.001,NA,-1.004,0.5,3535,88,58,0,3681,0.59,0.35,0.01,FALSE,3.65,3.76
multi,Inactivating mutation,none,KRAS_12A,TP53,colorectal cancer,56,553,"beta[1,4]",-0.348,0.008,0.301,-0.951,-0.856,-0.544,-0.345,-0.144,0.143,0.224,1400.321,1,NA,-1.155,0.61,1930,45,542,11,2528,0.06,0.09,0,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,TP53,non-small cell lung cancer,91,689,"beta[2,4]",-0.56,0.008,0.303,-1.171,-1.07,-0.765,-0.546,-0.348,-0.1,0,1369.693,1,NA,-1.847,1.19,3069,82,680,9,3840,3.564,1.23,0.48,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,FBXW7,colorectal cancer,56,113,"beta[1,4]",0.907,0.013,0.458,-0.097,0.107,0.649,0.911,1.217,1.606,1.757,1262.348,1.002,NA,1.978,1.32,2357,50,107,6,2520,3.809,1.29,0.48,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,PTPRD,non-small cell lung cancer,88,51,"beta[1,4]",0.785,0.018,0.646,-0.63,-0.388,0.384,0.842,1.25,1.752,1.881,1272.878,1.001,NA,1.215,0.65,3561,85,48,3,3697,1.415,0.63,0.03,FALSE,3.65,3.76
multi,Inactivating mutation,none,KRAS_12A,CREBBP,colorectal cancer,51,63,"beta[1,4]",0.099,0.037,0.833,-1.699,-1.368,-0.39,0.179,0.685,1.274,1.416,502.233,1.005,NA,0.119,0.04,2177,49,61,2,2289,0.007,0.03,0,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,AXIN2,colorectal cancer,51,67,"beta[1,4]",0.942,0.016,0.578,-0.305,-0.062,0.588,0.997,1.343,1.807,1.93,1362.714,1,NA,1.629,0.99,2178,47,63,4,2292,2.853,1.04,0.34,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,SMARCA4,non-small cell lung cancer,88,141,"beta[1,4]",-1.729,0.035,1.215,-4.739,-4.011,-2.35,-1.599,-0.849,-0.079,0.058,1229.933,1.003,NA,-1.423,0.81,3472,87,140,1,3700,1.091,0.53,0.03,FALSE,3.65,3.76
multi,Inactivating mutation,none,KRAS_12A,PTPRT,non-small cell lung cancer,88,54,"beta[1,4]",-5.112,0.154,4.18,-15.403,-12.714,-6.983,-4.166,-2.295,-0.494,-0.055,733.825,1.003,NA,-1.223,0.66,3555,88,54,0,3697,0.499,0.32,0.01,FALSE,3.65,3.76
multi,Inactivating mutation,none,KRAS_12A,RNF43,colorectal cancer,51,204,"beta[1,4]",-6.449,0.123,4.382,-16.333,-13.616,-8.28,-5.571,-3.568,-1.84,-1.213,1270.067,0.999,NA,-1.472,0.85,2070,51,204,0,2325,3.957,1.33,0.48,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,PTEN,colorectal cancer,56,121,"beta[1,4]",-1.891,0.033,1.25,-4.798,-4.234,-2.599,-1.689,-1.029,-0.185,0.044,1422.111,0.999,NA,-1.512,0.88,2368,55,120,1,2544,0.546,0.34,0.01,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,PTEN,non-small cell lung cancer,91,74,"beta[2,4]",-2.463,0.041,1.569,-6.409,-5.433,-3.262,-2.204,-1.358,-0.438,-0.145,1478.73,1,NA,-1.57,0.93,3658,91,74,0,3823,0.944,0.48,0.03,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,ARID1A,colorectal cancer,51,217,"beta[1,4]",-0.891,0.015,0.604,-2.197,-1.928,-1.236,-0.843,-0.47,-0.012,0.112,1546.748,0.999,NA,-1.474,0.85,2062,49,215,2,2328,1.205,0.56,0.03,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,ARID1A,non-small cell lung cancer,89,163,"beta[2,4]",-0.58,0.014,0.554,-1.716,-1.537,-0.933,-0.559,-0.188,0.289,0.422,1484.741,0.999,NA,-1.047,0.53,3456,86,160,3,3705,0.047,0.08,0,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,PIK3R1,colorectal cancer,51,54,"beta[1,4]",-0.847,0.159,1.184,-3.47,-2.677,-1.854,-0.722,0.049,0.913,1.121,55.582,1.035,NA,-0.715,0.32,2182,50,53,1,2286,0,0,0,TRUE,3.95,4.2
multi,Inactivating mutation,none,KRAS_12A,FAT1,colorectal cancer,51,61,"beta[1,4]",-0.024,0.02,0.702,-1.597,-1.277,-0.432,0.046,0.431,1.067,1.256,1244.443,0.999,NA,-0.034,0.01,2177,49,59,2,2287,0.015,0.04,0,FALSE,3.65,3.76
multi,Inactivating mutation,none,KRAS_12A,FAT1,non-small cell lung cancer,88,61,"beta[2,4]",-0.224,0.022,0.749,-1.979,-1.603,-0.624,-0.136,0.291,0.79,0.998,1196.314,0.999,NA,-0.3,0.12,3551,87,60,1,3699,0,0,0,FALSE,3.65,3.76
