cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,25,27,"beta[1,4]",-4.333,0.12,2.998,-11.239,-9.93,-6.222,-3.769,-2.024,-0.338,0.134,625.819,1.004,50-65,-1.445,0.83,1258,25,27,0,1310,0,0.01,0,FALSE,3.65,3.76
single,Inactivating mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,63,27,"beta[2,4]",-4.402,0.127,3.007,-11.233,-9.805,-6.331,-3.902,-2.041,-0.466,0.039,562.359,1.005,>65,-1.464,0.84,2031,63,27,0,2121,0.119,0.14,0,FALSE,3.65,3.76
single,Inactivating mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,88,54,mu_beta[3],-4.283,0.119,2.936,-10.936,-9.812,-6.155,-3.788,-1.964,-0.415,0.119,609.59,1.005,overall,-1.459,0.84,3289,88,54,0,3431,0.59,0.35,0,FALSE,3.65,3.76
single,Inactivating mutation,agecat,KRAS_12A,TP53,colorectal cancer,15,105,"beta[2,4]",-0.151,0.012,0.378,-0.921,-0.808,-0.392,-0.131,0.109,0.44,0.542,970.746,0.999,40-50,-0.4,0.16,368,11,101,4,484,0.024,0.06,0,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,TP53,colorectal cancer,18,248,"beta[3,4]",-0.213,0.012,0.375,-0.989,-0.864,-0.45,-0.2,0.056,0.364,0.474,985.982,1.001,50-65,-0.569,0.24,816,15,245,3,1079,0.13,0.14,0,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,TP53,colorectal cancer,18,148,"beta[4,4]",-0.186,0.012,0.373,-0.938,-0.821,-0.419,-0.164,0.067,0.404,0.496,969.23,1,>65,-0.5,0.21,566,15,145,3,729,0.008,0.03,0,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,26,271,"beta[2,4]",-0.171,0.014,0.52,-1.176,-1.033,-0.524,-0.154,0.196,0.675,0.792,1371.343,1.002,50-65,-0.329,0.13,1091,20,265,6,1382,0.04,0.08,0,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,65,374,"beta[3,4]",-1.185,0.017,0.532,-2.34,-2.111,-1.49,-1.142,-0.828,-0.399,-0.249,1010.066,1.001,>65,-2.228,1.59,1755,62,371,3,2191,6.461,1.96,0.63,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,TP53,colorectal cancer,56,553,mu_beta[3],-0.182,0.012,0.363,-0.92,-0.809,-0.416,-0.166,0.071,0.374,0.498,964.755,1,overall,-0.502,0.21,1930,45,542,11,2528,0.06,0.09,0,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,91,680,mu_beta[3],-0.726,0.023,0.751,-2.427,-1.951,-1.129,-0.679,-0.297,0.398,0.605,1111.476,0.999,overall,-0.967,0.48,3013,82,671,9,3775,3.622,1.24,0.25,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,15,23,"beta[1,4]",0.965,0.018,0.509,-0.112,0.051,0.643,1.01,1.3,1.718,1.841,838.763,1.001,40-50,1.897,1.24,449,13,21,2,485,0.947,0.48,0,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,18,48,"beta[2,4]",0.984,0.019,0.488,-0.076,0.146,0.669,1.034,1.319,1.689,1.816,665.763,0.999,50-65,2.015,1.36,1012,15,45,3,1075,3.811,1.29,0.25,TRUE,3.95,4.2
single,Inactivating mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,18,37,"beta[3,4]",0.889,0.02,0.525,-0.293,-0.052,0.556,0.944,1.26,1.624,1.757,663.749,1.002,>65,1.692,1.04,670,17,36,1,724,0,0,0,TRUE,3.95,4.2
