cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,24,"beta[1,4]",-0.609,0.016,0.636,-1.906,-1.663,-1.03,-0.607,-0.17,0.4,0.537,1673.037,0.999,Signature.13,-0.957,0.47,70,5,23,1,99,0,0,0,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,25,"beta[3,4]",-0.563,0.017,0.652,-1.866,-1.655,-0.985,-0.541,-0.112,0.468,0.664,1507.776,1,Signature.15,-0.863,0.41,105,6,24,1,136,0,0,0,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,38,28,"beta[4,4]",-0.494,0.012,0.455,-1.449,-1.25,-0.782,-0.484,-0.195,0.24,0.379,1362.662,0.999,Signature.18,-1.086,0.56,90,33,23,5,151,0.557,0.34,0.08,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,8,14,"beta[5,4]",-0.277,0.017,0.629,-1.56,-1.298,-0.696,-0.264,0.157,0.692,0.944,1433.39,1.001,Signature.19,-0.441,0.18,43,6,12,2,63,0,0,0,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,50,"beta[6,4]",0.322,0.015,0.598,-0.834,-0.634,-0.089,0.315,0.726,1.308,1.497,1549.898,0.999,Signature.1A,0.538,0.23,214,3,46,4,267,4.619,1.5,0.52,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,48,83,"beta[7,4]",-0.716,0.01,0.376,-1.507,-1.381,-0.94,-0.706,-0.464,-0.111,-0.008,1472.402,0.999,Signature.2,-1.903,1.24,204,41,76,7,328,2.787,1.02,0.32,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,11,"beta[8,4]",-0.854,0.019,0.716,-2.323,-2.11,-1.317,-0.802,-0.366,0.247,0.436,1475.814,1.003,Signature.20,-1.194,0.63,60,6,11,0,77,0.188,0.18,0,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,11,59,"beta[9,4]",-0.304,0.015,0.546,-1.431,-1.241,-0.656,-0.291,0.072,0.537,0.695,1383.517,0.999,Signature.3,-0.558,0.24,178,8,56,3,245,0,0,0,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,100,181,"beta[10,4]",-0.383,0.007,0.261,-0.9,-0.8,-0.561,-0.384,-0.205,0.047,0.122,1391.097,1.001,Signature.4,-1.469,0.85,446,80,161,20,707,1.591,0.68,0.16,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,13,"beta[11,4]",-0.989,0.019,0.71,-2.465,-2.218,-1.45,-0.968,-0.514,0.134,0.386,1415.607,0.999,Signature.6,-1.393,0.79,34,6,13,0,53,0.959,0.48,0.1,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,9,22,"beta[12,4]",-0.346,0.016,0.621,-1.619,-1.365,-0.753,-0.31,0.072,0.629,0.81,1579.92,1,Signature.7,-0.558,0.24,79,7,20,2,108,0,0,0,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,134,29,"beta[13,4]",-0.384,0.01,0.364,-1.1,-0.972,-0.628,-0.394,-0.151,0.227,0.342,1319.913,1,Signature.R2,-1.055,0.54,52,117,12,17,198,0.835,0.44,0.1,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,23,"beta[14,4]",-1.019,0.018,0.674,-2.444,-2.189,-1.432,-0.994,-0.563,0.018,0.21,1441.457,1,Signature.U1,-1.512,0.88,81,7,23,0,111,0.838,0.44,0.1,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,391,576,mu_beta[3],-0.536,0.008,0.302,-1.168,-1.05,-0.722,-0.531,-0.333,-0.037,0.048,1485.536,0.999,overall,-1.776,1.12,1694,329,514,62,2599,10.182,2.85,1.57,TRUE,2.86,2.86
single,Inactivating mutation,Mutation signature,KRAS_12C,SMARCA4,non-small cell lung cancer,48,11,"beta[1,4]",0.715,0.017,0.612,-0.429,-0.269,0.296,0.704,1.101,1.77,1.976,1340.294,0.999,Signature.2,1.17,0.62,269,44,7,4,324,2.609,0.97,0.32,FALSE,2.7,2.7
