cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,sex,KRAS_12A,KMT2C,non-small cell lung cancer,56,33,"beta[1,4]",-4.588,0.211,2.878,-11.159,-9.494,-5.973,-4.78,-2.314,-0.38,-0.046,186.601,1.028,Female,-1.594,0.95,2047,56,33,0,2136,0.161,0.16,0,FALSE,3.65,3.76
single,Inactivating mutation,sex,KRAS_12A,KMT2C,non-small cell lung cancer,32,25,"beta[2,4]",-4.543,0.188,2.827,-10.915,-9.449,-5.775,-4.789,-2.345,-0.415,0.043,225.999,1.018,Male,-1.607,0.97,1488,32,25,0,1545,0.001,0.01,0,FALSE,3.65,3.76
single,Inactivating mutation,sex,KRAS_12A,KMT2C,non-small cell lung cancer,88,58,mu_beta[3],-4.556,0.239,2.84,-11.03,-9.355,-5.968,-4.724,-2.34,-0.349,-0.002,140.764,1.031,overall,-1.604,0.96,3535,88,58,0,3681,0.59,0.35,0,FALSE,3.65,3.76
single,Inactivating mutation,sex,KRAS_12A,TP53,colorectal cancer,25,259,"beta[1,4]",-0.229,0.014,0.386,-1.038,-0.89,-0.471,-0.186,0.017,0.357,0.497,812.17,1.004,Female,-0.592,0.26,878,21,255,4,1158,0.281,0.22,0,TRUE,3.95,4.2
single,Inactivating mutation,sex,KRAS_12A,TP53,colorectal cancer,31,294,"beta[2,4]",-0.136,0.012,0.358,-0.84,-0.738,-0.362,-0.15,0.107,0.439,0.533,883.699,1.005,Male,-0.38,0.15,1052,24,287,7,1370,0,0,0,TRUE,3.95,4.2
single,Inactivating mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,58,372,"beta[1,4]",-0.718,0.009,0.378,-1.539,-1.364,-0.963,-0.707,-0.475,-0.125,0.006,1605.125,0.999,Female,-1.9,1.24,1801,52,366,6,2225,1.3,0.59,0,TRUE,3.95,4.2
single,Inactivating mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,33,317,"beta[2,4]",-0.811,0.011,0.433,-1.739,-1.541,-1.088,-0.791,-0.517,-0.14,-0.032,1615.209,0.999,Male,-1.873,1.21,1268,30,314,3,1615,1.738,0.73,0,TRUE,3.95,4.2
single,Inactivating mutation,sex,KRAS_12A,TP53,colorectal cancer,56,553,mu_beta[3],-0.173,0.014,0.431,-1.038,-0.846,-0.417,-0.168,0.091,0.427,0.625,967.596,1.001,overall,-0.4,0.16,1930,45,542,11,2528,0.06,0.09,0,TRUE,3.95,4.2
single,Inactivating mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,91,689,mu_beta[3],-0.764,0.012,0.466,-1.705,-1.492,-1.043,-0.741,-0.476,-0.072,0.086,1620.232,0.999,overall,-1.639,0.99,3069,82,680,9,3840,3.564,1.23,0.21,TRUE,3.95,4.2
single,Inactivating mutation,sex,KRAS_12A,FBXW7,colorectal cancer,25,44,"beta[1,4]",0.916,0.015,0.514,-0.167,0.046,0.57,0.938,1.266,1.728,1.887,1110.993,1,Female,1.783,1.13,1088,22,41,3,1154,2.667,0.99,0.11,TRUE,3.95,4.2
single,Inactivating mutation,sex,KRAS_12A,FBXW7,colorectal cancer,31,69,"beta[2,4]",0.829,0.018,0.502,-0.253,-0.031,0.5,0.86,1.172,1.613,1.704,744.647,1.004,Male,1.652,1.01,1269,28,66,3,1366,0.601,0.36,0,TRUE,3.95,4.2
single,Inactivating mutation,sex,KRAS_12A,FBXW7,colorectal cancer,56,113,mu_beta[3],0.886,0.017,0.567,-0.214,-0.067,0.519,0.894,1.249,1.74,1.929,1113.778,1.003,overall,1.563,0.93,2357,50,107,6,2520,3.809,1.29,0.21,TRUE,3.95,4.2
