cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,27,49,"beta[1,4]",-0.443,0.012,0.472,-1.379,-1.224,-0.752,-0.451,-0.122,0.339,0.479,1656.8,0.999,2,-0.938,0.46,368,24,46,3,441,0,-0,-0,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,46,116,"beta[2,4]",-0.715,0.012,0.405,-1.584,-1.414,-0.974,-0.696,-0.443,-0.078,0.051,1236.856,1.001,3,-1.767,1.11,473,41,111,5,630,1.377,0.62,0.4,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,127,145,"beta[3,4]",-0.715,0.007,0.266,-1.254,-1.18,-0.883,-0.705,-0.535,-0.303,-0.215,1600.52,1,4,-2.693,2.15,508,113,131,14,766,5.598,1.75,1.23,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,222,346,"beta[4,4]",-0.627,0.004,0.177,-0.967,-0.923,-0.742,-0.626,-0.506,-0.336,-0.286,1707.916,1,5,-3.539,3.4,707,181,305,41,1234,11.717,3.21,2.25,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,422,656,mu_beta[3],-0.622,0.009,0.363,-1.304,-1.195,-0.852,-0.634,-0.393,-0.008,0.105,1669.712,1,overall,-1.713,1.06,2056,359,593,63,3071,11.61,3.18,2.25,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,SMARCA4,non-small cell lung cancer,46,12,"beta[1,4]",1.27,0.016,0.606,0.086,0.313,0.873,1.27,1.676,2.284,2.492,1358.314,1,3,2.097,1.44,572,42,8,4,626,8.555,2.46,1.73,FALSE,2.7,2.7
single,Inactivating mutation,TMB,KRAS_12C,SMARCA4,non-small cell lung cancer,127,28,"beta[2,4]",0.797,0.011,0.401,0.006,0.119,0.525,0.811,1.073,1.43,1.528,1347.317,1.001,4,1.986,1.33,616,118,19,9,762,3.923,1.32,0.89,FALSE,2.7,2.7
single,Inactivating mutation,TMB,KRAS_12C,SMARCA4,non-small cell lung cancer,223,94,"beta[3,4]",-0.155,0.008,0.301,-0.757,-0.678,-0.35,-0.143,0.065,0.324,0.391,1397.969,1,5,-0.516,0.22,923,209,80,14,1226,0.523,0.33,0.2,FALSE,2.7,2.7
single,Inactivating mutation,TMB,KRAS_12C,SMARCA4,non-small cell lung cancer,396,134,mu_beta[3],0.609,0.017,0.646,-0.65,-0.394,0.209,0.591,0.992,1.69,1.873,1419.78,0.999,overall,0.942,0.46,2111,369,107,27,2614,2.352,0.9,0.63,FALSE,2.7,2.7
single,Inactivating mutation,TMB,KRAS_12C,ARID1A,non-small cell lung cancer,127,34,"beta[1,4]",-0.545,0.012,0.483,-1.67,-1.426,-0.816,-0.5,-0.188,0.127,0.248,1529.466,1,4,-1.127,0.59,605,124,31,3,763,1.034,0.51,0.34,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,ARID1A,non-small cell lung cancer,224,103,"beta[2,4]",-0.121,0.007,0.266,-0.636,-0.555,-0.309,-0.116,0.06,0.308,0.396,1533.781,1.001,5,-0.455,0.19,920,206,85,18,1229,0.005,0.03,-0,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,ARID1A,non-small cell lung cancer,351,137,mu_beta[3],-0.341,0.015,0.579,-1.548,-1.225,-0.625,-0.312,-0.012,0.431,0.674,1570.833,1.001,overall,-0.588,0.25,1525,330,116,21,1992,0.376,0.27,0.18,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,RB1,non-small cell lung cancer,46,28,"beta[1,4]",-1.206,0.016,0.642,-2.443,-2.286,-1.613,-1.17,-0.783,-0.216,-0.032,1563.389,1.001,3,-1.879,1.22,553,45,27,1,626,0.171,0.17,0.1,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,RB1,non-small cell lung cancer,127,40,"beta[2,4]",-1.336,0.015,0.565,-2.559,-2.3,-1.666,-1.302,-0.957,-0.504,-0.316,1512.09,1,4,-2.365,1.74,597,125,38,2,762,3.298,1.16,0.78,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,RB1,non-small cell lung cancer,222,86,"beta[3,4]",-1.208,0.01,0.387,-2.018,-1.883,-1.46,-1.197,-0.93,-0.621,-0.526,1425.511,1,5,-3.119,2.74,923,216,80,6,1225,6.957,2.08,1.5,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,RB1,non-small cell lung cancer,395,154,mu_beta[3],-1.25,0.013,0.523,-2.318,-2.162,-1.558,-1.215,-0.895,-0.475,-0.301,1603.685,1,overall,-2.391,1.77,2073,386,145,9,2613,10.211,2.86,2.07,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,NF1,non-small cell lung cancer,46,18,"beta[1,4]",-1.689,0.025,0.984,-3.806,-3.296,-2.207,-1.561,-1.079,-0.332,-0.1,1582.106,1,3,-1.717,1.07,562,46,18,0,626,0.569,0.35,0.2,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,NF1,non-small cell lung cancer,127,48,"beta[2,4]",-1.534,0.015,0.602,-2.865,-2.619,-1.895,-1.489,-1.109,-0.652,-0.521,1644.679,1,4,-2.547,1.96,597,125,46,2,770,4.733,1.53,1.04,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,NF1,non-small cell lung cancer,223,108,"beta[3,4]",-1.074,0.01,0.355,-1.832,-1.662,-1.302,-1.058,-0.827,-0.517,-0.431,1333.723,1.001,5,-3.026,2.61,913,214,99,9,1235,6.859,2.05,1.5,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,NF1,non-small cell lung cancer,396,174,mu_beta[3],-1.416,0.018,0.669,-2.734,-2.503,-1.791,-1.379,-0.976,-0.433,-0.253,1419.047,1,overall,-2.116,1.46,2072,385,163,11,2631,10.386,2.9,2.07,TRUE,2.86,2.86
single,Inactivating mutation,TMB,KRAS_12C,SETD2,non-small cell lung cancer,46,16,"beta[1,4]",-0.522,0.02,0.798,-2.422,-1.95,-0.885,-0.416,0.031,0.526,0.643,1591.293,1.001,3,-0.653,0.29,568,46,16,0,630,0.423,0.29,0.19,FALSE,2.7,2.7
single,Inactivating mutation,TMB,KRAS_12C,SETD2,non-small cell lung cancer,127,34,"beta[2,4]",-0.282,0.012,0.467,-1.269,-1.113,-0.571,-0.255,0.029,0.43,0.552,1488.452,1.003,4,-0.603,0.26,609,123,30,4,766,0.288,0.23,0.15,FALSE,2.7,2.7
