cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Any mutation,none,KRAS_12A,ATRX,non-small cell lung cancer,79,153,"beta[1,4]",0.334,0.014,0.51,-0.779,-0.575,0.035,0.373,0.686,1.104,1.204,1383.365,1,NA,0.653,0.29,3490,74,148,5,3717,0.511,0.32,0,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12A,ATR,non-small cell lung cancer,79,94,"beta[1,4]",0.236,0.017,0.648,-1.277,-0.925,-0.127,0.293,0.668,1.185,1.328,1376.213,1.003,NA,0.364,0.15,3532,76,91,3,3702,0.128,0.14,0,FALSE,4.73,4.73
multi,Any mutation,none,KRAS_12A,PDGFRA,non-small cell lung cancer,81,107,"beta[1,4]",0.137,0.018,0.627,-1.162,-0.942,-0.231,0.168,0.603,1.1,1.238,1194.512,1.001,NA,0.219,0.08,3642,78,104,3,3827,0.026,0.06,0,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12A,NSD1,non-small cell lung cancer,78,69,"beta[1,4]",0.942,0.022,0.573,-0.333,-0.107,0.618,0.993,1.337,1.815,1.979,664.459,1.006,NA,1.643,1,3555,74,65,4,3698,2.99,1.08,0.15,FALSE,4.73,4.73
multi,Any mutation,none,KRAS_12A,FLT4,non-small cell lung cancer,79,76,"beta[1,4]",0.842,0.014,0.551,-0.354,-0.139,0.49,0.865,1.224,1.7,1.826,1474.65,1.001,NA,1.528,0.9,3550,75,72,4,3701,2.267,0.88,0.07,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12A,KMT2C,non-small cell lung cancer,78,155,"beta[1,4]",-1.396,0.312,1.069,-4.256,-3.399,-1.888,-0.842,-0.842,-0.114,0.05,11.722,1.088,NA,-1.306,0.72,3459,77,154,1,3691,1.026,0.51,0,FALSE,4.73,4.73
multi,Any mutation,none,KRAS_12A,PTPRD,non-small cell lung cancer,79,309,"beta[1,4]",0.445,0.011,0.361,-0.29,-0.163,0.204,0.459,0.704,0.994,1.087,1124.748,1.002,NA,1.232,0.66,3367,69,299,10,3745,1.519,0.66,0.03,FALSE,4.73,4.73
multi,Any mutation,none,KRAS_12A,RET,non-small cell lung cancer,81,66,"beta[1,4]",-0.855,0.033,1.169,-3.672,-3.119,-1.481,-0.68,-0.038,0.781,0.968,1289.623,1,NA,-0.731,0.33,3679,80,65,1,3825,0,0,0,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12A,PIK3C2G,non-small cell lung cancer,78,103,"beta[1,4]",0.505,0.03,0.556,-0.598,-0.428,0.157,0.538,0.907,1.344,1.52,344.556,1.011,NA,0.908,0.44,3510,74,99,4,3687,0.842,0.44,0,FALSE,4.73,4.73
multi,Any mutation,none,KRAS_12A,CREBBP,non-small cell lung cancer,78,100,"beta[1,4]",-0.293,0.02,0.797,-2.154,-1.758,-0.715,-0.199,0.243,0.845,1.009,1568.034,1.001,NA,-0.367,0.15,3523,76,98,2,3699,0,0,0,TRUE,4.84,4.84
