cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),agecat,KRAS_12A,Cell_Cycle,non-small cell lung cancer,23,171,"beta[2,4]",0.619,0.01,0.37,-0.125,0.033,0.389,0.626,0.852,1.233,1.372,1318.615,1,50-65,1.673,1.03,1121,17,165,6,1309,2.427,0.92,0.41,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Cell_Cycle,non-small cell lung cancer,55,267,"beta[3,4]",0.51,0.009,0.311,-0.141,-0.008,0.301,0.526,0.728,0.988,1.058,1199.867,0.999,>65,1.638,0.99,1809,45,257,10,2121,1.126,0.54,0.31,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Cell_Cycle,non-small cell lung cancer,78,461,mu_beta[3],0.533,0.012,0.441,-0.381,-0.195,0.289,0.546,0.797,1.191,1.342,1328.933,1,overall,1.209,0.64,3095,62,445,16,3618,3.645,1.25,0.66,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,23,446,"beta[3,4]",-0.124,0.014,0.429,-1.042,-0.861,-0.392,-0.096,0.162,0.545,0.646,929.385,1,50-65,-0.289,0.11,846,17,440,6,1309,0.352,0.26,0.17,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,55,654,"beta[4,4]",0.479,0.007,0.269,-0.06,0.031,0.287,0.476,0.667,0.914,0.983,1366.487,0.999,>65,1.783,1.13,1436,31,630,24,2121,3.745,1.28,0.66,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,78,1166,mu_beta[3],0.064,0.014,0.521,-1.082,-0.847,-0.208,0.109,0.391,0.786,0.924,1297.925,0.998,overall,0.123,0.04,2466,48,1136,30,3680,1.386,0.62,0.37,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,23,172,"beta[2,4]",0.304,0.035,0.404,-0.526,-0.355,0.016,0.33,0.621,0.895,0.999,133.481,1.035,50-65,0.753,0.35,1118,19,168,4,1309,0.089,0.12,0.08,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,55,278,"beta[3,4]",0.299,0.041,0.342,-0.419,-0.286,0.071,0.336,0.537,0.777,0.854,70.407,1.044,>65,0.876,0.42,1797,46,269,9,2121,0.273,0.22,0.15,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,78,470,mu_beta[3],0.28,0.028,0.463,-0.687,-0.424,0.035,0.316,0.59,0.91,1.058,266.706,1.021,overall,0.605,0.26,3083,65,457,13,3618,0.65,0.38,0.21,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,23,138,"beta[2,4]",0.093,0.014,0.507,-1.112,-0.842,-0.156,0.149,0.426,0.791,0.904,1314.052,1,50-65,0.183,0.07,1150,21,136,2,1309,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,55,215,"beta[3,4]",0.387,0.01,0.357,-0.326,-0.195,0.16,0.396,0.639,0.949,1.029,1165.081,0.999,>65,1.085,0.56,1860,46,206,9,2121,1.753,0.73,0.41,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,78,375,mu_beta[3],0.217,0.014,0.516,-0.874,-0.664,-0.064,0.234,0.519,0.987,1.16,1370.892,1.002,overall,0.421,0.17,3176,67,364,11,3618,0.823,0.44,0.24,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,DDR,non-small cell lung cancer,23,288,"beta[2,4]",0.391,0.011,0.389,-0.441,-0.292,0.158,0.424,0.656,0.966,1.074,1303.594,1.001,50-65,1.003,0.5,1004,17,282,6,1309,0.05,0.08,0.07,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,DDR,non-small cell lung cancer,55,433,"beta[3,4]",0.747,0.007,0.273,0.208,0.281,0.567,0.75,0.923,1.195,1.275,1380.531,0.999,>65,2.737,2.21,1653,35,413,20,2121,7.861,2.3,1.25,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,DDR,non-small cell lung cancer,78,749,mu_beta[3],0.511,0.013,0.53,-0.623,-0.356,0.264,0.555,0.786,1.229,1.434,1567.748,1,overall,0.964,0.47,2817,52,723,26,3618,6.981,2.08,1.25,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,23,675,"beta[3,4]",-1.043,0.013,0.427,-1.956,-1.798,-1.303,-1.02,-0.74,-0.373,-0.272,1086.711,1,50-65,-2.442,1.84,616,18,670,5,1309,7.168,2.13,1.25,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,55,1021,"beta[4,4]",-0.529,0.007,0.273,-1.066,-0.974,-0.705,-0.525,-0.34,-0.084,0.002,1441.882,0.999,>65,-1.938,1.28,1066,34,1000,21,2121,1.851,0.76,0.41,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,78,1814,mu_beta[3],-0.857,0.014,0.487,-1.929,-1.708,-1.104,-0.821,-0.551,-0.171,-0.041,1277.543,0.999,overall,-1.761,1.11,1814,52,1788,26,3680,7.482,2.21,1.25,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,23,211,"beta[2,4]",-0.872,0.017,0.591,-2.277,-1.965,-1.159,-0.789,-0.487,-0.1,0.029,1205.291,0.999,50-65,-1.477,0.85,1076,22,210,1,1309,1.595,0.68,0.4,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,55,360,"beta[3,4]",-0.57,0.01,0.387,-1.41,-1.234,-0.819,-0.551,-0.31,0.03,0.15,1452.85,1.001,>65,-1.472,0.85,1713,48,353,7,2121,0.446,0.3,0.19,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,78,604,mu_beta[3],-0.727,0.016,0.575,-1.992,-1.644,-1.013,-0.675,-0.394,0.022,0.226,1313.417,0.999,overall,-1.264,0.69,2944,70,596,8,3618,1.926,0.78,0.41,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,PI3K_AKT,non-small cell lung cancer,23,141,"beta[2,4]",0.318,0.011,0.416,-0.52,-0.375,0.052,0.324,0.589,0.989,1.142,1466.162,0.999,50-65,0.763,0.35,1149,19,137,4,1309,0.481,0.31,0.19,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,PI3K_AKT,non-small cell lung cancer,55,225,"beta[3,4]",0.26,0.01,0.353,-0.458,-0.324,0.046,0.269,0.502,0.794,0.903,1351.282,1.001,>65,0.738,0.34,1848,48,218,7,2121,0.087,0.11,0.08,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,PI3K_AKT,non-small cell lung cancer,78,388,mu_beta[3],0.238,0.013,0.495,-0.79,-0.484,-0.017,0.266,0.529,0.913,1.11,1448.637,0.998,overall,0.482,0.2,3163,67,377,11,3618,0.624,0.37,0.21,TRUE,3.21,3.21
