cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,6,16,"beta[3,4]",-0.491,0.02,0.737,-2.008,-1.74,-0.976,-0.472,0.003,0.703,0.839,1391.003,1,Signature.15,-0.667,0.3,112,6,16,0,134,0.078,0.11,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,34,13,"beta[4,4]",-0.074,0.014,0.554,-1.176,-0.975,-0.435,-0.047,0.309,0.802,0.95,1465.856,1,Signature.18,-0.134,0.05,105,31,10,3,149,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,7,31,"beta[5,4]",-0.145,0.018,0.672,-1.545,-1.296,-0.557,-0.115,0.331,0.912,1.059,1403.305,0.998,Signature.1A,-0.216,0.08,225,6,30,1,262,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,37,53,"beta[6,4]",-0.232,0.012,0.447,-1.15,-1.003,-0.522,-0.219,0.083,0.461,0.587,1492.575,0.999,Signature.2,-0.519,0.22,237,32,48,5,322,0.077,0.11,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,10,30,"beta[8,4]",-0.21,0.017,0.633,-1.466,-1.276,-0.623,-0.205,0.227,0.795,0.986,1407.281,0.999,Signature.3,-0.331,0.13,203,9,29,1,242,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,82,158,"beta[9,4]",0.3,0.007,0.254,-0.212,-0.129,0.123,0.302,0.479,0.72,0.783,1280.838,0.999,Signature.4,1.177,0.62,485,59,135,23,702,1.295,0.59,0.19,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,8,11,"beta[10,4]",-0.05,0.018,0.68,-1.343,-1.136,-0.502,-0.049,0.413,1.052,1.253,1479.412,1,Signature.7,-0.073,0.03,89,7,10,1,107,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,120,18,"beta[11,4]",-0.031,0.01,0.407,-0.824,-0.681,-0.313,-0.024,0.24,0.649,0.779,1612.223,0.999,Signature.R2,-0.076,0.03,70,109,7,11,197,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,6,13,"beta[12,4]",0.409,0.017,0.665,-0.882,-0.674,-0.038,0.411,0.862,1.483,1.678,1484.319,1,Signature.U1,0.615,0.27,93,4,11,2,110,1.058,0.52,0.16,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,323,393,mu_beta[3],-0.08,0.009,0.339,-0.747,-0.615,-0.308,-0.089,0.144,0.486,0.57,1497.281,1.001,overall,-0.234,0.09,1787,273,343,50,2453,0.041,0.08,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,6,36,"beta[4,4]",0.996,0.013,0.493,0.029,0.191,0.672,0.987,1.336,1.813,1.968,1512.718,0.999,Signature.15,2.022,1.36,96,2,32,4,134,3.166,1.12,0.52,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,34,58,"beta[7,4]",0.726,0.009,0.362,-0.025,0.091,0.49,0.726,0.969,1.331,1.433,1463.366,1.002,Signature.18,2.003,1.34,73,18,42,16,149,0.822,0.44,0.1,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,6,19,"beta[8,4]",0.608,0.015,0.544,-0.488,-0.308,0.246,0.615,0.97,1.476,1.674,1302.82,1,Signature.19,1.117,0.58,39,4,17,2,62,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,7,72,"beta[9,4]",0.582,0.012,0.482,-0.351,-0.215,0.261,0.592,0.899,1.367,1.525,1562.075,0.999,Signature.1A,1.207,0.64,186,4,69,3,262,0.245,0.21,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,37,141,"beta[10,4]",1.356,0.009,0.324,0.725,0.824,1.14,1.363,1.565,1.894,1.995,1419.919,0.999,Signature.2,4.193,4.56,172,9,113,28,322,15.836,4.16,3.02,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,10,69,"beta[13,4]",0.772,0.012,0.446,-0.123,0.015,0.465,0.787,1.069,1.503,1.639,1431.125,1.002,Signature.3,1.732,1.08,168,5,64,5,242,1.391,0.62,0.19,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,82,349,"beta[14,4]",1.13,0.006,0.236,0.667,0.746,0.967,1.128,1.286,1.511,1.585,1482.263,1.001,Signature.4,4.793,5.78,331,22,289,60,702,19.384,4.97,3.76,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,8,40,"beta[16,4]",0.494,0.013,0.495,-0.536,-0.35,0.147,0.53,0.834,1.289,1.397,1475.272,0.999,Signature.7,0.998,0.5,62,5,37,3,107,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,7,22,"beta[17,4]",0.957,0.014,0.511,-0.043,0.113,0.608,0.945,1.296,1.807,1.977,1288.882,1.001,Signature.8,1.87,1.21,37,3,18,4,62,0.726,0.4,0.07,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,120,70,"beta[18,4]",0.874,0.007,0.271,0.346,0.439,0.693,0.871,1.057,1.328,1.405,1460.06,1.001,Signature.R2,3.227,2.9,57,70,20,50,197,4.381,1.44,0.73,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,6,24,"beta[19,4]",1.145,0.014,0.516,0.133,0.287,0.797,1.138,1.487,2.008,2.155,1376.836,1,Signature.U1,2.218,1.58,84,2,20,4,110,4.961,1.59,0.8,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,355,1086,mu_beta[3],0.834,0.006,0.228,0.405,0.457,0.676,0.825,0.99,1.201,1.279,1253.847,0.999,overall,3.66,3.6,1647,158,889,197,2891,54.593,12.83,11.14,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,6,15,"beta[3,4]",0.356,0.017,0.651,-1.044,-0.787,-0.057,0.398,0.799,1.364,1.494,1494.343,0.999,Signature.15,0.547,0.23,114,5,14,1,134,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,34,31,"beta[5,4]",0.819,0.01,0.385,0.084,0.19,0.56,0.824,1.08,1.442,1.565,1438.654,1,Signature.18,2.128,1.48,95,23,20,11,149,2.715,1,0.41,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,6,11,"beta[6,4]",0.662,0.016,0.599,-0.528,-0.33,0.256,0.679,1.077,1.622,1.827,1492.647,0.999,Signature.19,1.104,0.57,47,4,9,2,62,0.24,0.2,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,7,18,"beta[7,4]",0.767,0.017,0.625,-0.532,-0.253,0.352,0.791,1.204,1.764,1.974,1395.765,1,Signature.1A,1.229,0.66,239,5,16,2,262,2.382,0.91,0.38,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,37,47,"beta[8,4]",0.815,0.009,0.364,0.091,0.174,0.581,0.82,1.059,1.41,1.514,1484.31,1,Signature.2,2.242,1.6,248,27,37,10,322,4.116,1.37,0.71,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,10,30,"beta[10,4]",0.417,0.015,0.547,-0.744,-0.529,0.066,0.442,0.807,1.238,1.389,1250.274,1,Signature.3,0.764,0.35,204,8,28,2,242,0.065,0.1,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,82,148,"beta[11,4]",0.388,0.007,0.254,-0.127,-0.038,0.216,0.388,0.567,0.803,0.883,1445.602,0.998,Signature.4,1.525,0.89,494,60,126,22,702,1.473,0.65,0.19,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,8,12,"beta[12,4]",-0.028,0.017,0.65,-1.39,-1.141,-0.452,-0.013,0.443,1.009,1.115,1516.429,1,Signature.7,-0.043,0.02,87,8,12,0,107,0.214,0.19,-0,TRUE,3.21,3.21
