cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),race,KRAS_12A,Cell_Cycle,non-small cell lung cancer,72,364,"beta[4,4]",0.602,0.008,0.282,0.027,0.139,0.409,0.612,0.785,1.057,1.124,1346.885,0.998,White,2.134,1.48,2497,56,348,16,2917,5.535,1.73,1.08,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,Cell_Cycle,non-small cell lung cancer,78,456,mu_beta[3],0.338,0.015,0.524,-0.841,-0.592,0.085,0.41,0.67,1.027,1.134,1167.923,0.999,overall,0.645,0.28,3096,62,440,16,3614,3.805,1.29,0.88,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,72,945,"beta[5,4]",0.327,0.007,0.24,-0.139,-0.059,0.164,0.328,0.481,0.722,0.794,1308.769,0.999,White,1.363,0.76,1930,42,915,30,2917,2.479,0.94,0.64,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,78,1162,mu_beta[3],-0.064,0.015,0.505,-1.334,-0.941,-0.294,0.01,0.259,0.611,0.688,1209.527,1.002,overall,-0.126,0.05,2461,48,1132,30,3671,1.401,0.63,0.46,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,72,414,"beta[4,4]",0.239,0.009,0.315,-0.41,-0.306,0.032,0.256,0.455,0.72,0.84,1262.226,1.001,White,0.759,0.35,2444,59,401,13,2917,0.609,0.36,0.36,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,78,464,mu_beta[3],-0.081,0.019,0.724,-1.767,-1.363,-0.456,0.006,0.373,0.923,1.126,1479.566,1.001,overall,-0.112,0.04,3085,65,451,13,3614,0.723,0.4,0.36,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,wnt,non-small cell lung cancer,72,297,"beta[4,4]",0.319,0.04,0.373,-0.443,-0.442,0.096,0.34,0.574,0.887,0.987,85.125,1.034,White,0.856,0.41,2559,61,286,11,2917,1.564,0.68,0.46,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,wnt,non-small cell lung cancer,78,374,mu_beta[3],0.065,0.022,0.581,-1.158,-0.89,-0.301,0.104,0.44,0.949,1.125,714.015,1.008,overall,0.112,0.04,3173,67,363,11,3614,0.833,0.44,0.36,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,DDR,non-small cell lung cancer,72,621,"beta[5,4]",0.672,0.007,0.245,0.18,0.277,0.511,0.668,0.831,1.077,1.143,1336.313,1,White,2.743,2.22,2249,47,596,25,2917,7.149,2.12,1.35,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,DDR,non-small cell lung cancer,78,750,mu_beta[3],0.478,0.011,0.409,-0.369,-0.209,0.244,0.501,0.739,1.085,1.233,1324.138,1.001,overall,1.168,0.62,2869,52,724,26,3671,7.371,2.18,1.35,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,72,1395,"beta[5,4]",-0.621,0.006,0.237,-1.087,-1.014,-0.782,-0.617,-0.457,-0.241,-0.173,1514.295,0.999,White,-2.619,2.05,1475,47,1370,25,2917,4.554,1.48,1.01,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,78,1809,mu_beta[3],-1.003,0.013,0.504,-2.121,-1.863,-1.29,-0.985,-0.663,-0.268,-0.131,1479.525,0.999,overall,-1.99,1.33,1810,52,1783,26,3671,7.467,2.2,1.35,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,72,482,"beta[5,4]",-0.622,0.01,0.383,-1.406,-1.289,-0.851,-0.624,-0.364,-0.011,0.067,1337.497,1,White,-1.627,0.98,2371,64,474,8,2917,1.191,0.56,0.45,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,78,608,mu_beta[3],-0.742,0.013,0.496,-1.843,-1.566,-1.03,-0.688,-0.429,-0.014,0.109,1405.908,0.999,overall,-1.496,0.87,2993,70,600,8,3671,1.851,0.76,0.5,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,PI3K_AKT,non-small cell lung cancer,72,306,"beta[4,4]",0.338,0.009,0.336,-0.337,-0.227,0.105,0.349,0.569,0.869,0.974,1374.131,1,White,1.006,0.5,2550,61,295,11,2917,1.317,0.6,0.46,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,PI3K_AKT,non-small cell lung cancer,78,384,mu_beta[3],-0.082,0.02,0.755,-1.807,-1.406,-0.497,-0.014,0.414,1.024,1.202,1379.426,1.002,overall,-0.109,0.04,3163,67,373,11,3614,0.675,0.39,0.36,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,72,551,"beta[4,4]",0.52,0.007,0.262,0.004,0.081,0.342,0.524,0.703,0.938,1.001,1548.019,0.999,White,1.985,1.33,2314,52,531,20,2917,3.235,1.14,0.79,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,78,617,mu_beta[3],0.41,0.017,0.615,-0.894,-0.628,0.057,0.437,0.791,1.355,1.614,1338.912,1.001,overall,0.668,0.3,2940,57,596,21,3614,4.776,1.54,1.01,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12C,Cell_Cycle,non-small cell lung cancer,10,43,"beta[1,4]",-0.088,0.013,0.488,-1.205,-0.944,-0.367,-0.057,0.225,0.648,0.857,1319.613,1,Asian,-0.181,0.07,277,9,42,1,329,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12C,Cell_Cycle,non-small cell lung cancer,14,29,"beta[2,4]",0.021,0.012,0.46,-0.916,-0.754,-0.254,0.03,0.33,0.718,0.876,1550.76,1.005,Black,0.045,0.02,153,12,27,2,194,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12C,Cell_Cycle,non-small cell lung cancer,14,20,"beta[3,4]",0.081,0.013,0.469,-0.904,-0.693,-0.201,0.088,0.4,0.8,0.957,1274.625,1.001,Unknown,0.172,0.06,142,12,18,2,174,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),race,KRAS_12C,Cell_Cycle,non-small cell lung cancer,351,364,"beta[4,4]",0.188,0.004,0.156,-0.129,-0.081,0.087,0.191,0.294,0.437,0.472,1453.56,0.999,White,1.206,0.64,2253,300,313,51,2917,1.331,0.6,0.29,TRUE,3.21,3.21
