cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,24,23,"beta[1,4]",-0.71,0.019,0.693,-2.259,-1.957,-1.066,-0.632,-0.248,0.258,0.467,1373.703,0.999,2,-1.025,0.52,391,24,23,0,438,0.512,0.32,0.15,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,41,68,"beta[2,4]",-0.276,0.012,0.438,-1.223,-1.064,-0.545,-0.26,0.016,0.411,0.525,1395.696,0.999,3,-0.631,0.28,516,37,64,4,621,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,111,91,"beta[3,4]",-0.367,0.008,0.314,-1.001,-0.9,-0.578,-0.359,-0.162,0.126,0.218,1597.21,0.998,4,-1.169,0.62,567,101,81,10,759,0.789,0.43,0.22,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,187,262,"beta[4,4]",0.055,0.005,0.184,-0.3,-0.239,-0.069,0.053,0.18,0.357,0.414,1586.342,1,5,0.3,0.12,811,145,220,42,1218,0.061,0.09,0.01,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,363,444,mu_beta[3],-0.342,0.011,0.436,-1.308,-1.079,-0.608,-0.322,-0.06,0.346,0.458,1523.931,1.001,overall,-0.784,0.36,2285,307,388,56,3036,0.146,0.15,0.03,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,24,48,"beta[1,4]",0.232,0.012,0.486,-0.748,-0.582,-0.078,0.252,0.553,0.976,1.12,1619.745,1,2,0.476,0.2,369,21,45,3,438,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,41,147,"beta[2,4]",0.433,0.008,0.313,-0.226,-0.085,0.24,0.441,0.643,0.934,1.012,1527.026,1.001,3,1.385,0.78,446,28,134,13,621,1.129,0.54,0.32,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,111,266,"beta[3,4]",0.441,0.005,0.199,0.034,0.115,0.31,0.445,0.574,0.767,0.825,1550.652,1.001,4,2.219,1.58,430,63,218,48,759,3.427,1.19,0.83,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,187,652,"beta[4,4]",0.974,0.005,0.174,0.645,0.69,0.856,0.976,1.09,1.255,1.314,1397.439,0.999,5,5.592,7.65,515,51,516,136,1218,31.823,7.77,6.9,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,363,1113,mu_beta[3],0.511,0.01,0.401,-0.298,-0.107,0.258,0.514,0.771,1.16,1.282,1572.61,1,overall,1.273,0.69,1760,163,913,200,3036,59.453,13.9,12.85,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,24,13,"beta[1,4]",0.425,0.018,0.685,-1.06,-0.775,0.021,0.446,0.882,1.475,1.639,1494.538,1,2,0.621,0.27,402,23,12,1,438,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,41,46,"beta[2,4]",1.047,0.01,0.411,0.227,0.373,0.755,1.055,1.337,1.73,1.793,1616.654,1,3,2.546,1.96,542,33,38,8,621,7.584,2.23,1.72,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,111,120,"beta[3,4]",0.981,0.006,0.234,0.513,0.599,0.823,0.989,1.142,1.349,1.447,1421.26,1,4,4.203,4.58,561,78,87,33,759,17.72,4.59,3.85,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,187,284,"beta[4,4]",0.318,0.005,0.176,-0.029,0.027,0.202,0.318,0.437,0.609,0.672,1372.69,1.001,5,1.81,1.15,799,135,232,52,1218,2.204,0.86,0.57,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,363,463,mu_beta[3],0.706,0.012,0.486,-0.21,-0.073,0.408,0.699,1.001,1.501,1.687,1576.689,1.002,overall,1.453,0.84,2304,269,369,94,3036,35.218,8.53,7.58,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,24,15,"beta[1,4]",-0.094,0.017,0.637,-1.493,-1.237,-0.481,-0.053,0.344,0.861,1.052,1436.37,0.999,2,-0.147,0.05,400,23,14,1,438,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,41,51,"beta[2,4]",-0.387,0.014,0.533,-1.521,-1.288,-0.723,-0.363,-0.022,0.43,0.578,1482.661,0.999,3,-0.726,0.33,531,39,49,2,621,0.26,0.21,0.05,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,111,80,"beta[3,4]",0.096,0.008,0.301,-0.531,-0.406,-0.102,0.088,0.307,0.596,0.667,1507.394,1,4,0.319,0.13,581,98,67,13,759,0.072,0.1,0.01,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,187,215,"beta[4,4]",0.044,0.006,0.204,-0.362,-0.305,-0.094,0.048,0.185,0.375,0.445,1312.443,1.001,5,0.214,0.08,850,153,181,34,1218,0.01,0.04,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,363,361,mu_beta[3],-0.081,0.012,0.451,-0.982,-0.825,-0.351,-0.058,0.193,0.631,0.782,1427.366,1,overall,-0.18,0.07,2362,313,311,50,3036,1.199,0.56,0.32,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,24,22,"beta[1,4]",1.07,0.013,0.52,0.047,0.235,0.729,1.064,1.402,1.97,2.062,1507.015,0.999,2,2.058,1.4,396,20,18,4,438,4.865,1.56,1.14,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,41,63,"beta[2,4]",0.628,0.01,0.392,-0.17,-0.013,0.358,0.636,0.909,1.254,1.357,1515.729,1,3,1.604,0.96,524,34,56,7,621,1.569,0.68,0.4,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,111,170,"beta[3,4]",0.677,0.006,0.212,0.277,0.33,0.525,0.685,0.82,1.018,1.1,1384.095,1.001,4,3.194,2.85,515,74,133,37,759,8.223,2.38,1.84,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,187,475,"beta[4,4]",0.716,0.004,0.157,0.408,0.454,0.611,0.716,0.822,0.975,1.008,1225.913,1.001,5,4.571,5.31,656,87,375,100,1218,18.752,4.83,4.02,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,363,730,mu_beta[3],0.758,0.011,0.46,-0.156,0.047,0.467,0.755,1.042,1.503,1.688,1664.792,0.999,overall,1.648,1,2091,215,582,148,3036,62.124,14.49,13.14,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,24,217,"beta[1,4]",-1.598,0.014,0.549,-2.804,-2.566,-1.943,-1.563,-1.202,-0.772,-0.642,1589.167,1,2,-2.91,2.44,199,22,215,2,438,15.55,4.09,3.48,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,41,343,"beta[2,4]",-0.758,0.008,0.309,-1.369,-1.279,-0.969,-0.754,-0.547,-0.263,-0.16,1523.061,0.999,3,-2.452,1.85,252,26,328,15,621,5.393,1.69,1.22,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,111,386,"beta[3,4]",-0.356,0.005,0.2,-0.767,-0.692,-0.486,-0.359,-0.216,-0.041,0.016,1499.118,0.998,4,-1.782,1.13,310,63,338,48,759,2.669,0.99,0.68,TRUE,3.21,3.21
