cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,agecat,KRAS_12A,ATRX,non-small cell lung cancer,23,55,"beta[1,4]",-0.271,0.037,1.227,-3.501,-2.604,-0.676,0.019,0.482,1.015,1.138,1074.165,1,50-65,-0.221,0.08,1245,23,55,0,1323,0.231,0.2,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,ATRX,non-small cell lung cancer,56,91,"beta[2,4]",0.451,0.016,0.524,-0.695,-0.469,0.131,0.498,0.812,1.221,1.363,1033.871,1,>65,0.862,0.41,1998,51,86,5,2140,2.022,0.81,0.01,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,ATRX,non-small cell lung cancer,79,146,mu_beta[3],0.107,0.024,0.877,-1.907,-1.372,-0.281,0.235,0.618,1.206,1.463,1287.024,1.001,overall,0.122,0.04,3243,74,141,5,3463,0.439,0.29,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,ATR,non-small cell lung cancer,24,40,"beta[1,4]",0.786,0.025,0.762,-0.804,-0.554,0.315,0.835,1.339,1.976,2.152,946.38,1.004,50-65,1.032,0.52,1257,21,37,3,1318,4.526,1.48,0.37,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,ATR,non-small cell lung cancer,55,48,"beta[2,4]",-0.639,0.061,1.485,-4.435,-3.558,-1.202,-0.29,0.312,0.953,1.201,585.693,1.007,>65,-0.43,0.18,2026,55,48,0,2129,0.464,0.3,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,ATR,non-small cell lung cancer,79,88,mu_beta[3],0.065,0.033,1.215,-2.675,-2.175,-0.487,0.242,0.761,1.67,1.945,1357.585,1.006,overall,0.054,0.02,3283,76,85,3,3447,0.122,0.14,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,PDGFRA,non-small cell lung cancer,24,40,"beta[1,4]",0.275,0.02,0.743,-1.261,-0.965,-0.204,0.296,0.744,1.474,1.712,1353.844,1,50-65,0.37,0.15,1313,22,38,2,1375,0.965,0.49,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,PDGFRA,non-small cell lung cancer,57,63,"beta[2,4]",-0.079,0.021,0.762,-1.768,-1.436,-0.511,0.011,0.449,0.98,1.148,1280.944,1.001,>65,-0.104,0.04,2067,56,62,1,2186,0.013,0.04,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,PDGFRA,non-small cell lung cancer,81,103,mu_beta[3],0.101,0.022,0.828,-1.592,-1.228,-0.371,0.14,0.594,1.31,1.602,1367.879,0.999,overall,0.122,0.04,3380,78,100,3,3561,0.011,0.04,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,NSD1,non-small cell lung cancer,23,25,"beta[1,4]",1.041,0.019,0.654,-0.329,-0.084,0.658,1.073,1.464,2.091,2.281,1149.547,1,50-65,1.591,0.95,1269,21,23,2,1315,2.68,0.99,0.09,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,NSD1,non-small cell lung cancer,55,41,"beta[2,4]",0.825,0.017,0.606,-0.521,-0.239,0.463,0.879,1.227,1.729,1.872,1241.429,1.001,>65,1.361,0.76,2035,53,39,2,2129,0.192,0.18,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,NSD1,non-small cell lung cancer,78,66,mu_beta[3],0.944,0.02,0.722,-0.612,-0.237,0.537,0.95,1.351,2.051,2.286,1319.677,1.001,overall,1.307,0.72,3304,74,62,4,3444,2.806,1.03,0.09,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,FLT4,non-small cell lung cancer,23,32,"beta[1,4]",0.696,0.021,0.723,-0.901,-0.577,0.253,0.752,1.207,1.725,1.898,1206.423,1.004,50-65,0.963,0.47,1262,22,31,1,1316,0,0,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,FLT4,non-small cell lung cancer,56,39,"beta[2,4]",0.849,0.015,0.6,-0.417,-0.201,0.485,0.847,1.269,1.768,1.927,1519.296,1.004,>65,1.416,0.8,2039,53,36,3,2131,2.221,0.87,0.03,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,FLT4,non-small cell lung cancer,79,71,mu_beta[3],0.756,0.019,0.728,-0.768,-0.508,0.332,0.792,1.254,1.835,2.029,1428.998,1.002,overall,1.039,0.52,3301,75,67,4,3447,2.252,0.87,0.03,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,23,65,"beta[1,4]",-1.827,0.055,1.346,-5.169,-4.399,-2.546,-1.633,-0.876,-0.111,0.155,605.823,1.004,50-65,-1.357,0.76,1228,23,65,0,1316,0.381,0.27,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,55,81,"beta[2,4]",-1.576,0.048,1.144,-4.374,-3.733,-2.261,-1.435,-0.716,0.014,0.227,566.465,1.009,>65,-1.377,0.77,1989,54,80,1,2124,0.182,0.17,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,78,146,mu_beta[3],-1.688,0.05,1.213,-4.618,-3.98,-2.409,-1.549,-0.869,0.045,0.263,581.03,1.008,overall,-1.392,0.79,3217,77,145,1,3440,1.058,0.52,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,PTPRD,non-small cell lung cancer,24,129,"beta[1,4]",0.522,0.012,0.429,-0.295,-0.173,0.237,0.522,0.808,1.225,1.373,1209.34,1.001,50-65,1.216,0.65,1188,19,124,5,1336,2.317,0.89,0.04,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,PTPRD,non-small cell lung cancer,55,173,"beta[2,4]",0.296,0.011,0.392,-0.511,-0.362,0.046,0.326,0.562,0.882,1.013,1242.96,1,>65,0.757,0.35,1931,50,168,5,2154,0.002,0.01,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,PTPRD,non-small cell lung cancer,79,302,mu_beta[3],0.409,0.014,0.526,-0.582,-0.349,0.105,0.415,0.712,1.135,1.358,1402.439,1,overall,0.777,0.36,3119,69,292,10,3490,1.163,0.55,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,RET,non-small cell lung cancer,24,23,"beta[1,4]",-1.168,0.081,1.458,-4.77,-3.945,-2.017,-0.877,-0.123,0.727,0.992,326.554,1.004,50-65,-0.801,0.37,1327,24,23,0,1374,0,0,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,RET,non-small cell lung cancer,57,40,"beta[2,4]",-0.976,0.084,1.308,-4.295,-3.417,-1.614,-0.744,-0.061,0.733,0.914,240.538,1.008,>65,-0.746,0.34,2089,56,39,1,2185,0,0,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,RET,non-small cell lung cancer,81,63,mu_beta[3],-1.045,0.083,1.374,-4.57,-3.488,-1.821,-0.794,-0.075,0.806,1.011,274.798,1.007,overall,-0.761,0.35,3416,80,62,1,3559,0,0,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,PIK3C2G,non-small cell lung cancer,23,41,"beta[1,4]",-0.113,0.039,1.227,-3.562,-2.179,-0.56,0.17,0.63,1.201,1.351,995.714,1.005,50-65,-0.092,0.03,1248,23,41,0,1312,0.07,0.1,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,PIK3C2G,non-small cell lung cancer,55,56,"beta[2,4]",0.643,0.016,0.587,-0.618,-0.357,0.299,0.689,1.034,1.532,1.677,1282.414,0.999,>65,1.097,0.56,2018,51,52,4,2125,3.059,1.1,0.13,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,PIK3C2G,non-small cell lung cancer,78,97,mu_beta[3],0.281,0.027,0.919,-1.946,-1.28,-0.13,0.39,0.82,1.474,1.708,1199.435,1.001,overall,0.306,0.12,3266,74,93,4,3437,0.807,0.43,0,FALSE,4.73,4.73
single,Any mutation,agecat,KRAS_12A,CREBBP,non-small cell lung cancer,23,36,"beta[1,4]",-0.544,0.062,1.221,-3.308,-2.474,-1.1,-0.372,0.267,0.853,1.029,381.905,1.007,50-65,-0.446,0.18,1257,23,36,0,1316,0.028,0.06,0,TRUE,4.84,4.84
single,Any mutation,agecat,KRAS_12A,CREBBP,non-small cell lung cancer,55,57,"beta[2,4]",-0.211,0.047,0.805,-1.953,-1.582,-0.726,-0.147,0.418,0.878,1.045,290.097,1.009,>65,-0.262,0.1,2019,53,55,2,2129,0.001,0.01,0,TRUE,4.84,4.84
