cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,Mutation signature,KRAS_12C,ATRX,non-small cell lung cancer,37,16,"beta[1,4]",0.968,0.012,0.472,0.055,0.222,0.671,0.949,1.26,1.764,1.875,1460.476,1.003,Signature.2,2.053,1.4,277,32,11,5,325,4.675,1.51,0.72,TRUE,4.1,4.1
single,Any mutation,Mutation signature,KRAS_12C,ATRX,non-small cell lung cancer,84,67,"beta[2,4]",0.74,0.008,0.32,0.094,0.182,0.543,0.743,0.966,1.227,1.329,1466.67,0.999,Signature.4,2.312,1.68,576,71,54,13,714,3.383,1.18,0.48,TRUE,4.1,4.1
single,Any mutation,Mutation signature,KRAS_12C,ATRX,non-small cell lung cancer,121,83,mu_beta[3],0.851,0.016,0.599,-0.359,-0.029,0.542,0.849,1.177,1.737,1.933,1434.386,1,overall,1.42,0.81,853,103,65,18,1039,7.81,2.28,1.21,TRUE,4.1,4.1
single,Any mutation,Mutation signature,KRAS_12C,PDGFRA,non-small cell lung cancer,37,14,"beta[1,4]",0.68,0.031,0.439,-0.322,-0.088,0.421,0.762,1.001,1.356,1.504,195.757,1.025,Signature.2,1.549,0.92,276,34,11,3,324,0.599,0.36,0.09,TRUE,4.1,4.1
single,Any mutation,Mutation signature,KRAS_12C,PDGFRA,non-small cell lung cancer,82,55,"beta[2,4]",0.657,0.044,0.345,-0.06,0.034,0.439,0.717,0.901,1.106,1.219,61.511,1.057,Signature.4,1.907,1.25,579,72,45,10,706,1.86,0.76,0.26,TRUE,4.1,4.1
single,Any mutation,Mutation signature,KRAS_12C,PDGFRA,non-small cell lung cancer,119,69,mu_beta[3],0.667,0.033,0.471,-0.371,-0.167,0.406,0.765,0.995,1.308,1.564,207.7,1.024,overall,1.416,0.8,855,106,56,13,1030,3.117,1.11,0.43,TRUE,4.1,4.1
single,Any mutation,Mutation signature,KRAS_12C,KMT2C,non-small cell lung cancer,37,27,"beta[2,4]",0.438,0.011,0.414,-0.413,-0.274,0.193,0.438,0.702,1.129,1.253,1539.469,0.999,Signature.2,1.059,0.54,265,32,22,5,324,0.802,0.43,0.1,FALSE,4.23,4.23
single,Any mutation,Mutation signature,KRAS_12C,KMT2C,non-small cell lung cancer,82,56,"beta[3,4]",0.368,0.008,0.332,-0.317,-0.213,0.152,0.393,0.588,0.891,0.988,1550.823,1.001,Signature.4,1.108,0.57,577,73,47,9,706,0.753,0.41,0.1,FALSE,4.23,4.23
single,Any mutation,Mutation signature,KRAS_12C,KMT2C,non-small cell lung cancer,124,99,mu_beta[3],0.377,0.011,0.429,-0.501,-0.309,0.132,0.378,0.63,1.053,1.229,1447.561,1,overall,0.877,0.42,921,109,84,15,1129,1.489,0.65,0.21,FALSE,4.23,4.23
single,Any mutation,Mutation signature,KRAS_12C,PTPRD,non-small cell lung cancer,36,19,"beta[1,4]",1.117,0.012,0.47,0.205,0.371,0.802,1.101,1.441,1.893,2.077,1476.264,0.999,Signature.18,2.376,1.76,106,27,10,9,152,5.325,1.68,0.8,FALSE,4.23,4.23
