cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,race,KRAS_12A,ATRX,non-small cell lung cancer,73,140,"beta[1,4]",0.3,0.014,0.501,-0.75,-0.568,-0.01,0.331,0.655,1.058,1.198,1287.287,1.003,White,0.599,0.26,2727,68,135,5,2935,0.32,0.24,0,TRUE,4.84,4.84
single,Any mutation,race,KRAS_12A,ATRX,non-small cell lung cancer,73,140,mu_beta[3],0.172,0.057,2.127,-4.423,-3.339,-0.774,0.223,1.14,3.558,4.55,1393.927,1,overall,0.081,0.03,2727,68,135,5,2935,0.32,0.24,0,TRUE,4.84,4.84
single,Any mutation,race,KRAS_12A,ATR,non-small cell lung cancer,73,76,"beta[1,4]",0.296,0.016,0.631,-1.202,-0.777,-0.07,0.335,0.735,1.238,1.353,1584.761,1.003,White,0.469,0.19,2776,70,73,3,2922,0.201,0.18,0,FALSE,4.73,4.73
single,Any mutation,race,KRAS_12A,ATR,non-small cell lung cancer,73,76,mu_beta[3],0.357,0.05,2.013,-4.1,-2.954,-0.531,0.324,1.322,3.523,4.666,1639.997,0.999,overall,0.177,0.07,2776,70,73,3,2922,0.201,0.18,0,FALSE,4.73,4.73
single,Any mutation,race,KRAS_12A,PDGFRA,non-small cell lung cancer,75,80,"beta[2,4]",0.212,0.018,0.657,-1.225,-0.939,-0.188,0.261,0.687,1.15,1.289,1394.509,1.003,White,0.323,0.13,2860,72,77,3,3012,0.136,0.15,0,TRUE,4.84,4.84
single,Any mutation,race,KRAS_12A,PDGFRA,non-small cell lung cancer,77,91,mu_beta[3],0.005,0.033,1.274,-2.736,-2.178,-0.649,0.086,0.743,1.962,2.348,1453.987,1,overall,0.004,0,3197,74,88,3,3362,0.087,0.11,0,TRUE,4.84,4.84
single,Any mutation,race,KRAS_12A,NSD1,non-small cell lung cancer,72,52,"beta[1,4]",1.117,0.016,0.551,0.027,0.187,0.758,1.13,1.515,1.956,2.154,1249.066,1,White,2.029,1.37,2798,68,48,4,2918,3.999,1.34,0.31,FALSE,4.73,4.73
single,Any mutation,race,KRAS_12A,NSD1,non-small cell lung cancer,72,52,mu_beta[3],0.967,0.054,2.105,-3.549,-2.517,-0.008,1.056,2.082,4.198,5.148,1504.373,0.998,overall,0.459,0.19,2798,68,48,4,2918,3.999,1.34,0.31,FALSE,4.73,4.73
single,Any mutation,race,KRAS_12A,FLT4,non-small cell lung cancer,73,64,"beta[1,4]",0.909,0.016,0.561,-0.366,-0.068,0.571,0.945,1.305,1.743,1.857,1295.557,1.003,White,1.62,0.98,2787,69,60,4,2920,2.366,0.91,0.07,TRUE,4.84,4.84
single,Any mutation,race,KRAS_12A,FLT4,non-small cell lung cancer,73,64,mu_beta[3],0.688,0.056,2.067,-3.822,-2.788,-0.261,0.754,1.73,3.809,4.609,1374.81,1.003,overall,0.333,0.13,2787,69,60,4,2920,2.366,0.91,0.07,TRUE,4.84,4.84
single,Any mutation,race,KRAS_12A,KMT2C,non-small cell lung cancer,72,128,"beta[2,4]",-1.645,0.039,1.177,-4.432,-3.873,-2.293,-1.463,-0.792,-0.073,0.141,899.4,1.002,White,-1.397,0.79,2728,71,127,1,2927,0.925,0.47,0,FALSE,4.73,4.73
single,Any mutation,race,KRAS_12A,KMT2C,non-small cell lung cancer,74,139,mu_beta[3],-1.596,0.043,1.507,-4.992,-4.238,-2.415,-1.491,-0.657,0.558,1.149,1234.069,1.001,overall,-1.06,0.54,3044,73,138,1,3256,0.931,0.48,0,FALSE,4.73,4.73
single,Any mutation,race,KRAS_12A,PTPRD,non-small cell lung cancer,73,252,"beta[4,4]",0.407,0.01,0.349,-0.348,-0.187,0.196,0.441,0.639,0.945,1.046,1299.884,1,White,1.167,0.61,2639,64,243,9,2955,0.932,0.48,0,FALSE,4.73,4.73
