cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,sample_type,KRAS_12A,ATRX,non-small cell lung cancer,20,52,"beta[1,4]",-0.329,0.038,1.32,-3.769,-2.617,-0.735,-0.032,0.448,1.01,1.132,1200.344,0.999,Metastasis,-0.25,0.1,1316,20,52,0,1388,0.087,0.11,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,ATRX,non-small cell lung cancer,59,101,"beta[2,4]",0.452,0.017,0.51,-0.576,-0.418,0.124,0.466,0.812,1.266,1.402,916.54,1.002,Primary,0.887,0.43,2157,54,96,5,2312,1.539,0.67,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,ATRX,non-small cell lung cancer,79,153,mu_beta[3],0.076,0.027,0.95,-2.259,-1.601,-0.342,0.179,0.63,1.275,1.495,1253.565,0.999,overall,0.08,0.03,3473,74,148,5,3700,0.496,0.32,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,ATR,non-small cell lung cancer,20,43,"beta[1,4]",-0.379,0.035,1.295,-3.59,-2.881,-0.878,-0.112,0.438,1.124,1.319,1335.304,0.999,Metastasis,-0.293,0.11,1321,20,43,0,1384,0.025,0.06,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,ATR,non-small cell lung cancer,59,51,"beta[2,4]",0.402,0.018,0.686,-1.092,-0.777,-0.022,0.437,0.874,1.469,1.641,1434.474,0.999,Primary,0.587,0.25,2194,56,48,3,2301,1.141,0.54,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,ATR,non-small cell lung cancer,79,94,mu_beta[3],0.041,0.025,1.004,-2.114,-1.605,-0.492,0.149,0.674,1.377,1.728,1551.791,0.998,overall,0.041,0.01,3515,76,91,3,3685,0.122,0.14,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PDGFRA,non-small cell lung cancer,20,52,"beta[1,4]",0.065,0.022,0.818,-1.765,-1.35,-0.387,0.156,0.634,1.253,1.433,1393.855,0.999,Metastasis,0.08,0.03,1362,19,51,1,1433,0,0,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,PDGFRA,non-small cell lung cancer,61,55,"beta[2,4]",0.103,0.019,0.696,-1.401,-1.182,-0.308,0.164,0.596,1.136,1.321,1328.298,1,Primary,0.148,0.05,2263,59,53,2,2377,0.006,0.03,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,PDGFRA,non-small cell lung cancer,81,107,mu_beta[3],0.09,0.023,0.89,-1.784,-1.45,-0.411,0.18,0.649,1.372,1.633,1501.254,0.999,overall,0.101,0.04,3625,78,104,3,3810,0.023,0.06,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,NSD1,non-small cell lung cancer,20,25,"beta[1,4]",0.281,0.039,1.331,-3.238,-2.081,-0.115,0.52,1.061,1.751,1.94,1150.769,1.002,Metastasis,0.211,0.08,1338,20,25,0,1383,0,0,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,NSD1,non-small cell lung cancer,58,44,"beta[2,4]",1.004,0.022,0.593,-0.203,0.015,0.587,1.046,1.428,1.899,2.025,704.945,1,Primary,1.693,1.04,2200,54,40,4,2298,5.377,1.69,0.53,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,NSD1,non-small cell lung cancer,78,69,mu_beta[3],0.641,0.031,0.987,-1.784,-1.11,0.216,0.728,1.251,1.974,2.165,1035.182,1.002,overall,0.649,0.29,3538,74,65,4,3681,2.957,1.07,0.11,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,FLT4,non-small cell lung cancer,21,29,"beta[1,4]",0.953,0.021,0.678,-0.426,-0.212,0.504,0.98,1.426,2.024,2.222,1058.898,1.003,Metastasis,1.406,0.8,1335,19,27,2,1383,2.645,0.98,0.06,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,FLT4,non-small cell lung cancer,58,47,"beta[2,4]",0.702,0.019,0.601,-0.559,-0.369,0.305,0.752,1.148,1.581,1.706,1005.529,1.005,Primary,1.168,0.61,2198,56,45,2,2301,0.088,0.12,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,FLT4,non-small cell lung cancer,79,76,mu_beta[3],0.81,0.022,0.732,-0.635,-0.393,0.367,0.863,1.299,1.856,2.13,1150.509,1.003,overall,1.107,0.57,3533,75,72,4,3684,2.239,0.87,0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,KMT2C,non-small cell lung cancer,20,69,"beta[1,4]",-1.909,0.047,1.459,-5.354,-4.538,-2.721,-1.725,-0.862,0.106,0.315,945.909,1,Metastasis,-1.309,0.72,1300,20,69,0,1389,0.262,0.22,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,KMT2C,non-small cell lung cancer,58,86,"beta[2,4]",-1.602,0.046,1.225,-4.444,-3.795,-2.305,-1.44,-0.708,0.048,0.287,715.588,1.001,Primary,-1.307,0.72,2159,57,85,1,2302,0.219,0.19,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,KMT2C,non-small cell lung cancer,78,155,mu_beta[3],-1.744,0.045,1.327,-4.773,-4.136,-2.526,-1.567,-0.758,0.142,0.378,885.018,1,overall,-1.313,0.72,3459,77,154,1,3691,1.026,0.51,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PTPRD,non-small cell lung cancer,20,128,"beta[1,4]",-0.038,0.018,0.699,-1.791,-1.276,-0.365,0.067,0.431,0.864,0.986,1505.026,0.999,Metastasis,-0.055,0.02,1258,19,127,1,1405,0.064,0.1,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PTPRD,non-small cell lung cancer,59,181,"beta[2,4]",0.582,0.01,0.371,-0.185,-0.035,0.345,0.597,0.834,1.161,1.288,1396.339,1.006,Primary,1.567,0.93,2092,50,172,9,2323,3.687,1.26,0.2,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PTPRD,non-small cell lung cancer,79,309,mu_beta[3],0.262,0.017,0.666,-1.307,-0.86,-0.075,0.319,0.644,1.198,1.411,1615.936,1.002,overall,0.394,0.16,3350,69,299,10,3728,1.483,0.65,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,RET,non-small cell lung cancer,20,25,"beta[1,4]",-1.074,0.053,1.383,-4.175,-3.589,-1.858,-0.846,-0.05,0.841,1.064,682.21,1.006,Metastasis,-0.777,0.36,1386,20,25,0,1431,0,0,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,RET,non-small cell lung cancer,61,41,"beta[2,4]",-0.83,0.06,1.18,-3.602,-3.094,-1.493,-0.673,0.055,0.822,1.028,380.411,1.009,Primary,-0.704,0.32,2276,60,40,1,2377,0,0,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,RET,non-small cell lung cancer,81,66,mu_beta[3],-0.959,0.056,1.308,-3.895,-3.379,-1.717,-0.778,-0.01,0.852,1.07,549.895,1.004,overall,-0.733,0.33,3662,80,65,1,3808,0,0,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,PIK3C2G,non-small cell lung cancer,20,36,"beta[1,4]",-0.029,0.038,1.302,-3.451,-2.162,-0.412,0.235,0.725,1.318,1.5,1150.369,0.999,Metastasis,-0.022,0.01,1328,20,36,0,1384,0.001,0.01,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PIK3C2G,non-small cell lung cancer,58,67,"beta[2,4]",0.619,0.016,0.553,-0.513,-0.345,0.258,0.661,1.016,1.45,1.588,1252.106,1,Primary,1.119,0.58,2182,54,63,4,2303,2.057,0.82,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PIK3C2G,non-small cell lung cancer,78,103,mu_beta[3],0.274,0.026,0.989,-2.129,-1.323,-0.13,0.423,0.86,1.491,1.639,1398.249,0.999,overall,0.277,0.11,3510,74,99,4,3687,0.842,0.44,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,CREBBP,non-small cell lung cancer,20,48,"beta[1,4]",-0.211,0.024,0.888,-2.298,-1.84,-0.725,-0.126,0.425,1.042,1.309,1322.62,0.999,Metastasis,-0.238,0.09,1317,19,47,1,1384,0,0,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,CREBBP,non-small cell lung cancer,58,52,"beta[2,4]",-0.375,0.023,0.859,-2.167,-1.85,-0.857,-0.312,0.236,0.84,1.051,1363.676,1,Primary,-0.437,0.18,2189,57,51,1,2298,0,0,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,CREBBP,non-small cell lung cancer,78,100,mu_beta[3],-0.29,0.026,0.953,-2.364,-1.941,-0.864,-0.231,0.325,1.08,1.403,1333.169,1,overall,-0.304,0.12,3506,76,98,2,3682,0,0,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,BRIP1,non-small cell lung cancer,20,27,"beta[1,4]",0.436,0.317,1.361,-2.844,-1.964,-0.163,0.596,1.435,1.935,1.935,18.458,1.167,Metastasis,0.321,0.13,1335,20,27,0,1382,0,0,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,BRIP1,non-small cell lung cancer,58,33,"beta[2,4]",1.076,0.201,0.724,-0.53,-0.204,0.594,1.102,1.779,1.956,2.053,12.925,1.193,Primary,1.486,0.86,2211,55,30,3,2299,3.476,1.21,0.2,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,BRIP1,non-small cell lung cancer,78,60,mu_beta[3],0.745,0.249,1.121,-1.851,-1.151,0.159,0.852,1.714,1.964,2.108,20.316,1.147,overall,0.665,0.3,3546,75,57,3,3681,1.233,0.57,-0,TRUE,4.84,4.84
single,Any mutation,sample_type,KRAS_12A,DOT1L,non-small cell lung cancer,20,40,"beta[1,4]",-1.443,0.044,1.536,-5.088,-4.355,-2.175,-1.215,-0.391,0.576,0.905,1213.032,1,Metastasis,-0.94,0.46,1323,20,40,0,1383,0.011,0.04,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,DOT1L,non-small cell lung cancer,58,49,"beta[2,4]",-1.088,0.035,1.231,-3.891,-3.335,-1.735,-0.933,-0.211,0.612,0.837,1234.734,1.003,Primary,-0.884,0.42,2194,57,48,1,2300,0,0,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,DOT1L,non-small cell lung cancer,78,89,mu_beta[3],-1.247,0.038,1.378,-4.548,-3.767,-2.01,-1.082,-0.307,0.649,0.92,1346.066,1,overall,-0.905,0.44,3517,77,88,1,3683,0.082,0.11,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PTPRS,non-small cell lung cancer,20,22,"beta[1,4]",-0.405,0.04,1.334,-3.456,-2.895,-1.185,-0.198,0.498,1.449,1.722,1116.275,1.001,Metastasis,-0.304,0.12,1346,19,21,1,1387,0.109,0.13,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PTPRS,non-small cell lung cancer,58,33,"beta[2,4]",-1.11,0.046,1.626,-5.273,-4.11,-1.826,-0.839,-0.03,0.913,1.109,1252.296,1.001,Primary,-0.683,0.31,2208,58,33,0,2299,0.138,0.15,-0,FALSE,4.73,4.73
single,Any mutation,sample_type,KRAS_12A,PTPRS,non-small cell lung cancer,78,55,mu_beta[3],-0.743,0.042,1.451,-4.163,-3.446,-1.503,-0.57,0.22,1.169,1.524,1203.162,1.002,overall,-0.512,0.22,3554,77,54,1,3686,0,0,-0,FALSE,4.73,4.73
