cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,TMB,KRAS_12C,ATRX,non-small cell lung cancer,111,21,"beta[1,4]",0.562,0.011,0.446,-0.342,-0.192,0.264,0.587,0.865,1.25,1.395,1519.893,0.999,4,1.258,0.68,636,106,16,5,763,0.822,0.44,0.21,TRUE,4.1,4.1
single,Any mutation,TMB,KRAS_12C,ATRX,non-small cell lung cancer,190,117,"beta[2,4]",0.728,0.006,0.225,0.283,0.345,0.581,0.728,0.883,1.089,1.157,1463.135,0.999,5,3.231,2.91,964,160,87,30,1241,9.771,2.75,1.95,TRUE,4.1,4.1
single,Any mutation,TMB,KRAS_12C,ATRX,non-small cell lung cancer,301,138,mu_beta[3],0.646,0.019,0.733,-0.779,-0.494,0.284,0.653,1.047,1.765,2.143,1521.999,1,overall,0.881,0.42,1600,266,103,35,2004,11.565,3.17,2.26,TRUE,4.1,4.1
single,Any mutation,TMB,KRAS_12C,PDGFRA,non-small cell lung cancer,111,12,"beta[1,4]",0.759,0.014,0.569,-0.391,-0.175,0.378,0.748,1.151,1.699,1.889,1548.253,0.999,4,1.332,0.74,643,107,8,4,762,2.088,0.83,0.45,TRUE,4.1,4.1
single,Any mutation,TMB,KRAS_12C,PDGFRA,non-small cell lung cancer,187,81,"beta[2,4]",0.27,0.007,0.291,-0.296,-0.19,0.069,0.278,0.472,0.755,0.824,1546.903,1.001,5,0.93,0.45,974,172,66,15,1227,0.475,0.31,0.12,TRUE,4.1,4.1
single,Any mutation,TMB,KRAS_12C,PDGFRA,non-small cell lung cancer,298,93,mu_beta[3],0.518,0.024,0.873,-1.171,-0.845,0.059,0.497,0.946,1.906,2.327,1283.739,1,overall,0.594,0.26,1617,279,74,19,1989,1.847,0.76,0.4,TRUE,4.1,4.1
single,Any mutation,TMB,KRAS_12C,KMT2C,non-small cell lung cancer,111,29,"beta[1,4]",0.013,0.012,0.434,-0.951,-0.752,-0.251,0.032,0.317,0.696,0.775,1382.609,1,4,0.031,0.01,625,107,25,4,761,0,0,0,FALSE,4.23,4.23
single,Any mutation,TMB,KRAS_12C,KMT2C,non-small cell lung cancer,188,102,"beta[2,4]",0.293,0.007,0.256,-0.233,-0.144,0.118,0.301,0.472,0.699,0.769,1495.435,1.002,5,1.144,0.6,953,168,82,20,1223,1.2,0.56,0.27,FALSE,4.23,4.23
single,Any mutation,TMB,KRAS_12C,KMT2C,non-small cell lung cancer,299,131,mu_beta[3],0.127,0.014,0.565,-1.068,-0.757,-0.142,0.149,0.442,0.953,1.16,1605.057,0.999,overall,0.224,0.08,1578,275,107,24,1984,0.902,0.47,0.21,FALSE,4.23,4.23
single,Any mutation,TMB,KRAS_12C,PTPRD,non-small cell lung cancer,41,11,"beta[1,4]",-0.123,0.028,1.023,-2.421,-1.957,-0.727,-0.037,0.568,1.393,1.637,1349.656,0.999,3,-0.12,0.04,575,40,10,1,626,0,0,0,FALSE,4.23,4.23
