cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,7,11,"beta[1,4]",-1.629,0.043,1.633,-5.617,-4.601,-2.535,-1.431,-0.54,0.661,0.999,1428.75,0.999,Signature.1A,-0.998,0.5,244,7,11,0,262,0,0,0,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,10,13,"beta[2,4]",-0.945,0.038,1.43,-4.097,-3.54,-1.769,-0.77,0.012,1.168,1.459,1392.593,0.999,Signature.3,-0.661,0.29,220,9,12,1,242,0,0,0,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,82,13,"beta[3,4]",-1.932,0.038,1.484,-5.472,-4.684,-2.682,-1.766,-0.885,0.027,0.377,1547.04,1,Signature.4,-1.302,0.71,607,82,13,0,702,0.788,0.43,0.24,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,99,37,mu_beta[3],-1.461,0.037,1.412,-4.699,-3.965,-2.207,-1.267,-0.471,0.494,0.844,1468.717,0.999,overall,-1.035,0.52,1071,98,36,1,1206,0.875,0.46,0.24,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,6,39,"beta[2,4]",-2.023,0.016,0.601,-3.283,-2.995,-2.411,-2.025,-1.626,-1.094,-0.913,1490.106,1.001,Signature.15,-3.366,3.12,89,6,39,0,134,1.313,0.6,0.3,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,34,25,"beta[5,4]",-1.94,0.014,0.547,-3.049,-2.906,-2.296,-1.909,-1.554,-1.105,-0.987,1585.086,0.999,Signature.18,-3.544,3.4,91,33,24,1,149,4.825,1.55,0.6,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,6,14,"beta[6,4]",-1.951,0.016,0.64,-3.237,-3.008,-2.387,-1.925,-1.509,-0.953,-0.76,1542.878,0.998,Signature.19,-3.051,2.64,42,6,14,0,62,0.771,0.42,0.24,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,7,115,"beta[7,4]",-1.896,0.014,0.567,-3.061,-2.841,-2.268,-1.867,-1.509,-1.028,-0.848,1625.054,0.998,Signature.1A,-3.347,3.09,141,6,114,1,262,1.474,0.65,0.3,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,37,68,"beta[8,4]",-1.486,0.012,0.468,-2.395,-2.249,-1.793,-1.474,-1.183,-0.729,-0.608,1581.165,0.998,Signature.2,-3.177,2.83,221,33,64,4,322,2.013,0.81,0.3,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,10,62,"beta[11,4]",-2.046,0.016,0.599,-3.259,-3.068,-2.443,-2.023,-1.633,-1.093,-0.901,1424.363,1,Signature.3,-3.418,3.2,170,10,62,0,242,2.327,0.9,0.3,TRUE,2.26,2.26
single,Cosmic Driver mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,82,75,"beta[12,4]",-1.525,0.012,0.463,-2.461,-2.318,-1.83,-1.506,-1.198,-0.818,-0.697,1505.442,0.999,Signature.4,-3.292,3,549,78,71,4,702,2.627,0.98,0.3,TRUE,2.26,2.26
