cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,20,27,"beta[1,4]",0.308,0.036,1.204,-2.822,-1.941,-0.16,0.557,1.082,1.679,1.873,1129.171,1.002,Metastasis,0.256,0.1,1335,20,27,0,1382,0,0,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,58,44,"beta[2,4]",1.018,0.016,0.581,-0.227,-0.034,0.677,1.071,1.4,1.905,2.065,1297.417,1.001,Primary,1.753,1.1,2200,54,40,4,2298,5.377,1.69,0.91,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,78,71,mu_beta[3],0.67,0.025,0.958,-1.63,-0.996,0.203,0.803,1.256,1.93,2.204,1487.214,1.004,overall,0.699,0.31,3535,74,67,4,3680,2.755,1.01,0.46,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,20,47,"beta[1,4]",-1.52,0.055,1.482,-5.051,-4.13,-2.216,-1.226,-0.521,0.338,0.608,715.731,1.007,Metastasis,-1.025,0.52,1315,20,47,0,1382,0.05,0.08,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,58,60,"beta[2,4]",-1.21,0.038,1.19,-3.968,-3.443,-1.855,-1.054,-0.391,0.457,0.736,985.573,1.004,Primary,-1.016,0.51,2181,57,59,1,2298,0,0,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,78,107,mu_beta[3],-1.332,0.043,1.35,-4.562,-3.715,-2.008,-1.158,-0.432,0.529,0.783,975.052,1.004,overall,-0.987,0.49,3496,77,106,1,3680,0.274,0.22,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,20,296,"beta[1,4]",-3.566,0.043,1.407,-6.896,-6.184,-4.222,-3.356,-2.57,-1.895,-1.61,1055.319,1,Metastasis,-2.535,1.95,1066,20,296,0,1382,4.315,1.42,0.77,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,58,445,"beta[2,4]",-3.317,0.037,1.167,-6.056,-5.522,-3.899,-3.144,-2.452,-1.844,-1.654,1016.364,1,Primary,-2.842,2.35,1796,57,444,1,2298,10.728,2.98,2.02,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,78,741,mu_beta[3],-3.402,0.041,1.302,-6.461,-5.811,-4.058,-3.24,-2.466,-1.806,-1.492,993.731,1.001,overall,-2.613,2.05,2862,77,740,1,3680,16.437,4.3,3.04,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,20,52,"beta[1,4]",-1.731,0.049,1.355,-5.116,-4.362,-2.396,-1.514,-0.787,-0.004,0.273,758.391,1.008,Metastasis,-1.277,0.7,1310,20,52,0,1382,0.089,0.12,0,TRUE,2.86,2.86
