cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,Cell_Cycle,non-small cell lung cancer,53,43,"beta[1,4]",0.911,0.016,0.575,-0.314,-0.087,0.548,0.943,1.305,1.802,1.942,1270.291,1,Female,1.584,0.95,2042,50,40,3,2135,2.012,0.81,0.33,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,Cell_Cycle,non-small cell lung cancer,25,28,"beta[2,4]",0.796,0.022,0.697,-0.752,-0.302,0.394,0.868,1.267,1.758,1.931,1039.259,1.001,Male,1.141,0.6,1493,24,27,1,1545,0.005,0.03,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,Cell_Cycle,non-small cell lung cancer,78,71,mu_beta[3],0.851,0.021,0.71,-0.606,-0.263,0.445,0.91,1.292,1.863,2.098,1155.978,1.001,overall,1.2,0.64,3535,74,67,4,3680,2.755,1.01,0.36,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,53,68,"beta[1,4]",-1.256,0.05,1.189,-3.983,-3.4,-1.958,-1.105,-0.356,0.342,0.637,568.235,1.002,Female,-1.056,0.54,2015,52,67,1,2135,0.022,0.05,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,25,39,"beta[2,4]",-1.52,0.078,1.514,-4.967,-4.053,-2.266,-1.325,-0.463,0.333,0.614,377.669,1.005,Male,-1.004,0.5,1481,25,39,0,1545,0.028,0.06,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,78,107,mu_beta[3],-1.335,0.058,1.319,-4.267,-3.627,-2.09,-1.194,-0.401,0.487,0.783,516.322,1.003,overall,-1.012,0.51,3496,77,106,1,3680,0.274,0.22,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,53,523,"beta[1,4]",-3.424,0.031,1.147,-6.087,-5.693,-4.039,-3.295,-2.589,-1.896,-1.665,1384.819,1,Female,-2.985,2.55,1560,52,522,1,2135,13.794,3.69,2.74,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,25,218,"beta[2,4]",-3.787,0.045,1.657,-7.386,-6.659,-4.519,-3.526,-2.691,-1.77,-1.46,1334.463,1.001,Male,-2.285,1.65,1302,25,218,0,1545,3.075,1.1,0.36,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,78,741,mu_beta[3],-3.526,0.038,1.379,-6.762,-6.003,-4.27,-3.391,-2.621,-1.587,-1.237,1345.601,1,overall,-2.556,1.98,2862,77,740,1,3680,16.437,4.3,3.04,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,53,93,"beta[1,4]",-1.564,0.034,1.166,-4.192,-3.672,-2.155,-1.413,-0.792,0.075,0.283,1179.579,1.003,Female,-1.341,0.75,1990,52,92,1,2135,0.304,0.24,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,25,44,"beta[2,4]",-1.826,0.042,1.431,-5.169,-4.4,-2.553,-1.575,-0.903,0.11,0.322,1152.468,1.002,Male,-1.275,0.69,1476,25,44,0,1545,0.066,0.1,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,78,137,mu_beta[3],-1.677,0.04,1.314,-4.612,-3.984,-2.363,-1.485,-0.856,0.127,0.51,1086.059,1.002,overall,-1.276,0.69,3466,77,136,1,3680,0.72,0.4,0.05,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,PI3K_AKT,non-small cell lung cancer,53,63,"beta[1,4]",-0.369,0.023,0.88,-2.374,-1.925,-0.876,-0.308,0.245,0.915,1.111,1464.564,1.002,Female,-0.42,0.17,2020,52,62,1,2135,0.003,0.02,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,PI3K_AKT,non-small cell lung cancer,25,22,"beta[2,4]",0.072,0.026,0.982,-1.987,-1.576,-0.52,0.116,0.752,1.607,1.871,1406.661,1.001,Male,0.073,0.03,1499,24,21,1,1545,0.06,0.09,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,PI3K_AKT,non-small cell lung cancer,78,85,mu_beta[3],-0.135,0.028,1.062,-2.297,-1.878,-0.776,-0.125,0.543,1.509,1.921,1447.126,1.003,overall,-0.127,0.05,3519,76,83,2,3680,0,0,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,53,41,"beta[1,4]",0.678,0.018,0.695,-0.787,-0.493,0.251,0.704,1.17,1.728,1.898,1416.207,1,Female,0.975,0.48,2044,50,38,3,2135,2.257,0.88,0.33,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,25,27,"beta[2,4]",0.099,0.033,1.216,-3.065,-1.86,-0.347,0.31,0.834,1.468,1.64,1333.545,1,Male,0.081,0.03,1493,25,27,0,1545,0,0,0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,78,68,mu_beta[3],0.382,0.025,0.961,-1.814,-1.284,-0.054,0.482,0.97,1.624,1.84,1452.891,1,overall,0.398,0.16,3537,75,65,3,3680,0.809,0.43,0.05,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,Cell_Cycle,non-small cell lung cancer,248,43,"beta[1,4]",-0.347,0.013,0.463,-1.336,-1.141,-0.641,-0.316,-0.032,0.36,0.472,1339.503,0.999,Female,-0.749,0.34,1848,244,39,4,2135,0.057,0.09,0.01,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,Cell_Cycle,non-small cell lung cancer,143,28,"beta[2,4]",-0.372,0.018,0.536,-1.529,-1.279,-0.69,-0.319,-0.005,0.401,0.551,919.297,1.003,Male,-0.694,0.31,1376,141,26,2,1545,0.004,0.02,-0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,Cell_Cycle,non-small cell lung cancer,391,71,mu_beta[3],-0.365,0.017,0.567,-1.543,-1.264,-0.685,-0.313,-0.01,0.441,0.623,1139.472,0.999,overall,-0.644,0.28,3224,385,65,6,3680,0.165,0.16,0.06,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,wnt,non-small cell lung cancer,248,68,"beta[1,4]",-0.577,0.012,0.428,-1.522,-1.308,-0.826,-0.542,-0.293,0.079,0.17,1380.544,0.999,Female,-1.348,0.75,1823,244,64,4,2135,1.709,0.72,0.42,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,wnt,non-small cell lung cancer,143,39,"beta[2,4]",-0.317,0.012,0.458,-1.264,-1.071,-0.614,-0.319,-0,0.43,0.605,1512.815,0.999,Male,-0.692,0.31,1367,139,35,4,1545,0,0,-0,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,wnt,non-small cell lung cancer,391,107,mu_beta[3],-0.431,0.014,0.556,-1.455,-1.288,-0.726,-0.429,-0.115,0.312,0.557,1490.935,0.999,overall,-0.775,0.36,3190,383,99,8,3680,0.834,0.44,0.23,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,248,523,"beta[1,4]",-2.185,0.008,0.319,-2.846,-2.74,-2.396,-2.174,-1.962,-1.681,-1.608,1570.806,0.999,Female,-6.841,11.1,1375,237,512,11,2135,59.833,13.99,13.03,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,143,218,"beta[2,4]",-2.848,0.019,0.726,-4.591,-4.241,-3.232,-2.756,-2.331,-1.879,-1.737,1511.167,1,Male,-3.924,4.06,1185,142,217,1,1545,22.182,5.61,4.83,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,391,741,mu_beta[3],-2.502,0.021,0.807,-4.149,-3.798,-2.878,-2.462,-2.059,-1.404,-1.128,1496.75,0.998,overall,-3.103,2.72,2560,379,729,12,3680,78.057,18,16.74,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,248,93,"beta[1,4]",-0.572,0.011,0.404,-1.4,-1.261,-0.832,-0.56,-0.297,0.062,0.138,1237.08,1.002,Female,-1.416,0.8,1802,240,85,8,2135,0.581,0.35,0.17,TRUE,2.86,2.86
single,Cosmic Driver mutation (gene_pathways),sex,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,143,44,"beta[2,4]",-1.834,0.043,1.458,-5.808,-4.542,-2.299,-1.433,-0.892,-0.38,-0.217,1127.096,1.001,Male,-1.258,0.68,1358,143,44,0,1545,3.555,1.23,0.75,TRUE,2.86,2.86
