cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,25,484,"beta[3,4]",-0.136,0.011,0.36,-0.823,-0.727,-0.365,-0.141,0.085,0.469,0.565,1170.473,1.003,50-65,-0.377,0.15,895,16,475,9,1395,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,57,589,"beta[4,4]",-0.277,0.008,0.299,-0.87,-0.783,-0.468,-0.275,-0.071,0.2,0.255,1566.184,0.999,>65,-0.926,0.45,1580,45,577,12,2214,0.654,0.38,0.02,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,82,1153,mu_beta[3],-0.265,0.011,0.427,-1.113,-0.933,-0.513,-0.261,-0.028,0.39,0.578,1455.647,0.999,overall,-0.62,0.27,2660,61,1132,21,3874,0.503,0.32,0.02,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,non-small cell lung cancer,24,21,"beta[1,4]",-0.874,0.04,1.442,-3.951,-3.407,-1.632,-0.696,0.085,1.018,1.357,1304.155,1,50-65,-0.606,0.26,1328,24,21,0,1373,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,non-small cell lung cancer,57,32,"beta[2,4]",-0.64,0.036,1.258,-3.62,-2.995,-1.3,-0.47,0.237,1.063,1.311,1233.214,1.002,>65,-0.509,0.21,2096,56,31,1,2184,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,non-small cell lung cancer,81,53,mu_beta[3],-0.731,0.038,1.343,-3.647,-3.195,-1.433,-0.585,0.188,1.098,1.403,1220.685,1.001,overall,-0.544,0.23,3424,80,52,1,3557,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,EGFR,non-small cell lung cancer,24,293,"beta[3,4]",-6.596,0.376,2.669,-12.311,-10.825,-8.736,-6.334,-4.441,-2.713,-2.405,50.407,1.077,50-65,-2.471,1.87,1099,24,293,0,1416,5.152,1.63,0.73,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,EGFR,non-small cell lung cancer,57,410,"beta[4,4]",-6.641,0.4,2.664,-12.038,-10.849,-8.783,-6.274,-4.462,-2.781,-2.524,44.418,1.089,>65,-2.493,1.9,1785,57,410,0,2252,11.793,3.23,2.15,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,EGFR,non-small cell lung cancer,81,768,mu_beta[3],-6.585,0.414,2.667,-11.886,-10.808,-8.755,-6.28,-4.422,-2.756,-2.459,41.469,1.085,overall,-2.469,1.87,3096,81,768,0,3945,18.744,4.83,3.45,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,BRAF,non-small cell lung cancer,24,21,"beta[1,4]",-4.542,0.093,3.07,-11.67,-9.959,-6.345,-4.066,-2.243,-0.438,0.055,1087.251,1.001,50-65,-1.48,0.86,1328,24,21,0,1373,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,BRAF,non-small cell lung cancer,57,40,"beta[2,4]",-4.595,0.094,3.153,-12.099,-10.213,-6.402,-4.068,-2.272,-0.482,0.03,1126.006,1.001,>65,-1.457,0.84,2086,57,40,0,2183,0.297,0.23,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,BRAF,non-small cell lung cancer,81,61,mu_beta[3],-4.484,0.096,3.046,-11.709,-9.946,-6.249,-3.995,-2.222,-0.257,0.193,997.981,1.002,overall,-1.472,0.85,3414,81,61,0,3556,0.593,0.36,0.02,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,STK11,non-small cell lung cancer,24,20,"beta[1,4]",0.15,0.043,1.208,-2.638,-1.98,-0.33,0.34,0.886,1.578,1.796,804.432,1.002,50-65,0.124,0.05,1329,24,20,0,1373,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,agecat,KRAS_12A,STK11,non-small cell lung cancer,57,46,"beta[2,4]",0.619,0.025,0.655,-0.811,-0.522,0.213,0.671,1.097,1.571,1.737,675.407,1.005,>65,0.945,0.46,2083,54,43,3,2183,1.473,0.65,0.17,TRUE,2.99,2.99
