cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,57,"beta[3,4]",-0.416,0.014,0.539,-1.52,-1.32,-0.761,-0.403,-0.046,0.453,0.607,1471.562,1,Signature.15,-0.772,0.36,77,4,55,2,138,0,0,0,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,15,"beta[4,4]",1.09,0.016,0.583,0.041,0.192,0.686,1.067,1.494,2.093,2.267,1282.676,1.001,Signature.16,1.87,1.21,47,0,9,6,62,16.49,4.31,3.25,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,34,60,"beta[6,4]",-0.01,0.009,0.354,-0.717,-0.579,-0.261,-0.014,0.243,0.569,0.681,1471.442,1,Signature.18,-0.029,0.01,72,21,47,13,153,0,0,0,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,15,"beta[7,4]",-0.416,0.016,0.622,-1.619,-1.428,-0.809,-0.418,-0.005,0.616,0.797,1570.733,1,Signature.19,-0.669,0.3,43,5,14,1,63,0,0,0,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,92,"beta[8,4]",-0.484,0.013,0.539,-1.592,-1.379,-0.86,-0.474,-0.122,0.424,0.546,1722.546,0.998,Signature.1A,-0.898,0.43,171,5,90,2,268,0,0,0,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,37,120,"beta[9,4]",0.104,0.009,0.319,-0.524,-0.418,-0.115,0.11,0.326,0.628,0.702,1373.496,1,Signature.2,0.326,0.13,192,22,105,15,334,0.192,0.18,0.07,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,10,75,"beta[12,4]",0.148,0.013,0.486,-0.834,-0.662,-0.145,0.146,0.465,0.962,1.105,1435.379,1.001,Signature.3,0.304,0.12,165,5,70,5,245,1.016,0.5,0.28,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,82,310,"beta[13,4]",-0.236,0.006,0.234,-0.694,-0.607,-0.394,-0.236,-0.087,0.164,0.223,1349.941,0.999,Signature.4,-1.01,0.51,359,51,279,31,720,0.813,0.44,0.28,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,8,44,"beta[15,4]",-0.522,0.012,0.53,-1.63,-1.446,-0.858,-0.5,-0.144,0.32,0.448,1801.884,0.998,Signature.7,-0.984,0.49,59,6,42,2,109,0.298,0.23,0.1,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,24,"beta[16,4]",-0.645,0.015,0.583,-1.811,-1.609,-1.026,-0.607,-0.247,0.28,0.414,1574.808,1.001,Signature.8,-1.107,0.57,33,6,23,1,63,0.928,0.47,0.28,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,121,51,"beta[17,4]",-0.761,0.008,0.303,-1.359,-1.27,-0.963,-0.761,-0.551,-0.273,-0.148,1467.842,1,Signature.R2,-2.508,1.92,51,100,30,21,202,8.943,2.56,1.67,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,18,"beta[19,4]",-0.274,0.016,0.612,-1.44,-1.296,-0.693,-0.263,0.129,0.747,0.951,1493.429,1.005,Signature.U1,-0.447,0.18,89,5,17,1,112,0,0,0,TRUE,1.9,1.9
single,Cosmic Driver mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,356,1049,mu_beta[3],-0.303,0.006,0.242,-0.793,-0.702,-0.456,-0.312,-0.141,0.097,0.186,1477.595,1,overall,-1.252,0.68,1648,250,943,106,2947,5.698,1.77,1.31,TRUE,1.9,1.9
