cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,race,KRAS_12A,TP53,non-small cell lung cancer,76,906,"beta[5,4]",-0.23,0.01,0.267,-0.824,-0.674,-0.396,-0.218,-0.057,0.2,0.272,771.771,1.006,White,-0.86,0.41,2091,56,886,20,3053,0.273,0.22,0.1,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,TP53,non-small cell lung cancer,82,1149,mu_beta[3],-0.364,0.012,0.385,-1.192,-1.014,-0.608,-0.331,-0.128,0.214,0.327,1007.509,1.003,overall,-0.945,0.46,2638,61,1128,21,3848,0.53,0.33,0.16,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,PIK3CA,non-small cell lung cancer,75,42,"beta[1,4]",-0.587,0.035,1.195,-3.348,-2.731,-1.253,-0.453,0.267,1.059,1.271,1190.784,1.001,White,-0.492,0.21,2893,74,41,1,3009,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,PIK3CA,non-small cell lung cancer,75,42,mu_beta[3],-0.526,0.07,2.363,-5.271,-4.3,-1.791,-0.562,0.738,3.344,4.743,1150.193,0.999,overall,-0.222,0.08,2893,74,41,1,3009,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,EGFR,non-small cell lung cancer,75,498,"beta[5,4]",-6.301,0.076,2.711,-12.776,-11.544,-7.827,-5.931,-4.25,-2.791,-2.401,1285.241,1.002,White,-2.324,1.7,2512,75,498,0,3085,13.6,3.65,2.74,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,EGFR,non-small cell lung cancer,81,764,mu_beta[3],-6.22,0.076,2.761,-12.755,-11.494,-7.796,-5.823,-4.208,-2.495,-2.036,1323.578,1.001,overall,-2.253,1.62,3074,81,764,0,3919,18.78,4.83,3.63,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,BRAF,non-small cell lung cancer,75,53,"beta[1,4]",-5.818,0.303,4.221,-14.321,-13.418,-7.837,-5.403,-2.798,-0.487,-0.13,194.057,1.016,White,-1.378,0.77,2880,75,53,0,3008,0.533,0.33,0.16,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,BRAF,non-small cell lung cancer,75,53,mu_beta[3],-4.462,0.402,3.925,-12.754,-12.242,-6.5,-4.192,-1.795,1.722,2.654,95.184,1.029,overall,-1.137,0.59,2880,75,53,0,3008,0.533,0.33,0.16,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,STK11,non-small cell lung cancer,75,65,"beta[1,4]",0.496,0.02,0.6,-0.761,-0.525,0.121,0.541,0.906,1.439,1.568,914.698,1.006,White,0.826,0.39,2871,72,62,3,3008,0.5,0.32,0.16,TRUE,2.99,2.99
single,Cosmic Driver mutation,race,KRAS_12A,STK11,non-small cell lung cancer,75,65,mu_beta[3],0.432,0.058,2.089,-4.062,-3.029,-0.572,0.456,1.461,3.547,4.613,1275.819,1.003,overall,0.207,0.08,2871,72,62,3,3008,0.5,0.32,0.16,TRUE,2.99,2.99
