cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,56,692,"beta[1,4]",-0.243,0.015,0.28,-0.775,-0.688,-0.444,-0.235,-0.051,0.213,0.321,334.166,1.012,Female,-0.87,0.42,1516,42,678,14,2250,0.638,0.37,0.02,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,26,461,"beta[2,4]",-0.223,0.015,0.338,-0.9,-0.765,-0.453,-0.222,0.01,0.321,0.441,507.289,1.011,Male,-0.659,0.29,1144,19,454,7,1624,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,82,1153,mu_beta[3],-0.226,0.015,0.415,-1.007,-0.799,-0.475,-0.241,0.015,0.372,0.566,730.639,1.006,overall,-0.543,0.23,2660,61,1132,21,3874,0.503,0.32,0.02,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,PIK3CA,non-small cell lung cancer,55,46,"beta[1,4]",-0.753,0.034,1.17,-3.378,-2.875,-1.437,-0.625,0.113,0.873,1.134,1195.767,1.002,Female,-0.644,0.28,2114,54,45,1,2214,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,PIK3CA,non-small cell lung cancer,26,14,"beta[2,4]",-1.149,0.044,1.663,-5.109,-4.166,-2.045,-0.883,0.03,0.999,1.255,1410.92,1.001,Male,-0.691,0.31,1568,26,14,0,1608,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,PIK3CA,non-small cell lung cancer,81,60,mu_beta[3],-0.904,0.038,1.408,-4.092,-3.454,-1.757,-0.72,0.082,1.076,1.389,1372.568,1.001,overall,-0.642,0.28,3682,80,59,1,3822,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,EGFR,non-small cell lung cancer,55,546,"beta[1,4]",-6.429,0.077,2.8,-13.185,-11.942,-7.845,-5.839,-4.385,-2.959,-2.605,1339.694,1,Female,-2.296,1.66,1704,55,546,0,2305,16.173,4.24,3.16,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,EGFR,non-small cell lung cancer,26,222,"beta[2,4]",-6.33,0.075,2.818,-13.155,-11.682,-7.867,-5.807,-4.317,-2.677,-2.237,1420.834,1,Male,-2.247,1.61,1392,26,222,0,1640,3.044,1.09,0.49,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,EGFR,non-small cell lung cancer,81,768,mu_beta[3],-6.213,0.076,2.794,-13.142,-11.608,-7.67,-5.731,-4.272,-2.574,-2.162,1340.921,1.001,overall,-2.224,1.58,3096,81,768,0,3945,18.744,4.83,3.45,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,BRAF,non-small cell lung cancer,55,39,"beta[1,4]",-4.783,0.121,3.027,-11.521,-10.112,-6.819,-4.328,-2.505,-0.615,-0.171,627.437,1.011,Female,-1.58,0.94,2119,55,39,0,2213,0.237,0.2,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,BRAF,non-small cell lung cancer,26,25,"beta[2,4]",-4.744,0.108,3.067,-11.604,-10.293,-6.898,-4.404,-2.448,-0.56,-0.136,799.395,1.009,Male,-1.547,0.91,1557,26,25,0,1608,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,BRAF,non-small cell lung cancer,81,64,mu_beta[3],-4.69,0.119,3.035,-11.341,-10.171,-6.669,-4.344,-2.464,-0.469,-0.147,645.038,1.011,overall,-1.545,0.91,3676,81,64,0,3821,0.562,0.34,0.02,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,STK11,non-small cell lung cancer,55,41,"beta[1,4]",0.758,0.023,0.638,-0.562,-0.364,0.345,0.801,1.219,1.746,1.861,754.951,1.004,Female,1.188,0.63,2120,52,38,3,2213,2.249,0.87,0.34,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,STK11,non-small cell lung cancer,26,26,"beta[2,4]",0.224,0.042,1.2,-2.835,-1.778,-0.222,0.405,0.958,1.614,1.752,811.367,1,Male,0.186,0.07,1556,26,26,0,1608,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,STK11,non-small cell lung cancer,81,67,mu_beta[3],0.476,0.036,0.927,-1.724,-1.118,0.026,0.584,1.094,1.678,1.921,680.865,1.003,overall,0.513,0.22,3676,78,64,3,3821,0.854,0.45,0.02,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,CTNNB1,non-small cell lung cancer,55,62,"beta[1,4]",-1.262,0.035,1.196,-4.161,-3.49,-1.887,-1.059,-0.433,0.336,0.512,1195.006,1,Female,-1.055,0.54,2098,54,61,1,2214,0.001,0.01,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,CTNNB1,non-small cell lung cancer,26,34,"beta[2,4]",-1.438,0.041,1.435,-4.821,-4.074,-2.129,-1.178,-0.519,0.475,0.741,1238.452,0.998,Male,-1.003,0.5,1549,26,34,0,1609,0.005,0.02,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,CTNNB1,non-small cell lung cancer,81,96,mu_beta[3],-1.343,0.04,1.343,-4.399,-3.752,-2.042,-1.143,-0.431,0.421,0.768,1134.248,0.999,overall,-1.001,0.5,3647,80,95,1,3823,0.147,0.15,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sex,KRAS_12A,CDKN2A,non-small cell lung cancer,56,34,"beta[1,4]",0.891,0.019,0.667,-0.546,-0.32,0.495,0.939,1.355,1.914,2.056,1278.243,1.002,Female,1.337,0.74,2127,53,31,3,2214,3.259,1.15,0.49,TRUE,2.99,2.99
