cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Inactivating mutation,none,KRAS_12A,SMARCA4,non-small cell lung cancer,78,107,"beta[1,4]",-5.429,0.141,4.32,-14.663,-12.41,-7.167,-4.536,-2.637,-1.007,-0.638,933.479,1.002,NA,-1.257,0.68,3514,78,107,0,3699,1.438,0.64,0.24,FALSE,2.86,2.86
multi,Inactivating mutation,none,KRAS_12A,TP53,non-small cell lung cancer,81,467,"beta[1,4]",-0.285,0.01,0.385,-1.072,-0.928,-0.516,-0.274,-0.025,0.316,0.449,1546.852,0.998,NA,-0.742,0.34,3293,73,459,8,3833,0.221,0.19,0.04,TRUE,3.21,3.21
multi,Inactivating mutation,none,KRAS_12A,KEAP1,non-small cell lung cancer,78,105,"beta[1,4]",0.578,0.037,0.548,-0.624,-0.412,0.224,0.657,0.975,1.271,1.432,218.393,1.014,NA,1.055,0.54,3518,74,101,4,3697,0.783,0.42,0.09,FALSE,2.86,2.86
multi,Inactivating mutation,none,KRAS_12A,SETD2,non-small cell lung cancer,78,105,"beta[1,4]",-0.342,0.028,0.847,-2.168,-1.868,-0.862,-0.227,0.276,0.84,0.991,908.191,1.002,NA,-0.404,0.16,3531,76,103,2,3712,0,0,0,FALSE,2.86,2.86
multi,Inactivating mutation,none,KRAS_12A,RBM10,non-small cell lung cancer,78,253,"beta[1,4]",1.44,0.007,0.271,0.885,0.996,1.264,1.443,1.624,1.879,1.962,1535.405,1,NA,5.316,6.97,3387,60,235,18,3700,30.432,7.46,6.29,FALSE,2.86,2.86
multi,Inactivating mutation,none,KRAS_12A,MET,non-small cell lung cancer,81,59,"beta[1,4]",-0.75,0.036,1.225,-3.447,-2.928,-1.413,-0.566,0.127,0.929,1.132,1175.403,1,NA,-0.612,0.27,3685,80,58,1,3824,0,0,0,TRUE,3.21,3.21
multi,Inactivating mutation,none,KRAS_12A,ARID2,non-small cell lung cancer,78,85,"beta[1,4]",0.394,0.018,0.638,-0.957,-0.77,0.002,0.451,0.854,1.358,1.506,1201.647,1.001,NA,0.618,0.27,3544,75,82,3,3704,0.294,0.23,0.04,FALSE,2.86,2.86
multi,Inactivating mutation,none,KRAS_12A,STK11,non-small cell lung cancer,81,323,"beta[1,4]",0.985,0.01,0.292,0.389,0.511,0.797,0.982,1.178,1.458,1.569,783.153,1.001,NA,3.367,3.12,3436,65,307,16,3824,12.227,3.33,2.63,TRUE,3.21,3.21
multi,Inactivating mutation,none,KRAS_12A,RB1,non-small cell lung cancer,81,100,"beta[1,4]",-1.268,0.033,1.235,-4.136,-3.517,-1.914,-1.065,-0.427,0.355,0.584,1373.353,1,NA,-1.027,0.52,3642,80,99,1,3822,0.19,0.18,0.04,TRUE,3.21,3.21
multi,Inactivating mutation,none,KRAS_12A,CDKN2A,non-small cell lung cancer,81,77,"beta[1,4]",0.83,0.016,0.537,-0.316,-0.128,0.513,0.871,1.203,1.635,1.768,1185.669,0.999,NA,1.546,0.91,3669,77,73,4,3823,2.231,0.87,0.39,TRUE,3.21,3.21
multi,Inactivating mutation,none,KRAS_12A,NF1,non-small cell lung cancer,78,146,"beta[1,4]",-5.828,0.11,4.137,-16.357,-13.573,-7.591,-4.902,-3.041,-1.24,-0.801,1409.159,0.998,NA,-1.409,0.8,3491,78,146,0,3715,2.283,0.88,0.39,TRUE,3.21,3.21
