cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,agecat,KRAS_12A,SMARCA4,non-small cell lung cancer,23,48,"beta[1,4]",-5.766,1.041,2.945,-10.878,-9.571,-8.389,-5.966,-3.185,-0.927,-0.577,8.008,1.151,50-65,-1.958,1.3,1244,23,48,0,1315,0.145,0.15,0,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,SMARCA4,non-small cell lung cancer,55,52,"beta[2,4]",-5.771,1.065,2.959,-11.165,-9.756,-8.435,-5.911,-3.156,-1.038,-0.594,7.723,1.156,>65,-1.95,1.29,2023,55,52,0,2130,0.557,0.34,0,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,SMARCA4,non-small cell lung cancer,78,100,mu_beta[3],-5.674,1.045,2.906,-10.886,-9.474,-8.252,-5.883,-3.151,-0.97,-0.551,7.732,1.152,overall,-1.952,1.29,3267,78,100,0,3445,1.448,0.64,0.16,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,24,195,"beta[2,4]",0.297,0.019,0.524,-0.748,-0.566,-0.05,0.315,0.652,1.146,1.316,724.914,1.007,50-65,0.568,0.24,1168,18,189,6,1381,1.559,0.67,0.16,TRUE,3.21,3.21
single,Inactivating mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,57,238,"beta[3,4]",-0.828,0.02,0.619,-2.136,-1.949,-1.195,-0.768,-0.377,0.048,0.215,1004.162,1.002,>65,-1.338,0.74,1894,55,236,2,2187,2.547,0.96,0.29,TRUE,3.21,3.21
single,Inactivating mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,81,461,mu_beta[3],-0.351,0.025,0.799,-2.108,-1.707,-0.762,-0.305,0.113,0.804,1.111,1033.952,1.004,overall,-0.44,0.18,3235,73,453,8,3769,0.233,0.2,0,TRUE,3.21,3.21
single,Inactivating mutation,agecat,KRAS_12A,KEAP1,non-small cell lung cancer,23,41,"beta[1,4]",0.38,0.028,0.655,-1.045,-0.725,-0.017,0.39,0.826,1.38,1.567,558.798,1.002,50-65,0.58,0.25,1252,22,40,1,1315,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,KEAP1,non-small cell lung cancer,55,58,"beta[2,4]",0.466,0.028,0.605,-0.803,-0.522,0.045,0.492,0.911,1.385,1.533,453.482,1.005,>65,0.77,0.36,2018,52,55,3,2128,0.705,0.4,0,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,KEAP1,non-small cell lung cancer,78,99,mu_beta[3],0.42,0.027,0.656,-0.98,-0.651,0.008,0.421,0.867,1.417,1.593,595.684,1.004,overall,0.64,0.28,3270,74,95,4,3443,0.742,0.41,0,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,SETD2,non-small cell lung cancer,23,34,"beta[1,4]",-0.692,0.05,1.235,-3.358,-2.762,-1.282,-0.477,0.091,0.822,0.991,602.481,1.005,50-65,-0.561,0.24,1262,23,34,0,1319,0.015,0.04,0,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,SETD2,non-small cell lung cancer,55,68,"beta[2,4]",-0.348,0.033,0.834,-2.244,-1.893,-0.838,-0.249,0.209,0.838,1.01,632.978,1.01,>65,-0.418,0.17,2018,53,66,2,2139,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,SETD2,non-small cell lung cancer,78,102,mu_beta[3],-0.492,0.042,1.011,-2.839,-2.212,-1.102,-0.341,0.187,0.944,1.118,572.254,1.012,overall,-0.487,0.2,3280,76,100,2,3458,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,agecat,KRAS_12A,RBM10,non-small cell lung cancer,23,59,"beta[1,4]",1.37,0.013,0.482,0.36,0.541,1.054,1.38,1.705,2.12,2.279,1396.1,1.003,50-65,2.845,2.35,1239,19,55,4,1317,6.307,1.92,1.11,FALSE,2.86,2.86
