cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,Mutation signature,KRAS_12C,SMARCA4,non-small cell lung cancer,82,46,"beta[1,4]",0.285,0.012,0.441,-0.629,-0.469,0.009,0.304,0.589,0.952,1.085,1279.797,0.999,Signature.4,0.646,0.29,582,75,39,7,703,0.291,0.23,0,FALSE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,SMARCA4,non-small cell lung cancer,82,46,mu_beta[3],0.293,0.051,1.962,-3.971,-3.037,-0.635,0.352,1.187,3.347,4.552,1494.805,1,overall,0.15,0.05,582,75,39,7,703,0.291,0.23,0,FALSE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,6,20,"beta[2,4]",-0.615,0.02,0.79,-2.349,-2.017,-1.089,-0.548,-0.08,0.56,0.763,1566.64,1.001,Signature.15,-0.778,0.36,110,6,20,0,136,0.203,0.19,0,TRUE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,34,19,"beta[3,4]",-0.116,0.013,0.517,-1.154,-0.991,-0.459,-0.105,0.235,0.715,0.883,1526.803,1.002,Signature.18,-0.224,0.08,102,30,15,4,151,0,0,0,TRUE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,7,41,"beta[4,4]",0.842,0.016,0.605,-0.34,-0.135,0.427,0.81,1.253,1.904,2.057,1474.929,1,Signature.1A,1.392,0.79,223,3,37,4,267,6.638,2,1.11,TRUE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,37,49,"beta[5,4]",-0.345,0.013,0.463,-1.335,-1.121,-0.646,-0.328,-0.038,0.391,0.51,1238.86,1,Signature.2,-0.745,0.34,244,33,45,4,326,0.269,0.22,0,TRUE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,10,37,"beta[6,4]",0.35,0.016,0.604,-0.889,-0.693,-0.035,0.36,0.738,1.327,1.561,1512.775,0.999,Signature.3,0.579,0.25,200,7,34,3,244,0.784,0.42,0.01,TRUE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,82,122,"beta[7,4]",0.046,0.008,0.293,-0.544,-0.458,-0.15,0.05,0.249,0.51,0.58,1364.571,0.999,Signature.4,0.156,0.06,516,67,107,15,705,0.009,0.03,0,TRUE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,8,18,"beta[8,4]",0.103,0.019,0.661,-1.233,-1.008,-0.334,0.13,0.554,1.183,1.4,1218.288,1,Signature.7,0.156,0.06,83,6,16,2,107,0.023,0.06,0,TRUE,2.26,2.26
single,Inactivating mutation,Mutation signature,KRAS_12C,TP53,non-small cell lung cancer,120,18,"beta[9,4]",-0.177,0.012,0.429,-1.013,-0.873,-0.46,-0.177,0.108,0.535,0.68,1332.767,1.003,Signature.R2,-0.413,0.17,70,110,8,10,198,0.043,0.08,0,TRUE,2.26,2.26
