cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,race,KRAS_12A,SMARCA4,non-small cell lung cancer,72,91,"beta[1,4]",-4.879,0.802,3.854,-13.537,-11.34,-6.112,-3.402,-2.887,-1.207,-0.692,23.123,1.055,White,-1.266,0.69,2755,72,91,0,2918,1.436,0.64,0.24,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,SMARCA4,non-small cell lung cancer,72,91,mu_beta[3],-3.803,0.151,2.815,-10.145,-9.109,-5.16,-3.327,-2.515,0.134,1.388,346.283,1.02,overall,-1.351,0.75,2755,72,91,0,2918,1.436,0.64,0.24,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,TP53,non-small cell lung cancer,75,360,"beta[4,4]",-0.267,0.01,0.375,-1.032,-0.92,-0.511,-0.248,-0.01,0.33,0.423,1332.348,0.998,White,-0.711,0.32,2589,67,352,8,3016,0.027,0.06,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,TP53,non-small cell lung cancer,81,458,mu_beta[3],-0.42,0.015,0.576,-1.774,-1.458,-0.739,-0.375,-0.057,0.384,0.582,1415.543,0.998,overall,-0.73,0.33,3216,73,450,8,3747,0.231,0.2,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,KEAP1,non-small cell lung cancer,72,92,"beta[1,4]",0.466,0.015,0.549,-0.768,-0.475,0.139,0.5,0.83,1.33,1.46,1385.701,1,White,0.849,0.4,2757,68,88,4,2917,0.704,0.4,0.07,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,KEAP1,non-small cell lung cancer,72,92,mu_beta[3],0.378,0.055,2.002,-4.258,-3.139,-0.506,0.434,1.338,3.548,4.606,1320.37,1,overall,0.189,0.07,2757,68,88,4,2917,0.704,0.4,0.07,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,SETD2,non-small cell lung cancer,72,84,"beta[2,4]",-0.33,0.024,0.801,-2.182,-1.801,-0.792,-0.245,0.253,0.814,0.937,1084.594,1,White,-0.412,0.17,2774,70,82,2,2928,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,SETD2,non-small cell lung cancer,74,95,mu_beta[3],-0.438,0.04,1.315,-3.291,-2.583,-1.122,-0.378,0.346,1.485,1.992,1088.077,1.001,overall,-0.333,0.13,3093,72,93,2,3260,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,RBM10,non-small cell lung cancer,72,206,"beta[3,4]",1.359,0.009,0.29,0.784,0.873,1.166,1.367,1.556,1.829,1.904,1051.166,0.999,White,4.682,5.55,2657,56,190,16,2919,23.567,5.92,4.74,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,RBM10,non-small cell lung cancer,77,243,mu_beta[3],1.246,0.014,0.507,0.022,0.366,0.971,1.272,1.559,1.966,2.144,1351.015,0.999,overall,2.455,1.85,3119,60,226,17,3422,24.512,6.13,4.74,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,MET,non-small cell lung cancer,75,51,"beta[1,4]",-0.732,0.037,1.198,-3.444,-2.911,-1.421,-0.525,0.117,0.876,1.084,1026.256,1.002,White,-0.611,0.27,2886,74,50,1,3011,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,MET,non-small cell lung cancer,75,51,mu_beta[3],-0.55,0.059,2.271,-5.32,-4.273,-1.764,-0.47,0.774,3.079,3.912,1494.668,1.001,overall,-0.242,0.09,2886,74,50,1,3011,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,ARID2,non-small cell lung cancer,72,69,"beta[1,4]",0.449,0.021,0.657,-1.121,-0.732,0.063,0.514,0.891,1.419,1.549,965.957,1,White,0.682,0.31,2785,69,66,3,2923,0.396,0.28,0,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,ARID2,non-small cell lung cancer,72,69,mu_beta[3],0.421,0.061,2.183,-4.075,-3.08,-0.626,0.458,1.477,3.843,5.049,1290.393,1.001,overall,0.193,0.07,2785,69,66,3,2923,0.396,0.28,0,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,STK11,non-small cell lung cancer,75,288,"beta[2,4]",0.843,0.009,0.299,0.244,0.342,0.653,0.851,1.043,1.324,1.4,1138.382,1.001,White,2.817,2.31,2663,60,273,15,3011,8.485,2.45,1.69,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,STK11,non-small cell lung cancer,76,301,mu_beta[3],0.549,0.029,1.145,-2.259,-1.324,0.096,0.664,1.131,2.052,2.42,1578.838,0.999,overall,0.479,0.2,2848,61,286,15,3210,8.623,2.48,1.69,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,RB1,non-small cell lung cancer,75,74,"beta[2,4]",-1.164,0.032,1.163,-3.828,-3.259,-1.856,-1.023,-0.323,0.436,0.687,1319.954,0.999,White,-1.001,0.5,2861,74,73,1,3009,0.068,0.1,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,RB1,non-small cell lung cancer,77,87,mu_beta[3],-1.212,0.04,1.589,-4.814,-4.043,-2.102,-1.084,-0.255,1.064,1.641,1540.323,1.001,overall,-0.763,0.35,3195,76,86,1,3358,0.129,0.14,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,CDKN2A,non-small cell lung cancer,75,60,"beta[1,4]",0.953,0.015,0.571,-0.303,-0.026,0.601,0.995,1.357,1.824,1.954,1370.586,0.999,White,1.67,1.02,2879,71,56,4,3010,2.814,1.03,0.46,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,CDKN2A,non-small cell lung cancer,75,60,mu_beta[3],0.828,0.054,2.164,-3.765,-2.524,-0.175,0.894,1.76,4.472,5.436,1589.462,0.999,overall,0.383,0.15,2879,71,56,4,3010,2.814,1.03,0.46,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,NF1,non-small cell lung cancer,72,113,"beta[1,4]",-5.834,0.115,4.1,-15.17,-12.314,-7.585,-5.161,-3.097,-1.319,-0.819,1263.531,1.001,White,-1.423,0.81,2747,72,113,0,2932,1.989,0.8,0.32,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,NF1,non-small cell lung cancer,72,113,mu_beta[3],-4.361,0.098,3.536,-11.331,-9.996,-6.537,-4.291,-2.229,1.2,2.953,1290.012,1.001,overall,-1.233,0.66,2747,72,113,0,2932,1.989,0.8,0.32,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,ATM,non-small cell lung cancer,75,71,"beta[1,4]",1.238,0.02,0.46,0.332,0.52,0.926,1.259,1.558,1.966,2.079,546.929,1.002,White,2.694,2.15,2868,69,65,6,3008,8.254,2.39,1.69,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,ATM,non-small cell lung cancer,75,71,mu_beta[3],0.967,0.056,2.086,-4.249,-2.817,0.175,1.052,1.981,4.102,4.971,1389.899,0.999,overall,0.463,0.19,2868,69,65,6,3008,8.254,2.39,1.69,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,APC,non-small cell lung cancer,75,41,"beta[1,4]",-0.525,0.032,1.239,-3.57,-2.817,-1.196,-0.386,0.359,1.159,1.348,1502.673,1.003,White,-0.424,0.17,2894,74,40,1,3009,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,APC,non-small cell lung cancer,75,41,mu_beta[3],-0.467,0.061,2.319,-5.644,-4.424,-1.698,-0.328,0.861,3.014,4.302,1446.873,1,overall,-0.201,0.08,2894,74,40,1,3009,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,ARID1A,non-small cell lung cancer,73,83,"beta[2,4]",0.193,0.019,0.653,-1.252,-1.008,-0.214,0.277,0.657,1.142,1.289,1231.025,1,White,0.296,0.11,2768,70,80,3,2921,0.092,0.12,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,ARID1A,non-small cell lung cancer,75,95,mu_beta[3],-0.029,0.032,1.2,-2.582,-1.982,-0.703,0.027,0.691,1.741,2.017,1442.636,0.999,overall,-0.024,0.01,3086,72,92,3,3253,0.046,0.08,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12A,MGA,non-small cell lung cancer,67,71,"beta[1,4]",0.387,0.019,0.654,-1.104,-0.772,0.009,0.451,0.828,1.316,1.458,1180.358,1.003,White,0.592,0.26,2487,64,68,3,2622,0.273,0.22,0,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12A,MGA,non-small cell lung cancer,67,71,mu_beta[3],0.318,0.053,2.078,-4.413,-3.041,-0.618,0.373,1.278,3.66,4.651,1556.561,0.999,overall,0.153,0.06,2487,64,68,3,2622,0.273,0.22,0,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12C,SMARCA4,non-small cell lung cancer,352,91,"beta[1,4]",0.981,0.007,0.247,0.473,0.565,0.819,0.995,1.15,1.376,1.444,1396.551,1,White,3.965,4.13,2499,328,67,24,2918,16.768,4.37,3.56,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12C,SMARCA4,non-small cell lung cancer,352,91,mu_beta[3],0.715,0.052,2.092,-4.233,-2.933,-0.073,0.865,1.664,3.881,4.801,1608.839,0.998,overall,0.342,0.14,2499,328,67,24,2918,16.768,4.37,3.56,FALSE,2.86,2.86
single,Inactivating mutation,race,KRAS_12C,TP53,non-small cell lung cancer,10,48,"beta[1,4]",-0.139,0.014,0.531,-1.225,-1.038,-0.456,-0.129,0.198,0.721,0.891,1501.671,0.999,Asian,-0.262,0.1,293,9,47,1,350,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12C,TP53,non-small cell lung cancer,15,30,"beta[2,4]",0.462,0.013,0.501,-0.428,-0.323,0.105,0.454,0.797,1.29,1.486,1435.553,0.999,Black,0.923,0.45,160,10,25,5,200,2.862,1.04,0.75,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12C,TP53,non-small cell lung cancer,16,20,"beta[3,4]",0.021,0.013,0.51,-0.981,-0.779,-0.325,0.015,0.346,0.855,1.09,1536.608,1,Unknown,0.041,0.01,147,14,18,2,181,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12C,TP53,non-small cell lung cancer,364,360,"beta[4,4]",-0.209,0.005,0.186,-0.584,-0.512,-0.327,-0.205,-0.078,0.079,0.134,1541.682,0.999,White,-1.125,0.58,2328,328,324,36,3016,1.435,0.64,0.46,TRUE,3.21,3.21
single,Inactivating mutation,race,KRAS_12C,TP53,non-small cell lung cancer,405,458,mu_beta[3],0.037,0.01,0.397,-0.763,-0.593,-0.21,0.02,0.282,0.693,0.852,1602.908,1,overall,0.092,0.03,2928,361,414,44,3747,0.646,0.38,0.25,TRUE,3.21,3.21
