cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,sample_type,KRAS_12A,SMARCA4,non-small cell lung cancer,20,56,"beta[1,4]",-4.909,0.078,2.896,-11.342,-10.083,-6.645,-4.435,-2.849,-0.95,-0.515,1376.69,1,Metastasis,-1.695,1.05,1307,20,56,0,1383,0.125,0.14,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,SMARCA4,non-small cell lung cancer,58,51,"beta[2,4]",-4.929,0.08,2.962,-11.633,-10.193,-6.696,-4.443,-2.756,-1.011,-0.595,1362.462,1,Primary,-1.664,1.02,2190,58,51,0,2299,0.505,0.32,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,SMARCA4,non-small cell lung cancer,78,107,mu_beta[3],-4.832,0.077,2.835,-10.962,-9.956,-6.575,-4.471,-2.708,-0.989,-0.383,1351.767,1,overall,-1.704,1.05,3497,78,107,0,3682,1.449,0.64,0.1,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,20,206,"beta[1,4]",-0.212,0.014,0.53,-1.313,-1.102,-0.546,-0.192,0.122,0.642,0.842,1390.906,1,Metastasis,-0.401,0.16,1209,17,203,3,1432,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,61,261,"beta[2,4]",-0.331,0.011,0.409,-1.238,-1.032,-0.588,-0.318,-0.044,0.288,0.393,1438.951,1,Primary,-0.809,0.38,2067,56,256,5,2384,0.24,0.2,0,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,81,467,mu_beta[3],-0.284,0.017,0.631,-1.532,-1.238,-0.641,-0.249,0.084,0.637,0.851,1453.304,1.002,overall,-0.45,0.19,3276,73,459,8,3816,0.234,0.2,0,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,KEAP1,non-small cell lung cancer,20,49,"beta[1,4]",0.676,0.016,0.684,-0.79,-0.525,0.249,0.718,1.12,1.726,1.953,1727.911,0.999,Metastasis,0.988,0.49,1315,18,47,2,1382,0.928,0.47,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,KEAP1,non-small cell lung cancer,58,56,"beta[2,4]",0.41,0.017,0.65,-0.994,-0.749,0.03,0.455,0.846,1.375,1.525,1535.181,0.998,Primary,0.631,0.28,2186,56,54,2,2298,0.006,0.03,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,KEAP1,non-small cell lung cancer,78,105,mu_beta[3],0.555,0.019,0.769,-0.967,-0.661,0.107,0.579,1.018,1.753,2.083,1640.147,0.999,overall,0.721,0.33,3501,74,101,4,3680,0.768,0.42,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,SETD2,non-small cell lung cancer,20,44,"beta[1,4]",-0.272,0.026,0.894,-2.251,-1.866,-0.811,-0.21,0.341,1.085,1.31,1149.907,1.002,Metastasis,-0.304,0.12,1325,19,43,1,1388,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,SETD2,non-small cell lung cancer,58,61,"beta[2,4]",-0.43,0.025,0.854,-2.402,-2.031,-0.936,-0.325,0.145,0.764,0.997,1154.707,1.001,Primary,-0.504,0.21,2189,57,60,1,2307,0.001,0.01,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,SETD2,non-small cell lung cancer,78,105,mu_beta[3],-0.369,0.026,0.9,-2.487,-2.016,-0.901,-0.256,0.239,0.928,1.136,1236.214,1.003,overall,-0.409,0.17,3514,76,103,2,3695,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,RBM10,non-small cell lung cancer,20,77,"beta[1,4]",1.667,0.012,0.444,0.823,0.948,1.371,1.639,1.959,2.415,2.593,1487.209,1.001,Metastasis,3.752,3.76,1292,14,71,6,1383,18.567,4.79,3.73,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,RBM10,non-small cell lung cancer,58,176,"beta[2,4]",1.309,0.008,0.316,0.64,0.781,1.111,1.326,1.511,1.803,1.911,1492.062,0.999,Primary,4.144,4.47,2078,46,164,12,2300,12.482,3.39,2.51,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,RBM10,non-small cell lung cancer,78,253,mu_beta[3],1.471,0.017,0.619,0.332,0.587,1.163,1.464,1.764,2.413,2.713,1397.22,1,overall,2.378,1.76,3370,60,235,18,3683,30.183,7.41,6.03,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,MET,non-small cell lung cancer,20,23,"beta[1,4]",-1.012,0.043,1.563,-4.869,-3.857,-1.748,-0.8,0.052,0.971,1.257,1328.404,1.001,Metastasis,-0.647,0.29,1390,20,23,0,1433,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,MET,non-small cell lung cancer,61,36,"beta[2,4]",-0.695,0.038,1.225,-3.687,-2.969,-1.406,-0.459,0.17,0.93,1.153,1041.726,1.001,Primary,-0.567,0.24,2278,60,35,1,2374,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,MET,non-small cell lung cancer,81,59,mu_beta[3],-0.871,0.038,1.412,-3.982,-3.321,-1.625,-0.667,0.11,0.981,1.268,1369.402,1.002,overall,-0.617,0.27,3668,80,58,1,3807,0,0,0,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,ARID2,non-small cell lung cancer,20,37,"beta[1,4]",0.336,0.022,0.789,-1.268,-1.027,-0.169,0.387,0.888,1.567,1.745,1329.64,0.999,Metastasis,0.426,0.17,1331,19,36,1,1387,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,ARID2,non-small cell lung cancer,58,48,"beta[2,4]",0.345,0.02,0.683,-1.154,-0.841,-0.075,0.385,0.821,1.391,1.555,1168.21,0.999,Primary,0.506,0.21,2196,56,46,2,2300,0.073,0.1,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,ARID2,non-small cell lung cancer,78,85,mu_beta[3],0.347,0.022,0.805,-1.412,-1.046,-0.136,0.384,0.863,1.532,1.748,1332.539,1,overall,0.432,0.18,3527,75,82,3,3687,0.286,0.23,0,FALSE,2.86,2.86
single,Inactivating mutation,sample_type,KRAS_12A,STK11,non-small cell lung cancer,20,116,"beta[1,4]",1.424,0.014,0.484,0.527,0.676,1.086,1.409,1.739,2.26,2.401,1117.309,1,Metastasis,2.944,2.49,1302,13,109,7,1431,16.203,4.24,3.29,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,STK11,non-small cell lung cancer,61,207,"beta[2,4]",0.745,0.009,0.348,0.016,0.149,0.523,0.755,0.997,1.279,1.357,1369.207,0.999,Primary,2.139,1.49,2117,52,198,9,2376,2.147,0.85,0.19,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,STK11,non-small cell lung cancer,81,323,mu_beta[3],1.073,0.018,0.688,-0.234,0.015,0.719,1.064,1.423,2.13,2.488,1515.395,1,overall,1.559,0.92,3419,65,307,16,3807,12.093,3.3,2.49,TRUE,3.21,3.21
single,Inactivating mutation,sample_type,KRAS_12A,RB1,non-small cell lung cancer,20,44,"beta[1,4]",-1.554,0.042,1.457,-4.893,-4.075,-2.323,-1.358,-0.564,0.416,0.706,1196.492,1,Metastasis,-1.067,0.54,1367,20,44,0,1431,0.022,0.06,0,TRUE,3.21,3.21
