cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,sex,KRAS_12A,SMARCA4,non-small cell lung cancer,53,57,"beta[1,4]",-4.67,0.104,2.904,-11.554,-10.232,-6.149,-4.193,-2.511,-0.842,-0.418,779.919,0.999,Female,-1.608,0.97,2038,53,57,0,2148,0.615,0.36,0,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,SMARCA4,non-small cell lung cancer,25,50,"beta[2,4]",-4.614,0.104,2.848,-11.335,-10.096,-5.999,-4.208,-2.501,-0.796,-0.448,747.832,0.999,Male,-1.62,0.98,1476,25,50,0,1551,0.122,0.14,0,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,SMARCA4,non-small cell lung cancer,78,107,mu_beta[3],-4.585,0.106,2.85,-11.244,-10.187,-6.05,-4.199,-2.494,-0.75,-0.369,722.83,0.999,overall,-1.609,0.97,3514,78,107,0,3699,1.438,0.64,0.14,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,55,286,"beta[1,4]",-0.289,0.011,0.405,-1.142,-0.991,-0.543,-0.274,-0.013,0.349,0.461,1322.954,1,Female,-0.714,0.32,1888,49,280,6,2223,0.055,0.09,0,TRUE,3.21,3.21
single,Inactivating mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,26,181,"beta[2,4]",-0.384,0.013,0.493,-1.475,-1.258,-0.67,-0.361,-0.068,0.382,0.504,1538.638,1,Male,-0.779,0.36,1405,24,179,2,1610,0.07,0.1,0,TRUE,3.21,3.21
single,Inactivating mutation,sex,KRAS_12A,TP53,non-small cell lung cancer,81,467,mu_beta[3],-0.341,0.013,0.522,-1.413,-1.207,-0.649,-0.311,-0.011,0.462,0.587,1515.715,1.001,overall,-0.652,0.29,3293,73,459,8,3833,0.221,0.19,0,TRUE,3.21,3.21
single,Inactivating mutation,sex,KRAS_12A,KEAP1,non-small cell lung cancer,53,57,"beta[1,4]",0.478,0.029,0.582,-0.787,-0.556,0.119,0.526,0.898,1.338,1.467,396.812,1.012,Female,0.822,0.39,2039,51,55,2,2147,0.006,0.03,0,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,KEAP1,non-small cell lung cancer,25,48,"beta[2,4]",0.606,0.023,0.638,-0.807,-0.518,0.214,0.623,1.063,1.575,1.741,778.057,1.001,Male,0.95,0.47,1479,23,46,2,1550,0.714,0.4,0,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,KEAP1,non-small cell lung cancer,78,105,mu_beta[3],0.541,0.023,0.653,-0.833,-0.627,0.157,0.564,0.981,1.531,1.702,796.961,1.004,overall,0.829,0.39,3518,74,101,4,3697,0.783,0.42,0,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,SETD2,non-small cell lung cancer,53,61,"beta[1,4]",-0.334,0.04,0.788,-2.011,-1.652,-0.878,-0.267,0.244,0.839,1.007,385.607,1.017,Female,-0.424,0.17,2046,51,59,2,2158,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,SETD2,non-small cell lung cancer,25,44,"beta[2,4]",-0.655,0.033,1.134,-3.148,-2.447,-1.14,-0.543,0.047,0.737,0.955,1200.594,1.001,Male,-0.578,0.25,1485,25,44,0,1554,0.064,0.1,0,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,SETD2,non-small cell lung cancer,78,105,mu_beta[3],-0.488,0.034,0.936,-2.59,-2.091,-1.07,-0.412,0.146,0.81,1.08,746.987,1.005,overall,-0.521,0.22,3531,76,103,2,3712,0,0,0,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,RBM10,non-small cell lung cancer,53,157,"beta[1,4]",1.348,0.045,0.321,0.663,0.8,1.103,1.366,1.641,1.801,1.918,50.411,1.041,Female,4.196,4.57,1950,43,147,10,2150,9.058,2.58,1.71,FALSE,2.86,2.86
single,Inactivating mutation,sex,KRAS_12A,RBM10,non-small cell lung cancer,25,96,"beta[2,4]",1.613,0.025,0.369,0.958,1.104,1.356,1.65,1.791,2.263,2.383,212.069,1.019,Male,4.371,4.91,1437,17,88,8,1550,24.787,6.19,4.84,FALSE,2.86,2.86
