cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,TMB,KRAS_12C,SMARCA4,non-small cell lung cancer,41,12,"beta[1,4]",1.436,0.015,0.573,0.347,0.497,1.035,1.415,1.847,2.354,2.553,1493.783,1,3,2.505,1.91,577,37,8,4,626,10.225,2.86,2.24,FALSE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,SMARCA4,non-small cell lung cancer,111,21,"beta[2,4]",1.174,0.011,0.418,0.365,0.47,0.905,1.177,1.457,1.853,1.982,1461.048,1,4,2.808,2.3,638,103,13,8,762,7.76,2.27,1.78,FALSE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,SMARCA4,non-small cell lung cancer,188,68,"beta[3,4]",0.426,0.008,0.315,-0.201,-0.097,0.213,0.427,0.643,0.935,1.031,1653.905,0.999,5,1.353,0.75,982,175,55,13,1225,0.511,0.32,0.2,FALSE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,SMARCA4,non-small cell lung cancer,340,101,mu_beta[3],1,0.015,0.565,-0.042,0.174,0.656,0.991,1.341,1.905,2.142,1498.297,1.002,overall,1.769,1.11,2197,315,76,25,2613,11.738,3.21,2.51,FALSE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,24,42,"beta[1,4]",-0.607,0.013,0.499,-1.683,-1.471,-0.915,-0.569,-0.256,0.149,0.283,1458.786,1.002,2,-1.217,0.65,376,23,41,1,441,0.316,0.24,0.16,TRUE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,41,88,"beta[2,4]",-0.627,0.011,0.428,-1.561,-1.379,-0.895,-0.608,-0.333,0.04,0.129,1512.441,0.999,3,-1.465,0.84,503,38,85,3,629,1.084,0.53,0.33,TRUE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,111,92,"beta[3,4]",-0.406,0.008,0.311,-1.039,-0.911,-0.61,-0.404,-0.194,0.087,0.182,1514.194,0.999,4,-1.305,0.72,573,101,82,10,766,0.799,0.43,0.29,TRUE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,187,218,"beta[4,4]",-0.189,0.006,0.209,-0.613,-0.535,-0.322,-0.186,-0.05,0.155,0.207,1396.963,0.998,5,-0.903,0.44,853,157,188,30,1228,0.314,0.24,0.16,TRUE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,363,440,mu_beta[3],-0.446,0.009,0.351,-1.158,-1.036,-0.674,-0.432,-0.211,0.102,0.222,1480.859,1.001,overall,-1.27,0.69,2305,319,396,44,3064,1.479,0.65,0.43,TRUE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,RBM10,non-small cell lung cancer,24,24,"beta[1,4]",0.215,0.014,0.514,-0.9,-0.677,-0.099,0.249,0.571,0.998,1.105,1419.191,1.003,2,0.418,0.17,394,23,23,1,441,0,0,0,FALSE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,RBM10,non-small cell lung cancer,41,34,"beta[2,4]",0.197,0.012,0.46,-0.796,-0.597,-0.084,0.243,0.504,0.89,0.982,1467.128,0.999,3,0.428,0.17,553,39,32,2,626,0,0,0,FALSE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,RBM10,non-small cell lung cancer,112,71,"beta[3,4]",0.879,0.007,0.259,0.382,0.456,0.712,0.881,1.047,1.304,1.381,1578.365,0.999,4,3.397,3.17,601,91,50,21,763,12.594,3.41,2.62,FALSE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,RBM10,non-small cell lung cancer,187,110,"beta[4,4]",0.444,0.006,0.231,-0.005,0.07,0.285,0.445,0.605,0.814,0.877,1525.044,0.999,5,1.919,1.26,951,164,87,23,1225,2.516,0.95,0.59,FALSE,2.26,2.26
single,Inactivating mutation,TMB,KRAS_12C,RBM10,non-small cell lung cancer,364,239,mu_beta[3],0.42,0.008,0.336,-0.282,-0.127,0.207,0.448,0.639,0.944,1.054,1582.731,0.999,overall,1.25,0.67,2499,317,192,47,3055,14.05,3.75,2.83,FALSE,2.26,2.26
