cancer_group,confounder,hugo_symbol,cancer,variable,y,n,mean,median,q1,q2,ras,codon_range,codon
single,Age,RAS,appendiceal cancer,<40,20,28,0.569,0.551,0.459,0.758,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,appendiceal cancer,40-50,31,62,0.51,0.51,0.419,0.6,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,appendiceal cancer,50-65,76,161,0.493,0.494,0.421,0.558,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,appendiceal cancer,>65,46,90,0.513,0.513,0.435,0.593,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,colorectal cancer,<40,225,565,0.419,0.421,0.382,0.447,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,colorectal cancer,40-50,559,1280,0.435,0.435,0.413,0.457,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,colorectal cancer,50-65,1242,2815,0.438,0.438,0.423,0.455,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,colorectal cancer,>65,892,2055,0.433,0.433,0.415,0.452,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,cancer of unknown primary,<40,14,167,0.104,0.101,0.059,0.162,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,cancer of unknown primary,40-50,39,211,0.184,0.183,0.137,0.235,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,cancer of unknown primary,50-65,174,810,0.213,0.213,0.186,0.242,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,cancer of unknown primary,>65,189,797,0.235,0.234,0.206,0.265,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,non-small cell lung cancer,<40,13,161,0.093,0.091,0.052,0.144,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,non-small cell lung cancer,40-50,109,585,0.187,0.186,0.156,0.219,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,non-small cell lung cancer,50-65,1086,3677,0.295,0.295,0.281,0.31,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,non-small cell lung cancer,>65,1800,5698,0.316,0.316,0.304,0.328,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,non-small cell lung cancer,NA,1,10,0.158,0.149,0.032,0.34,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,breast cancer,<40,4,841,0.006,0.006,0.002,0.012,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,breast cancer,40-50,8,1910,0.005,0.005,0.002,0.01,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,breast cancer,50-65,48,3989,0.012,0.012,0.009,0.015,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,breast cancer,>65,36,2583,0.013,0.013,0.009,0.018,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,breast cancer,NA,1,10,0.023,0.012,0.003,0.114,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,soft tissue sarcoma,<40,32,672,0.044,0.044,0.029,0.062,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,soft tissue sarcoma,40-50,3,367,0.013,0.012,0.004,0.025,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,soft tissue sarcoma,50-65,15,951,0.017,0.016,0.01,0.026,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,soft tissue sarcoma,>65,19,777,0.024,0.024,0.015,0.036,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,pancreatic cancer,<40,23,87,0.279,0.278,0.19,0.379,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,pancreatic cancer,40-50,119,200,0.596,0.596,0.528,0.662,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,pancreatic cancer,50-65,723,1000,0.723,0.723,0.695,0.75,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,pancreatic cancer,>65,982,1205,0.814,0.814,0.792,0.836,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,leukemia,<40,40,204,0.171,0.167,0.136,0.223,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,leukemia,40-50,24,128,0.166,0.162,0.13,0.223,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,leukemia,50-65,74,515,0.149,0.149,0.123,0.175,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,leukemia,>65,99,720,0.145,0.145,0.121,0.168,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,melanoma,<40,39,289,0.148,0.147,0.108,0.194,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,melanoma,40-50,63,282,0.224,0.223,0.179,0.272,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,melanoma,50-65,256,1016,0.251,0.251,0.225,0.277,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,melanoma,>65,363,1259,0.286,0.286,0.262,0.312,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,head and neck cancer,<40,4,140,0.038,0.038,0.02,0.054,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,head and neck cancer,40-50,7,216,0.038,0.038,0.023,0.053,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Age,RAS,head and neck cancer,50-65,38,799,0.043,0.042,0.032,0.056,RAS_12-61,12-61,"Codon 12, 13, or 61"
