cancer_group,confounder,hugo_symbol,cancer,variable,y,n,mean,median,q1,q2,ras,codon_range,codon
single,Center,RAS,appendiceal cancer,DFCI,27,66,0.433,0.434,0.318,0.54,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,appendiceal cancer,MDA,16,30,0.509,0.507,0.369,0.656,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,appendiceal cancer,MSK,95,170,0.544,0.544,0.47,0.62,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,appendiceal cancer,NKI,5,14,0.425,0.435,0.22,0.594,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,appendiceal cancer,VICC,16,24,0.576,0.566,0.427,0.76,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,appendiceal cancer,WAKE,3,17,0.344,0.347,0.125,0.535,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,DFCI,631,1498,0.421,0.421,0.397,0.446,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,DUKE,56,111,0.492,0.492,0.407,0.58,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,GRCC,51,85,0.565,0.565,0.467,0.665,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,JHU,405,940,0.431,0.431,0.4,0.462,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,MDA,318,640,0.495,0.495,0.456,0.533,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,MSK,959,2237,0.429,0.429,0.408,0.449,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,NKI,97,242,0.403,0.403,0.345,0.464,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,PHS,52,126,0.414,0.414,0.336,0.495,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,SCI,18,40,0.443,0.442,0.321,0.57,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,UCHI,36,77,0.459,0.459,0.361,0.558,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,UCSF,30,66,0.448,0.448,0.344,0.554,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,UHN,107,259,0.414,0.414,0.356,0.472,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,VICC,144,310,0.462,0.462,0.409,0.516,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,WAKE,3,62,0.161,0.155,0.066,0.288,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,colorectal cancer,YALE,9,19,0.451,0.449,0.298,0.615,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,DFCI,121,587,0.205,0.205,0.174,0.238,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,GRCC,4,53,0.09,0.086,0.033,0.173,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,JHU,58,124,0.452,0.452,0.365,0.54,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,MDA,10,176,0.064,0.062,0.033,0.103,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,MSK,173,768,0.225,0.224,0.196,0.255,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,NKI,14,56,0.239,0.236,0.143,0.352,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,SCI,2,11,0.176,0.163,0.046,0.382,RAS_12-61,12-61,"Codon 12, 13, or 61"
