cancer_group,confounder,hugo_symbol,cancer,variable,y,n,mean,median,q1,q2,ras,codon_range,codon
single,Race,RAS,appendiceal cancer,Black,7,17,0.487,0.496,0.309,0.617,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,appendiceal cancer,"NA",21,33,0.553,0.541,0.445,0.712,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,appendiceal cancer,White,139,280,0.501,0.501,0.446,0.558,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,colorectal cancer,Asian,133,313,0.434,0.435,0.384,0.483,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,colorectal cancer,Black,281,515,0.531,0.531,0.486,0.575,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,colorectal cancer,"NA",372,804,0.462,0.462,0.43,0.495,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,colorectal cancer,Native American,10,17,0.488,0.482,0.38,0.626,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,colorectal cancer,Other,62,139,0.453,0.453,0.385,0.52,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,colorectal cancer,White,2057,4925,0.419,0.419,0.405,0.433,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cancer of unknown primary,Asian,13,73,0.2,0.202,0.146,0.249,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cancer of unknown primary,Black,27,123,0.21,0.208,0.167,0.259,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cancer of unknown primary,"NA",48,286,0.191,0.193,0.149,0.225,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cancer of unknown primary,Other,10,36,0.216,0.211,0.166,0.297,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cancer of unknown primary,White,317,1465,0.213,0.213,0.194,0.234,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-small cell lung cancer,Asian,69,624,0.117,0.117,0.092,0.144,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-small cell lung cancer,Black,201,717,0.279,0.278,0.247,0.312,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-small cell lung cancer,"NA",216,849,0.254,0.254,0.225,0.284,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-small cell lung cancer,Native American,4,17,0.237,0.231,0.115,0.39,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-small cell lung cancer,Other,34,165,0.21,0.209,0.155,0.269,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-small cell lung cancer,Undefined,3,10,0.26,0.251,0.122,0.451,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-small cell lung cancer,White,2480,7745,0.32,0.32,0.309,0.33,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,breast cancer,Asian,3,334,0.01,0.01,0.006,0.015,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,breast cancer,Black,6,526,0.011,0.01,0.007,0.015,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,breast cancer,"NA",28,3112,0.01,0.01,0.007,0.013,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,breast cancer,Native American,0,11,0.011,0.01,0.006,0.016,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,breast cancer,Other,2,176,0.011,0.01,0.007,0.016,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,breast cancer,White,58,5174,0.011,0.011,0.008,0.013,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,soft tissue sarcoma,Asian,1,143,0.018,0.018,0.003,0.034,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,soft tissue sarcoma,Black,2,193,0.018,0.019,0.005,0.034,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,soft tissue sarcoma,"NA",17,350,0.039,0.038,0.022,0.064,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,soft tissue sarcoma,Other,2,73,0.026,0.024,0.008,0.054,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,soft tissue sarcoma,White,47,2005,0.024,0.024,0.018,0.03,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,pancreatic cancer,Asian,68,100,0.721,0.726,0.653,0.764,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,pancreatic cancer,Black,65,88,0.733,0.735,0.679,0.78,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,pancreatic cancer,"NA",164,231,0.726,0.728,0.677,0.762,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,pancreatic cancer,Other,25,34,0.732,0.735,0.664,0.787,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,pancreatic cancer,White,1523,2038,0.744,0.744,0.725,0.762,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,leukemia,Asian,5,37,0.151,0.151,0.106,0.198,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,leukemia,Black,10,69,0.152,0.151,0.112,0.195,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,leukemia,"NA",110,777,0.147,0.147,0.125,0.169,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,leukemia,Other,3,13,0.157,0.153,0.112,0.226,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,leukemia,White,108,662,0.157,0.156,0.135,0.183,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,melanoma,Asian,6,33,0.215,0.219,0.12,0.296,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,melanoma,Black,9,34,0.239,0.238,0.157,0.34,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,melanoma,"NA",83,398,0.216,0.216,0.177,0.256,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,melanoma,Other,2,26,0.192,0.201,0.072,0.275,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,melanoma,White,618,2348,0.261,0.261,0.243,0.279,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,head and neck cancer,Asian,3,94,0.036,0.035,0.013,0.066,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,head and neck cancer,Black,5,62,0.055,0.048,0.024,0.119,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,head and neck cancer,"NA",4,292,0.024,0.023,0.008,0.045,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,head and neck cancer,Other,1,28,0.039,0.037,0.01,0.089,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,head and neck cancer,White,57,1264,0.044,0.043,0.033,0.056,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,uterine cancer,Asian,21,108,0.178,0.174,0.124,0.247,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,uterine cancer,Black,12,163,0.103,0.1,0.054,0.163,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,uterine cancer,"NA",29,190,0.153,0.152,0.11,0.199,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,uterine cancer,Other,5,37,0.146,0.145,0.074,0.228,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,uterine cancer,White,317,1754,0.179,0.179,0.161,0.197,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-melanoma skin cancers,Asian,0,11,0.037,0.034,0.007,0.083,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-melanoma skin cancers,Black,1,13,0.043,0.037,0.015,0.114,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-melanoma skin cancers,"NA",3,53,0.041,0.038,0.018,0.087,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-melanoma skin cancers,White,14,436,0.034,0.034,0.02,0.053,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,myelodysplastic/myeloproliferative syndromes,Asian,0,12,0.045,0.049,0,0.097,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,myelodysplastic/myeloproliferative syndromes,Black,0,37,0.039,0.044,0,0.078,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,myelodysplastic/myeloproliferative syndromes,"NA",41,571,0.067,0.066,0.049,0.09,RAS_12-61,12-61,"Codon 12, 13, or 61"
