cancer_group,confounder,hugo_symbol,cancer,variable,y,n,mean,median,q1,q2,ras,codon_range,codon
single,Sex,RAS,appendiceal cancer,Female,81,174,0.483,0.485,0.407,0.552,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,appendiceal cancer,Male,92,167,0.533,0.532,0.464,0.609,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,colorectal cancer,Female,1425,3028,0.469,0.469,0.451,0.487,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,colorectal cancer,Male,1499,3696,0.407,0.407,0.391,0.423,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,cancer of unknown primary,Female,224,1000,0.219,0.219,0.196,0.246,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,cancer of unknown primary,Male,192,989,0.199,0.199,0.174,0.223,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,non-small cell lung cancer,Female,1850,5722,0.323,0.323,0.311,0.335,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,non-small cell lung cancer,Male,1159,4406,0.264,0.264,0.251,0.277,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,breast cancer,Female,96,9284,0.01,0.01,0.008,0.013,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,breast cancer,Male,1,48,0.015,0.011,0.004,0.051,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,soft tissue sarcoma,Female,32,1413,0.024,0.024,0.017,0.031,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,soft tissue sarcoma,Male,37,1360,0.026,0.026,0.019,0.034,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,pancreatic cancer,Female,855,1153,0.741,0.741,0.719,0.764,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,pancreatic cancer,Male,993,1341,0.741,0.741,0.719,0.762,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,leukemia,Female,104,637,0.158,0.158,0.135,0.186,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,leukemia,Male,133,930,0.146,0.146,0.125,0.167,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,melanoma,Female,243,1104,0.224,0.223,0.199,0.249,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,melanoma,Male,478,1742,0.272,0.272,0.251,0.293,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,head and neck cancer,Female,23,564,0.041,0.04,0.029,0.055,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Sex,RAS,head and neck cancer,Male,47,1179,0.04,0.04,0.03,0.051,RAS_12-61,12-61,"Codon 12, 13, or 61"
