cancer_group,confounder,hugo_symbol,cancer,variable,y,n,mean,median,q1,q2,ras,codon_range,codon
single,Tumor type,RAS,appendiceal cancer,Metastasis,82,174,0.485,0.486,0.413,0.552,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,appendiceal cancer,Not Applicable or Heme,3,10,0.455,0.479,0.202,0.597,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,appendiceal cancer,Primary,85,151,0.537,0.536,0.465,0.618,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,colorectal cancer,Metastasis,1051,2354,0.443,0.443,0.425,0.462,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,colorectal cancer,Not Applicable or Heme,96,224,0.434,0.434,0.393,0.472,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,colorectal cancer,Primary,1763,4115,0.43,0.43,0.415,0.445,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,colorectal cancer,Unspecified,14,31,0.437,0.436,0.381,0.498,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cancer of unknown primary,Metastasis,288,1389,0.208,0.208,0.188,0.229,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cancer of unknown primary,Not Applicable or Heme,62,229,0.245,0.243,0.198,0.307,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cancer of unknown primary,Primary,52,311,0.186,0.186,0.143,0.225,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cancer of unknown primary,Unspecified,14,60,0.221,0.217,0.159,0.3,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,non-small cell lung cancer,Metastasis,1008,3750,0.269,0.269,0.255,0.283,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,non-small cell lung cancer,Not Applicable or Heme,56,223,0.254,0.254,0.203,0.307,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,non-small cell lung cancer,Primary,1930,6059,0.318,0.318,0.306,0.33,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,non-small cell lung cancer,Unspecified,15,99,0.193,0.192,0.115,0.274,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,breast cancer,Metastasis,45,3094,0.014,0.014,0.011,0.019,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,breast cancer,Not Applicable or Heme,5,105,0.035,0.031,0.01,0.081,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,breast cancer,Primary,46,6125,0.008,0.008,0.006,0.01,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,soft tissue sarcoma,Metastasis,20,939,0.024,0.023,0.016,0.031,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,soft tissue sarcoma,Not Applicable or Heme,3,119,0.025,0.024,0.014,0.039,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,soft tissue sarcoma,Primary,46,1686,0.026,0.026,0.02,0.033,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,soft tissue sarcoma,Unspecified,0,29,0.024,0.024,0.009,0.038,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,pancreatic cancer,Metastasis,710,981,0.729,0.73,0.701,0.754,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,pancreatic cancer,Not Applicable or Heme,53,75,0.73,0.734,0.654,0.782,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,pancreatic cancer,Primary,1081,1429,0.751,0.751,0.73,0.773,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,leukemia,Metastasis,5,15,0.173,0.16,0.123,0.321,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,leukemia,Not Applicable or Heme,139,923,0.152,0.151,0.131,0.173,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,leukemia,Primary,55,412,0.145,0.145,0.115,0.171,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,leukemia,Unspecified,38,217,0.162,0.159,0.131,0.208,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,melanoma,Metastasis,468,1738,0.267,0.267,0.246,0.289,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,melanoma,Not Applicable or Heme,39,188,0.214,0.215,0.158,0.268,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,melanoma,Primary,214,898,0.239,0.239,0.211,0.266,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,melanoma,Unspecified,0,22,0.127,0.121,0.001,0.265,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,head and neck cancer,Metastasis,20,731,0.032,0.032,0.02,0.046,RAS_12-61,12-61,"Codon 12, 13, or 61"
