cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,colorectal cancer,23,553,"beta[1,4]",-0.612,0.009,0.35,-1.268,-1.147,-0.855,-0.622,-0.39,-0.027,0.07,1591.903,1.002,Metastasis,-1.75,1.1,407,12,542,11,972,0.456,0.3,-0,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,colorectal cancer,32,801,"beta[2,4]",-0.856,0.009,0.332,-1.549,-1.427,-1.064,-0.849,-0.628,-0.343,-0.259,1506.759,1,Primary,-2.579,2,723,23,792,9,1547,6.386,1.94,1.1,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,25,680,"beta[1,4]",-0.784,0.009,0.349,-1.475,-1.361,-1.015,-0.786,-0.535,-0.223,-0.11,1537.297,0.999,Metastasis,-2.246,1.61,757,17,672,8,1454,1.666,0.71,0.09,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,67,956,"beta[2,4]",-0.823,0.008,0.268,-1.368,-1.27,-1.008,-0.826,-0.64,-0.384,-0.302,1227.683,1.001,Primary,-3.064,2.66,1419,52,941,15,2427,7.626,2.24,1.21,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,colorectal cancer,55,1354,mu_beta[3],-0.724,0.011,0.429,-1.577,-1.4,-0.963,-0.732,-0.483,-0.078,0.098,1464.366,1,overall,-1.687,1.04,1130,35,1334,20,2519,6.142,1.88,1.1,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,92,1636,mu_beta[3],-0.788,0.013,0.465,-1.643,-1.457,-1.044,-0.801,-0.532,-0.127,0.1,1362.051,1,overall,-1.697,1.05,2176,69,1613,23,3881,10.663,2.96,1.71,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,FBXW7,colorectal cancer,23,43,"beta[1,4]",0.339,0.02,0.775,-1.449,-1.03,-0.08,0.421,0.864,1.408,1.609,1574.732,1,Metastasis,0.437,0.18,890,22,42,1,955,0,0,-0,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,FBXW7,colorectal cancer,33,151,"beta[2,4]",1.081,0.01,0.392,0.321,0.437,0.813,1.083,1.348,1.733,1.833,1595.302,0.999,Primary,2.759,2.24,1333,24,142,9,1508,9.281,2.64,1.51,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,FBXW7,colorectal cancer,56,194,mu_beta[3],0.684,0.022,0.856,-1.336,-0.756,0.278,0.745,1.143,1.892,2.232,1492.939,0.999,overall,0.799,0.37,2223,46,184,10,2463,6.522,1.97,1.1,TRUE,3.53,3.65
single,Cosmic Driver mutation,sample_type,KRAS_12A,PIK3CA,colorectal cancer,23,56,"beta[1,4]",-0.89,0.131,1.284,-4.364,-3.266,-1.374,-0.585,-0.048,0.366,0.55,95.977,1.054,Metastasis,-0.693,0.31,876,23,56,0,955,0.581,0.35,-0,TRUE,3.53,3.65
