cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,20,513,"beta[1,4]",-0.286,0.011,0.412,-1.138,-0.996,-0.538,-0.271,-0.017,0.36,0.552,1424.215,1,Metastasis,-0.693,0.31,918,14,507,6,1445,0.08,0.11,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,62,640,"beta[2,4]",-0.157,0.008,0.296,-0.75,-0.672,-0.354,-0.155,0.044,0.301,0.377,1496.775,1,Primary,-0.532,0.23,1725,47,625,15,2412,0.077,0.11,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,82,1153,mu_beta[3],-0.189,0.015,0.557,-1.271,-1.04,-0.518,-0.195,0.118,0.65,0.918,1402.059,0.998,overall,-0.339,0.13,2643,61,1132,21,3857,0.54,0.33,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,PIK3CA,non-small cell lung cancer,20,23,"beta[1,4]",-0.963,0.041,1.459,-4.355,-3.822,-1.784,-0.701,0.077,0.978,1.267,1279.887,0.999,Metastasis,-0.66,0.29,1389,20,23,0,1432,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,PIK3CA,non-small cell lung cancer,61,37,"beta[2,4]",-0.702,0.034,1.197,-3.522,-2.975,-1.41,-0.532,0.17,0.916,1.121,1213.962,1,Primary,-0.586,0.25,2276,60,36,1,2373,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,PIK3CA,non-small cell lung cancer,81,60,mu_beta[3],-0.82,0.038,1.353,-4.014,-3.379,-1.591,-0.685,0.129,1.073,1.412,1271.173,0.999,overall,-0.606,0.26,3665,80,59,1,3805,0,0,0,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,EGFR,non-small cell lung cancer,20,319,"beta[1,4]",-6.201,0.096,2.558,-12.359,-11.012,-7.713,-5.611,-4.53,-2.7,-2.302,703.728,1.012,Metastasis,-2.425,1.81,1152,20,319,0,1491,4.304,1.42,0.74,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,EGFR,non-small cell lung cancer,61,449,"beta[2,4]",-6.235,0.1,2.495,-12.246,-10.968,-7.677,-5.616,-4.574,-2.953,-2.605,622.061,1.012,Primary,-2.499,1.9,1927,61,449,0,2437,12.902,3.48,2.4,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,EGFR,non-small cell lung cancer,81,768,mu_beta[3],-6.114,0.083,2.497,-11.898,-10.742,-7.675,-5.543,-4.476,-2.806,-2.307,903.349,1.01,overall,-2.449,1.84,3079,81,768,0,3928,18.851,4.85,3.47,TRUE,2.99,2.99
single,Cosmic Driver mutation,sample_type,KRAS_12A,BRAF,non-small cell lung cancer,20,21,"beta[1,4]",-4.128,0.15,3.002,-11.201,-9.793,-5.747,-3.341,-2.088,-0.463,0.135,403.211,1.018,Metastasis,-1.375,0.77,1390,20,21,0,1431,0,0,0,TRUE,2.99,2.99
