cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,sample_type,KRAS_12A,KMT2C,non-small cell lung cancer,25,27,"beta[1,4]",-4.335,0.163,3.009,-11.378,-9.932,-6.136,-3.797,-2.078,-0.345,0.051,341.636,1.015,Metastasis,-1.44,0.82,1330,25,27,0,1382,0,0,0,FALSE,3.65,3.76
single,Inactivating mutation,sample_type,KRAS_12A,KMT2C,non-small cell lung cancer,63,31,"beta[2,4]",-4.374,0.186,3.035,-11.502,-10.037,-6.172,-3.783,-2.069,-0.503,-0.19,265.039,1.017,Primary,-1.441,0.83,2205,63,31,0,2299,0.15,0.16,0,FALSE,3.65,3.76
single,Inactivating mutation,sample_type,KRAS_12A,KMT2C,non-small cell lung cancer,88,58,mu_beta[3],-4.279,0.167,2.958,-11.205,-9.863,-6.127,-3.66,-2.045,-0.433,0.035,312.836,1.016,overall,-1.447,0.83,3535,88,58,0,3681,0.59,0.35,0,FALSE,3.65,3.76
single,Inactivating mutation,sample_type,KRAS_12A,TP53,colorectal cancer,23,231,"beta[1,4]",-0.049,0.011,0.404,-0.804,-0.691,-0.32,-0.068,0.193,0.691,0.828,1241.524,1.001,Metastasis,-0.122,0.04,711,16,224,7,958,0.222,0.2,0,TRUE,3.95,4.2
single,Inactivating mutation,sample_type,KRAS_12A,TP53,colorectal cancer,32,322,"beta[2,4]",-0.319,0.011,0.415,-1.247,-1.046,-0.564,-0.29,-0.046,0.3,0.425,1305.323,1.002,Primary,-0.769,0.35,1155,28,318,4,1505,1.045,0.51,0,TRUE,3.95,4.2
single,Inactivating mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,25,281,"beta[1,4]",-0.736,0.011,0.434,-1.656,-1.498,-0.999,-0.684,-0.492,-0.061,0.1,1474.771,1.005,Metastasis,-1.696,1.05,1132,22,278,3,1435,0.503,0.32,0,TRUE,3.95,4.2
single,Inactivating mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,66,408,"beta[2,4]",-0.749,0.011,0.369,-1.561,-1.439,-0.974,-0.693,-0.538,-0.155,-0.068,1122.334,1.009,Primary,-2.03,1.37,1920,60,402,6,2388,2.509,0.95,0.1,TRUE,3.95,4.2
single,Inactivating mutation,sample_type,KRAS_12A,TP53,colorectal cancer,55,553,mu_beta[3],-0.202,0.012,0.48,-1.162,-0.953,-0.449,-0.171,0.061,0.506,0.677,1506.883,0.999,overall,-0.42,0.17,1866,44,542,11,2463,0.077,0.11,0,TRUE,3.95,4.2
single,Inactivating mutation,sample_type,KRAS_12A,TP53,non-small cell lung cancer,91,689,mu_beta[3],-0.73,0.012,0.484,-1.729,-1.546,-0.993,-0.67,-0.499,-0.025,0.189,1593.664,1.001,overall,-1.506,0.88,3052,82,680,9,3823,3.628,1.25,0.3,TRUE,3.95,4.2
single,Inactivating mutation,sample_type,KRAS_12A,FBXW7,colorectal cancer,23,30,"beta[1,4]",0.652,0.019,0.698,-0.941,-0.615,0.251,0.719,1.114,1.665,1.826,1393.095,0.999,Metastasis,0.934,0.46,901,22,29,1,953,0,0,0,TRUE,3.95,4.2
