cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Cosmic Driver mutation,none,KRAS_12A,TP53,colorectal cancer,56,1354,"beta[1,4]",-0.731,0.006,0.247,-1.213,-1.142,-0.894,-0.729,-0.566,-0.332,-0.249,1552.241,1,NA,-2.96,2.51,1194,36,1334,20,2584,5.723,1.78,1.12,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,TP53,non-small cell lung cancer,92,1636,"beta[2,4]",-0.776,0.006,0.218,-1.213,-1.135,-0.923,-0.772,-0.628,-0.422,-0.363,1503.752,0.999,NA,-3.556,3.42,2193,69,1613,23,3898,10.439,2.91,1.95,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,FBXW7,colorectal cancer,57,194,"beta[1,4]",0.927,0.01,0.362,0.155,0.334,0.684,0.957,1.173,1.487,1.599,1404.71,0.999,NA,2.561,1.98,2287,47,184,10,2528,6.656,2.01,1.23,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,PIK3CA,colorectal cancer,56,209,"beta[1,4]",-0.251,0.013,0.511,-1.339,-1.165,-0.565,-0.215,0.095,0.556,0.643,1469.09,1.002,NA,-0.491,0.21,2268,52,205,4,2529,0.004,0.02,0,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,PIK3CA,non-small cell lung cancer,91,82,"beta[2,4]",-0.2,0.018,0.672,-1.71,-1.427,-0.616,-0.162,0.281,0.813,0.958,1421.809,0.999,NA,-0.297,0.12,3651,89,80,2,3822,0,0,0,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,RNF43,colorectal cancer,51,126,"beta[1,4]",-5.736,0.129,4.426,-15.354,-13.132,-7.485,-4.745,-2.899,-1.246,-0.907,1174.952,0.999,NA,-1.296,0.71,2120,51,126,0,2297,2.042,0.82,0.34,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,U2AF1,non-small cell lung cancer,88,60,"beta[1,4]",0.953,0.036,0.551,-0.132,0.067,0.547,0.975,1.349,1.816,1.942,232.02,1.03,NA,1.73,1.08,3553,84,56,4,3697,3.13,1.11,0.56,FALSE,2.26,2.26
multi,Cosmic Driver mutation,none,KRAS_12A,PTEN,colorectal cancer,56,97,"beta[1,4]",-1.248,0.034,1.195,-4.033,-3.416,-1.953,-1.071,-0.372,0.403,0.615,1222.391,1.001,NA,-1.045,0.53,2381,55,96,1,2533,0.206,0.19,0,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,CTNNB1,non-small cell lung cancer,91,102,"beta[1,4]",-1.399,0.032,1.184,-4.146,-3.575,-2.038,-1.22,-0.58,0.217,0.394,1395.469,1,NA,-1.181,0.62,3631,90,101,1,3823,0.373,0.27,0,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,ARID1A,colorectal cancer,51,82,"beta[1,4]",-1.098,0.034,1.15,-3.796,-3.249,-1.702,-0.929,-0.312,0.493,0.665,1125.218,1.001,NA,-0.954,0.47,2161,50,81,1,2293,0.061,0.09,0,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,CDKN2A,non-small cell lung cancer,92,93,"beta[1,4]",0.135,0.016,0.643,-1.226,-0.99,-0.271,0.218,0.585,1.038,1.176,1605.775,1,NA,0.209,0.08,3641,89,90,3,3823,0.032,0.07,0,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,SMAD4,colorectal cancer,56,144,"beta[1,4]",0.139,0.018,0.558,-1.113,-0.842,-0.217,0.208,0.485,0.988,1.109,960.371,1.006,NA,0.248,0.09,2322,52,140,4,2518,0.03,0.06,0,TRUE,3.53,3.65
multi,Cosmic Driver mutation,none,KRAS_12A,APC,colorectal cancer,64,1294,"beta[1,4]",-0.093,0.008,0.248,-0.587,-0.511,-0.259,-0.09,0.07,0.309,0.369,1090.671,1.001,NA,-0.373,0.15,1424,35,1265,29,2753,0.022,0.05,0,TRUE,3.53,3.65
