cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,race,KRAS_12A,TP53,colorectal cancer,44,1053,"beta[5,4]",-0.744,0.008,0.286,-1.32,-1.226,-0.923,-0.751,-0.548,-0.276,-0.204,1386.594,1,White,-2.598,2.03,904,28,1037,16,1985,4.367,1.44,0.78,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,TP53,non-small cell lung cancer,85,1285,"beta[5,4]",-0.799,0.006,0.247,-1.301,-1.219,-0.956,-0.796,-0.627,-0.387,-0.329,1499.161,1,White,-3.229,2.91,1719,64,1264,21,3068,9.885,2.78,1.82,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,TP53,colorectal cancer,55,1351,mu_beta[3],-0.777,0.01,0.361,-1.519,-1.385,-0.991,-0.784,-0.548,-0.173,-0.073,1369.93,1.001,overall,-2.152,1.5,1125,35,1331,20,2511,6.182,1.89,1.11,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,TP53,non-small cell lung cancer,92,1632,mu_beta[3],-0.905,0.01,0.411,-1.755,-1.613,-1.143,-0.892,-0.644,-0.259,-0.144,1616.049,1.001,overall,-2.2,1.56,2171,69,1609,23,3872,10.657,2.96,1.88,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,FBXW7,colorectal cancer,45,153,"beta[3,4]",0.895,0.016,0.396,0.111,0.244,0.618,0.907,1.18,1.52,1.633,611.652,1,White,2.263,1.63,1753,36,144,9,1942,7.695,2.26,1.4,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,FBXW7,colorectal cancer,50,182,mu_beta[3],0.792,0.018,0.479,-0.243,0.003,0.502,0.82,1.121,1.521,1.65,747.39,0.999,overall,1.654,1.01,2027,41,173,9,2250,5.462,1.71,1,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,PIK3CA,colorectal cancer,44,169,"beta[4,4]",-0.252,0.026,0.554,-1.467,-1.277,-0.583,-0.175,0.129,0.578,0.709,438.282,1.011,White,-0.455,0.19,1733,40,165,4,1942,0,0,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,PIK3CA,non-small cell lung cancer,84,58,"beta[2,4]",-0.101,0.021,0.822,-1.902,-1.642,-0.577,-0.007,0.472,1.083,1.287,1463.278,0.999,White,-0.123,0.04,2869,82,56,2,3009,0,0,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,PIK3CA,colorectal cancer,53,206,mu_beta[3],-0.295,0.027,0.59,-1.563,-1.341,-0.661,-0.229,0.124,0.577,0.71,462.513,1.012,overall,-0.5,0.21,2149,49,202,4,2404,0,0.01,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,race,KRAS_12A,PIK3CA,non-small cell lung cancer,86,69,mu_beta[3],-0.303,0.037,1.431,-3.485,-2.674,-1.063,-0.213,0.599,1.774,2.329,1459.789,0.999,overall,-0.211,0.08,3205,84,67,2,3358,0,0,0,TRUE,3.53,3.65
