cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Driver mutation,agecat,KRAS_12A,TP53,colorectal cancer,15,175,"beta[2,4]",-0.35,0.01,0.363,-1.094,-0.966,-0.57,-0.331,-0.121,0.253,0.368,1326.976,1.005,40-50,-0.964,0.47,304,10,170,5,489,0,-0,-0,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,TP53,colorectal cancer,18,308,"beta[3,4]",-0.487,0.017,0.371,-1.311,-1.129,-0.723,-0.451,-0.207,0.039,0.115,482.271,1.012,50-65,-1.315,0.72,753,16,306,2,1077,1.94,0.79,0.1,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,TP53,colorectal cancer,18,212,"beta[4,4]",-0.374,0.01,0.362,-1.135,-1,-0.607,-0.348,-0.14,0.187,0.308,1350.902,1.006,>65,-1.034,0.52,503,13,207,5,728,0,0,-0,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,26,349,"beta[2,4]",-0.674,0.012,0.45,-1.614,-1.433,-0.949,-0.633,-0.368,0.031,0.181,1390.677,1.002,50-65,-1.496,0.87,1008,22,345,4,1379,0.897,0.46,0.04,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,65,453,"beta[3,4]",-0.572,0.012,0.355,-1.335,-1.221,-0.8,-0.556,-0.33,-0.028,0.092,843.491,1.002,>65,-1.615,0.97,1681,56,444,9,2190,1.504,0.66,0.1,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,TP53,colorectal cancer,56,772,mu_beta[3],-0.409,0.01,0.346,-1.118,-0.994,-0.639,-0.383,-0.178,0.111,0.209,1289.585,1.008,overall,-1.181,0.62,1718,43,759,13,2533,1.097,0.53,0.04,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,91,845,mu_beta[3],-0.665,0.016,0.56,-1.801,-1.546,-0.957,-0.618,-0.349,0.12,0.308,1266.16,0.999,overall,-1.188,0.63,2848,78,832,13,3771,3.076,1.1,0.14,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,15,24,"beta[2,4]",-0.114,0.026,0.664,-1.601,-1.263,-0.508,-0.083,0.334,0.907,1.105,662.64,1.001,40-50,-0.172,0.06,446,14,23,1,484,0,0,-0,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,18,53,"beta[3,4]",-0.085,0.027,0.637,-1.465,-1.164,-0.462,-0.069,0.35,0.914,1.081,569.144,1.001,50-65,-0.134,0.05,1005,16,51,2,1074,0.451,0.3,-0,TRUE,3.11,3.3
single,Driver mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,18,42,"beta[4,4]",-0.169,0.027,0.658,-1.596,-1.288,-0.546,-0.148,0.285,0.856,1.036,609.609,1.003,>65,-0.256,0.1,661,18,42,0,721,0.313,0.24,-0,TRUE,3.11,3.3
