cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,sex,KRAS_12A,ATRX,non-small cell lung cancer,54,128,"beta[1,4]",0.322,0.014,0.492,-0.672,-0.492,-0.009,0.34,0.654,1.098,1.211,1251.775,0.998,Female,0.654,0.29,1989,49,123,5,2166,0.585,0.35,0,TRUE,4.84,4.84
single,Any mutation,sex,KRAS_12A,ATRX,non-small cell lung cancer,25,25,"beta[2,4]",-0.767,0.047,1.771,-5.042,-3.859,-1.373,-0.392,0.244,1.18,1.414,1437.244,1,Male,-0.433,0.18,1501,25,25,0,1551,0,0,0,TRUE,4.84,4.84
single,Any mutation,sex,KRAS_12A,ATRX,non-small cell lung cancer,79,153,mu_beta[3],-0.146,0.034,1.298,-3.193,-2.258,-0.752,-0.038,0.622,1.638,1.989,1495.457,1,overall,-0.113,0.04,3490,74,148,5,3717,0.511,0.32,0,TRUE,4.84,4.84
single,Any mutation,sex,KRAS_12A,ATR,non-small cell lung cancer,54,56,"beta[1,4]",0.391,0.031,0.687,-1.203,-0.86,-0.002,0.472,0.92,1.314,1.499,495.925,1.006,Female,0.568,0.24,2043,51,53,3,2150,0.895,0.46,0,FALSE,4.73,4.73
single,Any mutation,sex,KRAS_12A,ATR,non-small cell lung cancer,25,38,"beta[2,4]",-0.11,0.048,1.231,-3.077,-2.165,-0.581,0.137,0.692,1.153,1.299,669.564,1.008,Male,-0.089,0.03,1489,25,38,0,1552,0.021,0.05,0,FALSE,4.73,4.73
single,Any mutation,sex,KRAS_12A,ATR,non-small cell lung cancer,79,94,mu_beta[3],0.165,0.039,0.925,-1.929,-1.402,-0.316,0.31,0.785,1.323,1.522,559.489,1.006,overall,0.179,0.07,3532,76,91,3,3702,0.128,0.14,0,FALSE,4.73,4.73
single,Any mutation,sex,KRAS_12A,PDGFRA,non-small cell lung cancer,55,50,"beta[1,4]",-0.033,0.021,0.734,-1.732,-1.38,-0.458,0.021,0.462,1.048,1.194,1271.938,0.999,Female,-0.045,0.02,2111,54,49,1,2215,0,0,0,TRUE,4.84,4.84
single,Any mutation,sex,KRAS_12A,PDGFRA,non-small cell lung cancer,26,57,"beta[2,4]",0.253,0.02,0.716,-1.22,-0.99,-0.205,0.311,0.763,1.282,1.479,1266.75,1.001,Male,0.354,0.14,1531,24,55,2,1612,0.386,0.27,0,TRUE,4.84,4.84
single,Any mutation,sex,KRAS_12A,PDGFRA,non-small cell lung cancer,81,107,mu_beta[3],0.114,0.022,0.816,-1.689,-1.254,-0.357,0.136,0.632,1.321,1.556,1328.104,1.002,overall,0.14,0.05,3642,78,104,3,3827,0.026,0.06,0,TRUE,4.84,4.84
single,Any mutation,sex,KRAS_12A,NSD1,non-small cell lung cancer,53,41,"beta[1,4]",0.964,0.017,0.547,-0.274,0.051,0.62,1.008,1.333,1.779,1.945,994.744,0.999,Female,1.76,1.11,2057,50,38,3,2148,2.289,0.89,0.03,FALSE,4.73,4.73
