cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Driver mutation (gene_pathways),sex,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,56,29,"beta[1,4]",-0.872,0.034,1.284,-3.943,-3.188,-1.633,-0.738,0.058,0.93,1.181,1448.283,1,Female,-0.679,0.3,2051,55,28,1,2135,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,32,47,"beta[2,4]",-1.576,0.044,1.634,-5.435,-4.6,-2.396,-1.279,-0.443,0.461,0.777,1407.251,1.002,Male,-0.965,0.48,1466,32,47,0,1545,0.243,0.21,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,76,mu_beta[3],-1.192,0.037,1.407,-4.421,-3.864,-1.935,-1.04,-0.212,0.736,1.077,1426.193,1,overall,-0.847,0.4,3517,87,75,1,3680,0.058,0.09,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,56,62,"beta[1,4]",-1.378,0.05,1.232,-4.214,-3.624,-2.065,-1.186,-0.494,0.31,0.519,605.639,1.009,Female,-1.118,0.58,2018,55,61,1,2135,0.01,0.04,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,32,36,"beta[2,4]",-1.553,0.052,1.345,-4.751,-3.95,-2.28,-1.334,-0.589,0.175,0.458,661.876,1.008,Male,-1.155,0.61,1477,32,36,0,1545,0.085,0.11,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,88,98,mu_beta[3],-1.46,0.054,1.316,-4.506,-3.792,-2.189,-1.295,-0.554,0.258,0.554,586.115,1.008,overall,-1.11,0.57,3495,87,97,1,3680,0.32,0.24,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,56,294,"beta[1,4]",-2.106,0.023,0.823,-3.949,-3.619,-2.592,-2.048,-1.508,-0.907,-0.703,1262.254,1.004,Female,-2.56,1.98,1786,55,293,1,2135,5.959,1.83,0.88,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,32,132,"beta[2,4]",-1.856,0.025,0.904,-3.835,-3.488,-2.423,-1.776,-1.221,-0.533,-0.338,1288.797,1.003,Male,-2.053,1.4,1382,31,131,1,1545,0.622,0.37,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,88,426,mu_beta[3],-1.957,0.027,0.95,-3.996,-3.551,-2.534,-1.872,-1.344,-0.575,-0.279,1261.726,1.002,overall,-2.06,1.4,3168,86,424,2,3680,6.721,2.02,0.88,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,56,100,"beta[1,4]",-0.888,0.065,0.781,-2.704,-2.337,-1.32,-0.71,-0.399,0.117,0.293,143.355,1.038,Female,-1.137,0.59,1980,55,99,1,2135,0.518,0.33,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,32,60,"beta[2,4]",-0.823,0.054,0.812,-2.79,-2.289,-1.237,-0.649,-0.369,0.299,0.527,222.356,1.029,Male,-1.014,0.51,1454,31,59,1,1545,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,88,160,mu_beta[3],-0.843,0.06,0.802,-2.713,-2.294,-1.297,-0.674,-0.363,0.216,0.459,178.582,1.034,overall,-1.051,0.53,3434,86,158,2,3680,0.492,0.32,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,PI3K_AKT,non-small cell lung cancer,56,63,"beta[1,4]",-0.183,0.021,0.717,-1.757,-1.35,-0.576,-0.106,0.299,0.832,1.01,1114.613,0.999,Female,-0.255,0.1,2017,55,62,1,2135,0.015,0.04,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,PI3K_AKT,non-small cell lung cancer,32,50,"beta[2,4]",0.037,0.022,0.676,-1.418,-1.081,-0.37,0.072,0.492,1.065,1.269,922.236,0.999,Male,0.055,0.02,1465,30,48,2,1545,0.22,0.19,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,PI3K_AKT,non-small cell lung cancer,88,113,mu_beta[3],-0.079,0.022,0.712,-1.621,-1.313,-0.478,-0.039,0.373,0.998,1.165,1076.396,0.999,overall,-0.111,0.04,3482,85,110,3,3680,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,56,45,"beta[1,4]",-0.969,0.034,1.111,-3.642,-3.055,-1.54,-0.762,-0.313,0.642,0.88,1071.547,0.999,Female,-0.873,0.42,2035,55,44,1,2135,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,32,27,"beta[2,4]",-1.151,0.044,1.297,-4.113,-3.568,-1.724,-0.833,-0.418,0.58,0.875,854.966,1,Male,-0.887,0.43,1486,32,27,0,1545,0.007,0.03,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,88,72,mu_beta[3],-1.048,0.043,1.225,-3.856,-3.3,-1.618,-0.787,-0.335,0.637,0.949,809.916,1.001,overall,-0.855,0.41,3521,87,71,1,3680,0.03,0.06,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),sex,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,283,29,"beta[1,4]",-0.242,0.012,0.493,-1.269,-1.116,-0.553,-0.233,0.093,0.537,0.714,1575.888,0.999,Female,-0.491,0.21,1827,279,25,4,2135,0,0,0,TRUE,2.86,3.21
single,Driver mutation (gene_pathways),sex,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,172,47,"beta[2,4]",-0.557,0.014,0.517,-1.661,-1.515,-0.865,-0.508,-0.205,0.21,0.371,1417.479,1.001,Male,-1.077,0.55,1329,169,44,3,1545,0.666,0.38,0.1,TRUE,2.86,3.21
single,Driver mutation (gene_pathways),sex,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,455,76,mu_beta[3],-0.401,0.018,0.696,-1.799,-1.492,-0.8,-0.402,0.002,0.614,0.981,1531.94,1.003,overall,-0.577,0.25,3156,448,69,7,3680,0.446,0.3,0.1,TRUE,2.86,3.21
single,Driver mutation (gene_pathways),sex,KRAS_12C,wnt,non-small cell lung cancer,283,62,"beta[1,4]",-0.597,0.011,0.405,-1.491,-1.325,-0.825,-0.568,-0.326,-0.002,0.103,1422.539,1.002,Female,-1.474,0.85,1794,279,58,4,2135,1.997,0.8,0.37,TRUE,2.86,3.21
